鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,車位,臺北市中正區重慶南路三段151~180號,0.13,住,,,1050621,土地0建物0車位1,一層,十五層,其他,住家用,鋼筋混凝土造,1010315,16.169999999999998,0,0,0,有,有,1000000,,升降機械,0.0,1000000,,RPRNMLOJPHLFFAA57CA
文山區,房地(土地+建物),臺北市文山區興隆路二段61巷1~30號,32.72,住,,,1050517,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020812,198.65,4,2,2,有,有,40260000,202668,,0.0,0,,RPSNMLOJPHLFFAA67CA
文山區,車位,臺北市文山區興隆路二段31~60號,4.8,住,,,1050517,土地0建物0車位2,,,其他,,,,72.83,0,0,0,有,有,5000000,,坡道平面,72.84,5000000,,RPTNMLOJPHLFFAA77CA
文山區,建物,臺北市文山區萬寧街151~180號,0.0,,,,1050517,土地0建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0861030,151.51999999999998,3,2,2,有,有,9800000,64678,,0.0,0,,RPSOMLOJPHLFFAA77CA
文山區,土地,博嘉段三小段841~870地號,410.0,其他,,,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3362000,8200,,0.0,0,,RPWNMLRJPHLFFAA38CA
文山區,土地,萬慶段三小段691~720地號,25.3,住,,,1050614,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8981753,355010,,0.0,0,向政府機關承購之案件。,RPWNMLNKPHLFFAA08CA
大同區,房地(土地+建物),臺北市大同區延平北路三段1~30號,47.09,商,,,1050509,土地3建物1車位0,三層,七層,辦公商業大樓,,鋼筋混凝土造,,316.11,4,2,3,有,有,40000000,126538,,0.0,0,共有人數2人。含增建或未登記建物。,RPOPMLLJPHLFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區內江街121~150號,7.4,商,,,1050505,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040210,81.95,1,1,1,有,有,15500000,189140,,0.0,0,,RPSNMLOJPHLFFBA77CA
萬華區,房地(土地+建物),臺北市萬華區環河南路二段175巷1~30號,16.71,其他,,,1050530,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,108.75,0,1,1,有,有,19000000,174713,,0.0,0,,RPSOMLQJPHLFFBA08CA
萬華區,房地(土地+建物)+車位,臺北市萬華區萬大路344巷31~60號,22.68,商,,,1050525,土地1建物1車位1,二十五層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040206,214.26,3,2,2,有,有,30600000,142817,坡道平面,38.75,0,,RPQNMLTKPHLFFBA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街121~150號,24.24,住,,,1050514,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,184.95999999999998,3,2,2,有,有,40000000,216263,坡道平面,28.03,0,含增建或未登記建物。,RPROMLOJPHLFFCA87CA
中山區,房地(土地+建物),臺北市中山區民生東路二段91~120號,107.0,商,,,1050615,土地1建物1車位0,一層，二層，三層，騎樓,三層,公寓(5樓含以下無電梯),,加強磚造,,266.1,9,6,3,有,無,40000000,150319,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXPMLOJPHLFFCA58CA
中山區,車位,臺北市中山區新生北路三段1~30號,4.08,商,,,1050528,土地0建物0車位1,地下層，見使用執照,十二層,其他,見使用執照,鋼筋混凝土造,0700703,31.72,0,0,0,有,有,2050000,,坡道平面,31.72,2050000,,RPVQMLRJPHLFFCA78CA
中山區,車位,臺北市中山區新生北路三段1~30號,4.08,商,,,1050614,土地0建物0車位1,地下層，見使用執照,十二層,其他,見使用執照,鋼筋混凝土造,0700703,31.72,0,0,0,有,有,2080000,,坡道平面,31.72,2080000,,RPWQMLRJPHLFFCA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區江南街117巷8弄1~30號,44.65,住,,,1050517,土地1建物1車位2,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940216,242.57999999999998,4,2,2,有,有,33000000,136038,坡道平面,91.32,0,價格含增建,RPOOMLRJPHLFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區金龍路222巷1~30號,29.22,住,,,1050601,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,95.34,2,1,2,有,有,13000000,136354,坡道平面,30.84,0,,RPQRMLLKPHLFFCA87CA
