編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLOJPHLFFAA57CA,4,.06,住家用,鋼筋混凝土造,101年3月15日,十五層,一層
RPRNMLOJPHLFFAA57CA,4,.03,見其他登記事項,鋼筋混凝土造,101年3月15日,十五層,
RPRNMLOJPHLFFAA57CA,4,16.09,見其他登記事項,鋼筋混凝土造,101年3月15日,十五層,
RPSNMLOJPHLFFAA67CA,3,139.56,住家用,鋼筋混凝土造,102年8月12日,十三層,十一層
RPSNMLOJPHLFFAA67CA,3,21.14,見其他登記事項,鋼筋混凝土造,102年8月12日,十三層,
RPSNMLOJPHLFFAA67CA,3,7.76,見其他登記事項,鋼筋混凝土造,102年8月12日,十三層,
RPSNMLOJPHLFFAA67CA,3,18.82,見其他登記事項,鋼筋混凝土造,102年8月12日,十三層,
RPSNMLOJPHLFFAA67CA,3,11.37,見其他登記事項,鋼筋混凝土造,102年8月12日,十三層,
RPTNMLOJPHLFFAA77CA,3,72.83,見其他登記事項,鋼筋混凝土造,102年8月12日,十三層,
RPSOMLOJPHLFFAA77CA,19,98.85,見其他登記事項,鋼筋混凝土造,86年10月30日,十六層,十層
RPSOMLOJPHLFFAA77CA,19,52.67,共有部分,鋼筋混凝土造,86年10月30日,十六層,
RPOPMLLJPHLFFBA27CA,,316.11,,鋼筋混凝土造,,七層,三層
RPSNMLOJPHLFFBA77CA,1,57.69,住家用,鋼筋混凝土造,104年2月10日,十八層,六層
RPSNMLOJPHLFFBA77CA,1,19.42,見其他登記事項,鋼筋混凝土造,104年2月10日,十八層,
RPSNMLOJPHLFFBA77CA,1,4.84,見其他登記事項,鋼筋混凝土造,104年2月10日,十八層,
RPSOMLQJPHLFFBA08CA,,84.70,商業用,鋼筋混凝土造,,十二層,一層
RPSOMLQJPHLFFBA08CA,36,24.05,見其他登記事項,鋼筋混凝土造,69年5月16日,十二層,
RPQNMLTKPHLFFBA18CA,1,117.47,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,二十五層
RPQNMLTKPHLFFBA18CA,1,24.22,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPQNMLTKPHLFFBA18CA,1,31.66,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPQNMLTKPHLFFBA18CA,1,2.16,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPQNMLTKPHLFFBA18CA,1,38.76,見其他登記事項,鋼筋混凝土造,104年2月6日,二十六層,
RPROMLOJPHLFFCA87CA,11,106.16,住家用,鋼筋混凝土造,93年12月22日,十四層,八層
RPROMLOJPHLFFCA87CA,11,7.06,共有部分,鋼筋混凝土造,93年12月22日,十四層,
RPROMLOJPHLFFCA87CA,11,21.70,共有部分,鋼筋混凝土造,93年12月22日,十四層,
RPROMLOJPHLFFCA87CA,11,10.04,共有部分,鋼筋混凝土造,93年12月22日,十四層,
RPROMLOJPHLFFCA87CA,11,40.00,共有部分,鋼筋混凝土造,93年12月22日,十四層,
RPXPMLOJPHLFFCA58CA,,266.10,,加強磚造,,三層,一層 二層 三層 騎樓
RPVQMLRJPHLFFCA78CA,35,.79,共有部分,鋼筋混凝土造,70年7月3日,十二層,
RPVQMLRJPHLFFCA78CA,35,30.93,見使用執照,鋼筋混凝土造,70年7月3日,十二層,地下層 見使用執照
RPWQMLRJPHLFFCA88CA,35,.79,共有部分,鋼筋混凝土造,70年7月3日,十二層,
RPWQMLRJPHLFFCA88CA,35,30.93,見使用執照,鋼筋混凝土造,70年7月3日,十二層,地下層 見使用執照
RPOOMLRJPHLFFCA87CA,11,100.95,住家用,鋼筋混凝土造,94年2月16日,八層,八層
RPOOMLRJPHLFFCA87CA,11,22.49,共有部分,鋼筋混凝土造,94年2月16日,八層,
RPOOMLRJPHLFFCA87CA,11,21.78,共有部分,鋼筋混凝土造,94年2月16日,八層,
RPOOMLRJPHLFFCA87CA,11,2.79,共有部分,鋼筋混凝土造,94年2月16日,八層,
RPOOMLRJPHLFFCA87CA,11,3.26,共有部分,鋼筋混凝土造,94年2月16日,八層,
RPOOMLRJPHLFFCA87CA,11,91.32,共有部分,鋼筋混凝土造,94年2月16日,八層,
RPQRMLLKPHLFFCA87CA,22,54.74,住家用,鋼筋混凝土造,82年12月13日,十一層,九層
RPQRMLLKPHLFFCA87CA,22,9.75,共有部分,鋼筋混凝土造,82年12月13日,十二層,
RPQRMLLKPHLFFCA87CA,22,30.84,停車空間,鋼筋混凝土造,82年12月13日,十二層,地下一層
RPQRMLLKPHLFFCA87CA,22,.01,共有部分,鋼筋混凝土造,82年12月13日,十二層,
RPQNMLMKPHLFFCA57CA,37,80.80,住家用,鋼筋混凝土造,68年2月20日,四層,四層
RPTPMLLKPHLFFCA97CA,11,81.71,住家用,鋼筋混凝土造,94年8月11日,十三層,七層
RPTPMLLKPHLFFCA97CA,11,17.71,共有部分,鋼筋混凝土造,94年8月11日,十三層,
RPTPMLLKPHLFFCA97CA,11,2.68,共有部分,鋼筋混凝土造,94年8月11日,十三層,
RPTPMLLKPHLFFCA97CA,11,14.97,共有部分,鋼筋混凝土造,94年8月11日,十三層,
RPTPMLLKPHLFFCA97CA,11,29.84,共有部分,鋼筋混凝土造,94年8月11日,十三層,
RPTPMLLKPHLFFCA97CA,11,19.91,共有部分,鋼筋混凝土造,94年8月11日,十三層,
RPTPMLLKPHLFFCA97CA,11,4.42,共有部分,鋼筋混凝土造,94年8月11日,十三層,
RPWNMLNKPHLFFCA28CA,38,15.93,住家用,鋼筋混凝土造,67年10月2日,十二層,十層
RPWNMLNKPHLFFCA28CA,38,4.25,共有部分,鋼筋混凝土造,67年10月2日,十二層,
RPQRMLOKPHLFFCA18CA,35,98.87,住家用,鋼筋混凝土造,70年1月22日,四層,四層
RPOQMLSKPHLFFCA28CA,35,99.39,住商用,鋼筋混凝土造,70年12月14日,五層,一層
RPOQMLSKPHLFFCA28CA,35,6.30,見使用執照,鋼筋混凝土造,70年12月14日,五層,地下層
RPSQMLSKPHLFFCA68CA,7,109.05,見其他登記事項,鋼筋混凝土造,98年12月8日,十三層,十層
RPSQMLSKPHLFFCA68CA,7,42.30,見其他登記事項,鋼筋混凝土造,98年12月8日,十三層,
RPSQMLSKPHLFFCA68CA,7,33.47,見其他登記事項,鋼筋混凝土造,98年12月8日,十三層,
RPSNMLPLPHLFFCA18CA,9,168.54,見其他登記事項,鋼筋混凝土造,96年6月21日,十四層,六層
RPSNMLPLPHLFFCA18CA,9,.09,共有部分,鋼筋混凝土造,96年6月21日,十四層,
RPSNMLPLPHLFFCA18CA,9,64.96,共有部分,鋼筋混凝土造,96年6月21日,十四層,
RPSNMLPLPHLFFCA18CA,9,29.64,共有部分,鋼筋混凝土造,96年6月21日,十四層,
RPUOMLLJPHLFFDA97CA,9,25.93,見其他登記事項,鋼筋混凝土造,96年1月3日,十三層,六層
RPUOMLLJPHLFFDA97CA,9,9.78,共有部分,鋼筋混凝土造,96年1月3日,十三層,
RPUOMLLJPHLFFDA97CA,9,4.45,共有部分,鋼筋混凝土造,96年1月3日,十三層,
RPUOMLLJPHLFFDA97CA,9,1.62,共有部分,鋼筋混凝土造,96年1月3日,十三層,
RPRPMLLJPHLFFDA77CA,40,91.20,住家用,鋼筋混凝土造,65年4月13日,四層,二層 陽台
RPTPMLLJPHLFFDA97CA,38,113.33,住家用,鋼筋混凝土造,67年8月7日,七層,三層
RPTPMLLJPHLFFDA97CA,38,11.85,共有部分,鋼筋混凝土造,67年8月7日,七層,
RPUPMLLJPHLFFDA08CA,3,134.26,住家用,鋼筋混凝土造,102年10月22日,五層,一層
RPUPMLLJPHLFFDA08CA,3,138.01,見其他登記事項,鋼筋混凝土造,102年10月22日,五層,
RPWOMLQJPHLFFDA68CA,19,98.37,見其他登記事項,鋼筋混凝土造,86年7月28日,十三層,六層
RPWOMLQJPHLFFDA68CA,19,58.89,共有部分,鋼筋混凝土造,86年7月28日,十三層,
RPUNMLRKPHLFFDA58CA,36,35.50,見其他登記事項,鋼筋混凝土造,69年8月1日,十二層,三層 四層
RPPNMLMJPHLFFEA57CA,38,69.00,住家用,鋼筋混凝土造,67年7月19日,五層,五層
RPPNMLMJPHLFFEA57CA,38,4.25,共用部分,鋼筋混凝土造,67年7月19日,五層,
RPVNMLOJPHLFFEA38CA,34,116.33,住家用,鋼筋混凝土造,71年7月19日,五層,四層
RPVNMLOJPHLFFEA38CA,34,10.53,共用部分,鋼筋混凝土造,71年7月19日,五層,
RPQOMLOJPHLFFEA97CA,8,14.63,停車空間,鋼筋混凝土造,97年5月2日,十三層,地下二層
RPQOMLOJPHLFFEA97CA,8,46.82,共用部分,鋼筋混凝土造,97年5月2日,十三層,
RPQOMLOJPHLFFEA97CA,8,.02,共用部分,鋼筋混凝土造,97年5月2日,十三層,
RPQOMLOJPHLFFEA97CA,8,9.63,共用部分,鋼筋混凝土造,97年5月2日,十三層,
SPQOMLOJPHLFFEA08CA,8,7.28,停車空間,鋼筋混凝土造,97年5月2日,十三層,地下二層
SPQOMLOJPHLFFEA08CA,8,23.29,共用部分,鋼筋混凝土造,97年5月2日,十三層,
SPQOMLOJPHLFFEA08CA,8,.01,共用部分,鋼筋混凝土造,97年5月2日,十三層,
SPQOMLOJPHLFFEA08CA,8,4.79,共用部分,鋼筋混凝土造,97年5月2日,十三層,
TPQOMLOJPHLFFEA18CA,8,7.28,停車空間,鋼筋混凝土造,97年5月2日,十三層,地下二層
TPQOMLOJPHLFFEA18CA,8,23.29,共用部分,鋼筋混凝土造,97年5月2日,十三層,
TPQOMLOJPHLFFEA18CA,8,.01,共用部分,鋼筋混凝土造,97年5月2日,十三層,
TPQOMLOJPHLFFEA18CA,8,4.79,共用部分,鋼筋混凝土造,97年5月2日,十三層,
RPSOMLOJPHLFFEA18CA,49,68.50,住家用,加強磚造,56年1月1日,四層,一層
RPQNMLPJPHLFFEA97CA,,184.39,住家用,鋼筋混凝土造,105年3月15日,十九層,三層
RPQNMLPJPHLFFEA97CA,,45.19,見其他登記事項,鋼筋混凝土造,105年3月15日,十九層,
RPQNMLPJPHLFFEA97CA,,113.19,見其他登記事項,鋼筋混凝土造,105年3月15日,十九層,
RPOQMLQJPHLFFEA18CA,11,16.20,見其他登記事項,鋼筋混凝土造,94年3月22日,十四層,十層
RPOQMLQJPHLFFEA18CA,11,9.02,共用部分,鋼筋混凝土造,94年3月22日,十四層,
RPWQMLQJPHLFFEA98CA,,.03,見其他登記事項,鋼筋混凝土造,105年3月15日,十九層,一層
RPWQMLQJPHLFFEA98CA,,.00,見其他登記事項,鋼筋混凝土造,105年3月15日,十九層,
RPWQMLQJPHLFFEA98CA,,30.81,見其他登記事項,鋼筋混凝土造,105年3月15日,十九層,
SPWQMLQJPHLFFEA09CA,,175.57,住家用,鋼筋混凝土造,105年3月15日,十九層,六層
SPWQMLQJPHLFFEA09CA,,43.02,見其他登記事項,鋼筋混凝土造,105年3月15日,十九層,
SPWQMLQJPHLFFEA09CA,,79.93,見其他登記事項,鋼筋混凝土造,105年3月15日,十九層,
RPPNMLNKPHLFFEA77CA,43,65.48,住家用,鋼筋混凝土造,62年6月28日,四層,一層
RPTOMLOKPHLFFEA38CA,19,148.86,住家用,鋼筋混凝土造,86年7月24日,七層,三層 四層
RPTOMLOKPHLFFEA38CA,19,8.00,共用部分,鋼筋混凝土造,86年7月24日,七層,
