編號,車位類別,車位價格,車位面積平方公尺
RPRNMLOJPHLFFAA57CA,升降機械,1000000,
RPTNMLOJPHLFFAA77CA,坡道平面,0,36.42
RPTNMLOJPHLFFAA77CA,坡道平面,0,36.42
RPQNMLTKPHLFFBA18CA,坡道平面,0,38.75
RPROMLOJPHLFFCA87CA,坡道平面,0,28.03
RPVQMLRJPHLFFCA78CA,坡道平面,2050000,31.72
RPWQMLRJPHLFFCA88CA,坡道平面,2080000,31.72
RPOOMLRJPHLFFCA87CA,坡道平面,0,45.66
RPOOMLRJPHLFFCA87CA,坡道平面,0,45.66
RPQRMLLKPHLFFCA87CA,坡道平面,0,30.84
RPTPMLLKPHLFFCA97CA,坡道平面,0,14.97
RPSQMLSKPHLFFCA68CA,坡道平面,0,33.47
RPSNMLPLPHLFFCA18CA,坡道平面,0,29.63
RPUPMLLJPHLFFDA08CA,升降平面,0,40.55
RPUPMLLJPHLFFDA08CA,升降平面,0,38.39
RPQOMLOJPHLFFEA97CA,坡道平面,0,
RPQOMLOJPHLFFEA97CA,坡道平面,0,
SPQOMLOJPHLFFEA08CA,坡道平面,2550000,35.37
TPQOMLOJPHLFFEA18CA,坡道平面,2550000,35.37
RPQNMLPJPHLFFEA97CA,坡道平面,2300000,30.81
RPQNMLPJPHLFFEA97CA,坡道平面,2300000,30.81
RPWQMLQJPHLFFEA98CA,坡道平面,2000000,30.81
SPWQMLQJPHLFFEA09CA,坡道平面,2000000,30.81
RPUOMLQLPHLFFEA78CA,升降機械,1400000,13.36
RPSOMLTLPHLFFEA88CA,坡道平面,0,38.20
RPSOMLTLPHLFFEA88CA,坡道平面,0,38.20
RPTOMLTLPHLFFEA98CA,坡道平面,0,38.20
RPUOMLTLPHLFFEA09CA,坡道平面,0,38.20
RPVOMLTLPHLFFEA56CA,坡道平面,0,38.20
RPXOMLTLPHLFFEA76CA,坡道平面,0,38.20
RPTNMLMJPHLFFAA67DA,坡道平面,1330000,27.16
RPWNMLPJPHLFFDA58DA,坡道平面,0,45.29
RPQOMLLJPHLFFFA87DA,升降平面,0,
RPSNMLPJPHLFFEA28DA,升降機械,1650000,27.83
RPUNMLPJPHLFFEA48DA,升降機械,825000,12.56
RPQOMLMJQHLFFFA08DA,坡道平面,350000,6.99
RPVOMLRJPHLFFDA78DA,塔式車位,1500000,
RPVNMLNKPHLFFCA28DA,坡道平面,0,36.82
RPQRMLQJPHLFFCA38DA,升降平面,0,60.60
RPOQMLLKPHLFFCA67DA,升降機械,0,
RPSNMLPJPHLFFAA87DA,升降機械,1500000,11.89
RPSNMLPJPHLFFAA87DA,升降機械,1500000,11.89
RPQNMLTJPHLFFBA18DA,塔式車位,0,2.53
RPQOMLRJPHLFFFA38CA,坡道機械,1600000,
RPPPMLTLPHLFFEA68CA,坡道平面,1250000,29.55
