鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,18.16,住,,,1041023,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.51,0,0,0,無,無,25000000,280899,其他,36.63,2000000,,RPRNMLQJPHLFFCA08CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,17.98,住,,,1020311,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.65,0,0,0,無,無,25200000,286349,其他,36.63,2000000,,RPSNMLQJPHLFFCA18CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,17.98,住,,,1020303,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.65,0,0,0,無,無,24880000,284868,其他,36.63,1800000,,RPTNMLQJPHLFFCA28CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1020311,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,16000000,233801,其他,36.63,2000000,,RPUNMLQJPHLFFCA38CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1011017,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,16300000,243821,其他,36.63,1700000,,RPVNMLQJPHLFFCA48CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,12.69,住,,,1011121,土地1建物1車位2,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.27,0,0,0,無,無,17400000,235046,其他,73.26,4000000,,RPWNMLQJPHLFFCA58CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1011003,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,17000000,250501,其他,36.63,2000000,,RPXNMLQJPHLFFCA68CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1011031,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,16160000,239813,其他,36.63,1800000,,RPOOMLQJPHLFFCA87CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1011210,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,16850000,247996,其他,36.63,2000000,,RPPOMLQJPHLFFCA97CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1020307,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,17200000,255511,其他,36.63,1900000,,RPQOMLQJPHLFFCA08CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1020303,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,17000000,247161,其他,36.63,2200000,,RPROMLQJPHLFFCA18CB
中山區,房地(土地+建物),吉林段二小段511~540地號,13.28,住,,,1020126,土地1建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.88,0,0,0,無,無,17300000,288911,,0.0,0,,RPTOMLQJPHLFFCA38CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,13.28,住,,,1011008,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.51,0,0,0,無,無,18840000,282899,其他,36.63,1900000,,RPUOMLQJPHLFFCA48CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,12.81,住,,,1011121,土地1建物1車位2,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.94,0,0,0,無,無,22000000,313800,其他,73.26,3900000,,RPVOMLQJPHLFFCA58CB
中山區,房地(土地+建物)+車位,吉林段二小段511~540地號,16.24,住,,,1011013,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.73,1,1,1,有,無,15250000,208366,其他,23.14,2000000,,RPWOMLQJPHLFFCA68CB
