鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中山區,建物,臺北市中山區明水路571~600號,0.0,商,,,1050527,土地0建物1車位1,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0980706,183.57999999999998,1,0,1,有,有,無,125000,681,坡道平面,47.11,0,,RPWNMLLJPHLFFCA18CC
中山區,建物,臺北市中山區中山北路二段151~180號,0.0,商,,,1050613,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0951129,61.9,1,1,1,有,有,有,30000,485,,0.0,0,租金內含管理費。,RPQOMLLJPHLFFCA67CC
內湖區,建物,臺北市內湖區金龍路1~30號,0.0,住,,,1050621,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700826,26.4,1,0,0,無,無,有,9500,360,,0.0,0,,RPSOMLLJPHLFFCA87CC
中山區,建物,臺北市中山區錦州街31~60號,0.0,商,,,1050614,土地0建物1車位0,六層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0730927,37.86,1,1,1,有,有,有,13000,343,,0.0,0,,RPWOMLLJPHLFFCA28CC
中山區,建物,臺北市中山區北安路601~630號,0.0,住,,,1050625,土地0建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861008,122.94,3,2,2,有,有,有,49000,399,坡道平面,0.0,0,,RPXOMLLJPHLFFCA38CC
中山區,建物,臺北市中山區長春路1~30號,0.0,商,,,1050620,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990212,41.31,1,1,1,有,有,有,35000,847,,0.0,0,,RPQPMLLJPHLFFCA77CC
中山區,建物,臺北市中山區松江路69巷1~30號,0.0,住,,,1050606,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020903,89.69,1,2,1,有,無,有,50000,557,,0.0,0,,RPRPMLLJPHLFFCA87CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1050607,土地0建物1車位0,十七層,18,套房(1房1廳1衛),商業用,鋼筋混凝土造,0980916,66.62,1,1,1,有,無,有,52000,781,,0.0,0,,RPUPMLLJPHLFFCA18CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1050623,土地0建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980916,66.62,1,1,1,有,無,無,45000,675,,0.0,0,,RPXPMLLJPHLFFCA48CC
內湖區,建物,臺北市內湖區文德路61~90號,0.0,住,,,1050630,土地0建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970729,219.57999999999998,3,1,2,有,有,有,57000,260,坡道平面,35.44,0,,RPPQMLLJPHLFFCA77CC
信義區,房地(土地+建物)+車位,臺北市南港區吳興街467巷2弄1~30號,24.98,住,,,1050701,土地1建物1車位1,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790319,90.32,3,2,1,有,無,有,110000,1218,一樓平面,0.0,0,自設車位,RPSNMLLJPHLFFDA87CC
松山區,建物,臺北市松山區民權東路三段125巷1~30號,0.0,住,,,1050602,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0740408,130.83,3,2,2,有,有,有,57000,436,,0.0,0,,RPVOMLLJPHLFFDA28CC
信義區,建物,臺北市信義區基隆路一段1~30號,0.0,商,,,1050605,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,76.48,2,1,1,有,有,有,50000,654,,0.0,0,,RPWOMLLJPHLFFDA38CC
松山區,房地(土地+建物),臺北市松山區民生東路三段121~150號,14.54,商,,,1050623,土地1建物1車位0,七層,14,辦公商業大樓,商業用,鋼筋混凝土造,0751129,122.57999999999998,0,0,0,無,有,無,63140,515,,0.0,0,"每月租金63,140元整(含稅)",RPXOMLLJPHLFFDA48CC
松山區,建物,臺北市松山區光復北路11巷31~60號,0.0,住,,,1050630,土地0建物1車位0,十一層,14,辦公商業大樓,商業用,鋼骨混凝土造,0820202,1133.97,0,0,0,無,有,無,594248,524,,0.0,0,,RPPPMLLJPHLFFDA77CC
大同區,建物,臺北市大同區承德路一段91~120號,0.0,商,,,1050615,土地0建物1車位0,七層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0781227,55.07,1,1,1,有,有,有,22000,399,,0.0,0,,RPSNMLLJPHLFFBA67CC
中正區,建物,臺北市中正區忠孝東路一段49巷1~30號,0.0,,,,1050616,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0730710,122.24,4,2,2,有,無,無,39000,319,,0.0,0,,RPUNMLLJPHLFFBA87CC
中正區,建物,臺北市中正區漢口街一段91~120號,0.0,,,,1050617,土地0建物1車位0,五層,9,辦公商業大樓,商業用,鋼筋混凝土造,,34.29,0,0,0,無,有,有,12000,350,,0.0,0,只附冷氣,RPXNMLLJPHLFFBA18CC
大同區,建物,臺北市大同區市民大道一段211~240號,0.0,其他,,,1050616,土地0建物1車位0,八層,18,套房(1房1廳1衛),見其他登記事項,見其他登記事項,0980724,50.98,1,1,1,有,有,無,28800,565,,0.0,0,,RPQOMLLJPHLFFBA57CC
