編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLLJPHLFFCA18CC,7,95.98,商業用,鋼筋混凝土造,98年7月6日,一層,
RPWNMLLJPHLFFCA18CC,7,40.49,共有部分,鋼筋混凝土造,98年7月6日,十層,
RPWNMLLJPHLFFCA18CC,7,47.11,共有部分,鋼筋混凝土造,98年7月6日,十層,
RPQOMLLJPHLFFCA67CC,10,42.69,住家用,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPQOMLLJPHLFFCA67CC,10,13.84,共有部分,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPQOMLLJPHLFFCA67CC,10,5.37,共有部分,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPSOMLLJPHLFFCA87CC,35,26.40,住家用,鋼筋混凝土造,70年8月26日,五層,
RPWOMLLJPHLFFCA28CC,32,30.23,住家用,鋼筋混凝土造,73年9月27日,十三層,
RPWOMLLJPHLFFCA28CC,32,7.63,共有部分,鋼筋混凝土造,73年9月27日,十三層,
RPXOMLLJPHLFFCA38CC,19,100.66,住家用,鋼筋混凝土造,86年10月8日,九層,
RPXOMLLJPHLFFCA38CC,19,3.38,共有部分,鋼筋混凝土造,86年10月8日,九層,
RPXOMLLJPHLFFCA38CC,30,18.90,見使用執照,鋼筋混凝土造,75年4月9日,二層,
RPQPMLLJPHLFFCA77CC,6,26.93,住家用,鋼筋混凝土造,99年2月12日,十四層,
RPQPMLLJPHLFFCA77CC,6,14.38,見其他登記事項,鋼筋混凝土造,99年2月12日,十四層,
RPRPMLLJPHLFFCA87CC,3,49.45,住家用,鋼筋混凝土造,102年9月3日,七層,
RPRPMLLJPHLFFCA87CC,3,28.23,見其他登記事項,鋼筋混凝土造,102年9月3日,七層,
RPRPMLLJPHLFFCA87CC,3,12.01,見其他登記事項,鋼筋混凝土造,102年9月3日,七層,
RPUPMLLJPHLFFCA18CC,7,44.96,商業用,鋼筋混凝土造,98年9月16日,十八層,
RPUPMLLJPHLFFCA18CC,7,9.31,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPUPMLLJPHLFFCA18CC,7,9.76,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPUPMLLJPHLFFCA18CC,7,2.59,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPXPMLLJPHLFFCA48CC,7,44.96,商業用,鋼筋混凝土造,98年9月16日,十八層,
RPXPMLLJPHLFFCA48CC,7,9.31,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPXPMLLJPHLFFCA48CC,7,9.76,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPXPMLLJPHLFFCA48CC,7,2.59,共有部分,鋼筋混凝土造,98年9月16日,十八層,
RPPQMLLJPHLFFCA77CC,8,129.07,住家用,鋼筋混凝土造,97年7月29日,十四層,
RPPQMLLJPHLFFCA77CC,8,2.49,共有部分,鋼筋混凝土造,97年7月29日,十四層,
RPPQMLLJPHLFFCA77CC,8,40.36,共有部分,鋼筋混凝土造,97年7月29日,十四層,
RPPQMLLJPHLFFCA77CC,8,34.57,共有部分,鋼筋混凝土造,97年7月29日,十四層,
RPPQMLLJPHLFFCA77CC,8,13.09,共有部分,鋼筋混凝土造,97年7月29日,十四層,
RPSNMLLJPHLFFDA87CC,26,90.32,住家用,鋼筋混凝土造,79年3月19日,五層,
RPVOMLLJPHLFFDA28CC,31,107.09,見其他登記事項,鋼筋混凝土造,74年4月8日,十四層,
RPVOMLLJPHLFFDA28CC,31,23.74,見其他登記事項,鋼筋混凝土造,74年4月8日,十四層,
RPWOMLLJPHLFFDA38CC,3,51.27,住家用,鋼筋混凝土造,102年11月7日,十三層,
RPWOMLLJPHLFFDA38CC,3,25.21,見其他登記事項,鋼筋混凝土造,102年11月7日,十三層,
RPXOMLLJPHLFFDA48CC,30,81.35,商業用,鋼筋混凝土造,75年11月29日,十四層,
RPXOMLLJPHLFFDA48CC,30,13.39,共有部分,鋼筋混凝土造,75年11月29日,十四層,
RPXOMLLJPHLFFDA48CC,30,27.84,共有部分,鋼筋混凝土造,75年11月29日,十四層,
RPPPMLLJPHLFFDA77CC,23,974.83,商業用,鋼骨混凝土造,82年2月2日,十四層,
RPPPMLLJPHLFFDA77CC,23,159.14,共有部分,鋼骨混凝土造,82年2月2日,十四層,
RPSNMLLJPHLFFBA67CC,26,37.50,商業用,鋼筋混凝土造,78年12月27日,十二層,
RPSNMLLJPHLFFBA67CC,26,17.57,共有部分,鋼筋混凝土造,78年12月27日,十二層,
RPUNMLLJPHLFFBA87CC,32,122.24,商業用,鋼筋混凝土造,73年7月10日,五層,
RPXNMLLJPHLFFBA18CC,,6.06,共有部分,鋼筋混凝土造,,九層,
RPXNMLLJPHLFFBA18CC,,28.23,商業用,鋼筋混凝土造,,九層,
RPQOMLLJPHLFFBA57CC,7,34.19,見其他登記事項,見其他登記事項,98年7月24日,十八層,
RPQOMLLJPHLFFBA57CC,7,13.12,共有部分,見其他登記事項,98年7月24日,十八層,
RPQOMLLJPHLFFBA57CC,7,3.67,共有部分,見其他登記事項,98年7月24日,十八層,
RPROMLLJPHLFFBA67CC,7,69.36,住家用,見其他登記事項,98年7月24日,十八層,
RPROMLLJPHLFFBA67CC,7,20.75,共有部分,見其他登記事項,98年7月24日,十八層,
RPROMLLJPHLFFBA67CC,7,.15,共有部分,見其他登記事項,98年7月24日,十八層,
RPSOMLLJPHLFFBA77CC,,29.75,,木造,,一層,
RPVOMLLJPHLFFBA08CC,25,249.33,商業用,鋼筋混凝土造,80年4月8日,十層,
RPWOMLLJPHLFFBA18CC,7,63.85,住家用,見其他登記事項,98年7月24日,十八層,
RPWOMLLJPHLFFBA18CC,7,19.09,共有部分,見其他登記事項,98年7月24日,十八層,
RPWOMLLJPHLFFBA18CC,7,.14,共有部分,見其他登記事項,98年7月24日,十八層,
RPWOMLLJPHLFFBA18CC,7,9.39,共有部分,見其他登記事項,98年7月24日,十八層,
RPTNMLLJPHLFFEA08CC,52,69.46,住家用,加強磚造,53年12月5日,二層,
RPUNMLLJPHLFFEA18CC,8,110.42,住家用,鋼筋混凝土造,97年10月14日,十五層,
RPUNMLLJPHLFFEA18CC,8,47.67,共用部分,鋼筋混凝土造,97年10月14日,十五層,
RPSOMLLJPHLFFEA08CC,4,113.79,住家用,鋼筋混凝土造,101年5月22日,十三層,
RPSOMLLJPHLFFEA08CC,4,19.06,見其他登記事項,鋼筋混凝土造,101年5月22日,十三層,
RPSOMLLJPHLFFEA08CC,4,34.87,見其他登記事項,鋼筋混凝土造,101年5月22日,十三層,
RPPPMLLJPHLFFEA87CC,32,139.17,住家用,鋼筋混凝土造,73年9月25日,七層,
RPPPMLLJPHLFFEA87CC,32,1.81,共用部分,,73年9月25日,七層,
RPRPMLLJPHLFFEA08CC,8,114.78,住家用,鋼筋混凝土造,97年8月18日,七層,
RPRPMLLJPHLFFEA08CC,8,57.08,共用部分,鋼筋混凝土造,97年8月18日,七層,
RPTPMLLJPHLFFEA28CC,32,137.20,住家用,鋼筋混凝土造,73年11月13日,七層,
RPTPMLLJPHLFFEA28CC,32,1.94,共用部分,鋼筋混凝土造,73年11月13日,七層,
RPTPMLLJPHLFFEA28CC,32,20.47,共用部分,鋼筋混凝土造,73年11月13日,七層,
RPWPMLLJPHLFFEA58CC,31,154.51,住家用,鋼筋混凝土造,74年12月12日,七層,
RPWPMLLJPHLFFEA58CC,31,10.79,共用部分,鋼筋混凝土造,74年12月12日,七層,
RPQNMLLJPHLFFFA87CC,,22.78,住家用,鋼筋混凝土造,,四層,
RPSNMLLJPHLFFFA08CC,,87.52,住家用,鋼筋混凝土造,,十二層,
RPTNMLLJPHLFFFA18CC,19,41.40,商業用,鋼筋混凝土造,86年2月3日,十四層,
RPTNMLLJPHLFFFA18CC,19,15.06,共有部分,鋼筋混凝土造,86年2月3日,十四層,
RPTNMLLJPHLFFFA18CC,19,5.79,共有部分,鋼筋混凝土造,86年2月3日,十四層,
RPXNMLLJPHLFFFA58CC,8,46.96,住家用,鋼筋混凝土造,97年7月1日,九層,
RPXNMLLJPHLFFFA58CC,8,26.47,共有部分,鋼筋混凝土造,97年7月1日,九層,
RPORMLLJPHLFFAA57CC,36,107.05,住家用,鋼筋混凝土造,68年12月31日,四層,
RPURMLLJPHLFFAA18CC,3,61.82,見其他登記事項,鋼筋混凝土造,102年3月15日,十三層,
RPURMLLJPHLFFAA18CC,3,25.54,見其他登記事項,鋼筋混凝土造,102年3月15日,十三層,
RPVPMLLJPHLFFCA38DC,22,25.41,商業用,鋼筋混凝土造,83年8月11日,十層,
RPVPMLLJPHLFFCA38DC,22,3.97,共有部分,鋼筋混凝土造,83年8月11日,十層,
RPSOMLLJPHLFFDA08DC,,62.80,商業用,鋼筋混凝土造,,十四層,
RPRNMLLJPHLFFFA08DC,4,157.50,住家用,鋼骨鋼筋混凝土造,101年6月13日,十四層,
RPTOMLLJPHLFFFA38DC,,152.44,住家用,加強磚造,,四層,
RPQNMLMJPHLFFFA97CC,,177.44,住商用,鋼筋混凝土造,,十二層,
RPQNMLMJPHLFFFA97CC,,18.67,共有部分,鋼筋混凝土造,,十二層,
RPPNMLMJPHLFFBA47CC,21,231.79,商業用,鋼筋混凝土造,84年5月1日,十一層,
RPQNMLMJPHLFFCA67CC,7,65.68,見其他登記事項,鋼筋混凝土造,98年11月6日,十四層,
RPQNMLMJPHLFFCA67CC,7,16.60,見其他登記事項,鋼筋混凝土造,98年11月6日,十四層,
RPQNMLMJPHLFFCA67CC,7,16.90,見其他登記事項,鋼筋混凝土造,98年11月6日,十四層,
RPRNMLOJPHLFFCA97CC,6,31.29,住家用,鋼筋混凝土造,99年2月12日,十四層,
RPRNMLOJPHLFFCA97CC,6,.77,見其他登記事項,鋼筋混凝土造,99年2月12日,十四層,
RPRNMLOJPHLFFCA97CC,6,16.67,見其他登記事項,鋼筋混凝土造,99年2月12日,十四層,
RPTNMLOJPHLFFCA18CC,16,78.02,商業用,鋼筋混凝土造,89年10月26日,十二層,
RPTNMLOJPHLFFCA18CC,16,7.36,共有部分,鋼筋混凝土造,89年10月26日,十二層,
RPVNMLOJPHLFFCA38CC,29,33.18,商業用,鋼筋混凝土造,76年11月3日,十二層,
RPVNMLOJPHLFFCA38CC,29,12.74,共有部分,鋼筋混凝土造,76年11月3日,十二層,
