編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLLJPHLFFCA18CC,金泰段,.00,都市：商
RPQOMLLJPHLFFCA67CC,中山段二小段,.00,都市：商
RPSOMLLJPHLFFCA87CC,康寧段二小段,.00,都市：住
RPWOMLLJPHLFFCA28CC,吉林段三小段,.00,都市：商
RPXOMLLJPHLFFCA38CC,北安段三小段,.00,都市：住
RPQPMLLJPHLFFCA77CC,中山段三小段,.00,都市：商
RPRPMLLJPHLFFCA87CC,長安段三小段,.00,都市：住
RPUPMLLJPHLFFCA18CC,吉林段四小段,.00,都市：商
RPXPMLLJPHLFFCA48CC,吉林段四小段,.00,都市：商
RPPQMLLJPHLFFCA77CC,文德段一小段,.00,都市：住
RPPQMLLJPHLFFCA77CC,文德段一小段,.00,都市：住
RPSNMLLJPHLFFDA87CC,吳興段二小段,24.98,都市：住
RPVOMLLJPHLFFDA28CC,敦化段四小段,.00,都市：住
RPWOMLLJPHLFFDA38CC,雅祥段一小段,.00,都市：商
RPXOMLLJPHLFFDA48CC,敦化段一小段,14.54,都市：商
RPPPMLLJPHLFFDA77CC,西松段二小段,.00,都市：住
RPSNMLLJPHLFFBA67CC,市府段一小段,.00,都市：商
RPUNMLLJPHLFFBA87CC,成功段一小段,.00,非都市： ; 非都市編定：
RPXNMLLJPHLFFBA18CC,城中段一小段,.00,非都市： ; 非都市編定：
RPXNMLLJPHLFFBA18CC,城中段一小段,.00,非都市： ; 非都市編定：
RPQOMLLJPHLFFBA57CC,市府段一小段,.00,都市：其他
RPROMLLJPHLFFBA67CC,市府段一小段,.00,都市：其他
RPSOMLLJPHLFFBA77CC,福星段二小段,13.00,都市：商
RPSOMLLJPHLFFBA77CC,福星段二小段,42.00,都市：商
RPVOMLLJPHLFFBA08CC,成功段一小段,.00,都市：商
RPWOMLLJPHLFFBA18CC,市府段一小段,.00,非都市： ; 非都市編定：
RPTNMLLJPHLFFEA08CC,福林段三小段,.00,都市：住
RPUNMLLJPHLFFEA18CC,百齡段三小段,.00,都市：商
RPSOMLLJPHLFFEA08CC,蘭雅段二小段,.00,都市：住
RPPPMLLJPHLFFEA87CC,天母段二小段,.00,都市：商
RPRPMLLJPHLFFEA08CC,行義段三小段,.00,都市：住
RPTPMLLJPHLFFEA28CC,天母段三小段,.00,都市：商
RPWPMLLJPHLFFEA58CC,天母段三小段,.00,都市：住
RPQNMLLJPHLFFFA87CC,龍泉段一小段,.00,都市：住
RPSNMLLJPHLFFFA08CC,大安段二小段,7.70,都市：商
RPTNMLLJPHLFFFA18CC,大安段三小段,.00,非都市： ; 非都市編定：
RPXNMLLJPHLFFFA58CC,仁愛段一小段,.00,都市：商
RPXNMLLJPHLFFFA58CC,仁愛段一小段,.00,都市：商
RPORMLLJPHLFFAA57CC,萬隆段二小段,.00,都市：住
RPURMLLJPHLFFAA18CC,南海段二小段,2.24,都市：商
RPURMLLJPHLFFAA18CC,南海段二小段,8.04,都市：商
RPVPMLLJPHLFFCA38DC,長春段一小段,7.12,都市：商
RPVPMLLJPHLFFCA38DC,長春段一小段,1.48,都市：商
RPSOMLLJPHLFFDA08DC,信義段二小段,.00,都市：住
RPRNMLLJPHLFFFA08DC,仁愛段一小段,.00,非都市： ; 非都市編定：
RPTOMLLJPHLFFFA38DC,復興段三小段,.00,都市：住
RPQNMLMJPHLFFFA97CC,仁愛段二小段,.00,都市：商
RPQNMLMJPHLFFFA97CC,仁愛段二小段,.00,都市：商
RPPNMLMJPHLFFBA47CC,雙連段一小段,231.79,都市：住
RPQNMLMJPHLFFCA67CC,中山段一小段,.00,都市：商
RPRNMLOJPHLFFCA97CC,中山段三小段,.00,都市：商
RPTNMLOJPHLFFCA18CC,中山段三小段,.00,都市：商
RPVNMLOJPHLFFCA38CC,中山段四小段,.00,都市：商
RPWNMLOJPHLFFCA48CC,中山段四小段,.00,都市：商
RPWNMLOJPHLFFCA48CC,中山段四小段,.00,都市：商
RPPOMLOJPHLFFCA87CC,西湖段四小段,365.57,都市：工
RPQOMLOJPHLFFCA97CC,西湖段四小段,.00,都市：工
RPTOMLOJPHLFFCA28CC,西湖段四小段,365.57,都市：工
RPUOMLOJPHLFFCA38CC,長安段三小段,.00,都市：住
RPVOMLOJPHLFFCA48CC,榮星段五小段,35.00,都市：住
RPWOMLOJPHLFFCA58CC,金泰段,.00,都市：商
RPXOMLOJPHLFFCA68CC,長安段三小段,.00,都市：商
RPOPMLOJPHLFFCA87CC,西湖段四小段,367.52,都市：工
RPPPMLOJPHLFFCA97CC,西湖段四小段,367.52,都市：工
RPVPMLOJPHLFFCA58CC,榮星段六小段,.00,都市：商
RPWPMLOJPHLFFCA68CC,文德段二小段,.00,都市：住
RPSQMLOJPHLFFCA38CC,榮星段二小段,.00,都市：商
RPTQMLOJPHLFFCA48CC,舊宗段,.00,都市：其他
RPUQMLOJPHLFFCA58CC,正義段一小段,.00,都市：商
RPWQMLOJPHLFFCA78CC,正義段三小段,.00,都市：商
RPORMLOJPHLFFCA08CC,西湖段四小段,61294.40,都市：工
RPQNMLOJPHLFFDA97CC,敦化段一小段,.00,都市：商
RPWNMLOJPHLFFDA58CC,南港段一小段,.00,都市：住
RPQOMLOJPHLFFDA08CC,寶清段二小段,.00,都市：商
RPTOMLOJPHLFFDA38CC,信義段四小段,.00,非都市： ; 非都市編定：
RPVOMLOJPHLFFDA58CC,信義段四小段,.00,非都市： ; 非都市編定：
RPWOMLOJPHLFFDA68CC,信義段三小段,.00,都市：其他
RPXOMLOJPHLFFDA78CC,祥和段二小段,.00,都市：商
RPUNMLOJPHLFFBA18CC,城中段三小段,.00,都市：商
RPOOMLOJPHLFFEA97CC,三玉段二小段,.00,都市：住
RPUOMLOJPHLFFEA58CC,振興段一小段,.00,都市：住
RPVOMLOJPHLFFEA68CC,立農段一小段,.00,都市：住
RPQPMLOJPHLFFEA28CC,振興段三小段,.00,都市：商
RPRNMLOJPHLFFFA28CC,懷生段一小段,.00,都市：商
RPTNMLOJPHLFFFA48CC,復興段三小段,.00,都市：住
RPTNMLOJPHLFFFA48CC,復興段三小段,.00,都市：住
RPUNMLOJPHLFFFA58CC,學府段一小段,.00,都市：其他
RPVNMLOJPHLFFFA68CC,復興段一小段,.00,都市：商
RPWNMLOJPHLFFFA78CC,通化段二小段,.00,都市：住
RPOOMLOJPHLFFFA08CC,通化段五小段,.00,都市：住
RPPOMLOJPHLFFFA18CC,瑞安段二小段,.00,都市：住
RPQOMLOJPHLFFFA28CC,復興段一小段,.00,都市：其他
RPQOMLOJPHLFFFA28CC,復興段一小段,.00,都市：其他
RPSOMLOJPHLFFFA48CC,復興段一小段,.00,都市：商
RPSOMLOJPHLFFFA48CC,復興段一小段,.00,都市：商
RPSOMLOJPHLFFFA48CC,復興段一小段,.00,都市：商
RPSOMLOJPHLFFFA48CC,復興段一小段,.00,都市：商
RPSOMLOJPHLFFFA48CC,復興段一小段,.00,都市：商
RPUOMLOJPHLFFFA68CC,通化段四小段,.00,都市：住
RPUNMLOJPHLFFAA08CC,河堤段四小段,.00,都市：住
RPUNMLOJPHLFFAA08CC,河堤段四小段,.00,都市：住
RPTNMLPJPHLFFAA08CC,南海段五小段,.00,都市：住
RPUNMLPJPHLFFAA18CC,河堤段二小段,.00,都市：商
RPOOMLPJPHLFFAA67CC,景美段四小段,20.28,都市：商
RPQNMLPJPHLFFFA28CC,通化段四小段,.00,都市：商
RPSNMLPJPHLFFFA48CC,仁愛段四小段,.00,都市：住
RPTNMLPJPHLFFFA58CC,仁愛段二小段,.00,都市：商
RPUNMLPJPHLFFFA68CC,仁愛段一小段,.00,都市：其他
RPVNMLPJPHLFFFA78CC,辛亥段一小段,.00,都市：住
RPVNMLPJPHLFFFA78CC,辛亥段一小段,.00,都市：其他
RPXNMLPJPHLFFFA98CC,仁愛段二小段,.00,都市：住
RPXNMLPJPHLFFFA98CC,仁愛段二小段,.00,都市：住
RPXNMLPJPHLFFFA98CC,仁愛段二小段,.00,都市：住
RPQOMLPJPHLFFEA28CC,光華段四小段,.00,都市：商
RPVUMLPJPHLFFEA76CC,蘭雅段一小段,.00,都市：工
RPPVMLPJPHLFFEA88CC,天山段二小段,.00,都市：商
RPQNMLPJPHLFFBA87CC,臨沂段三小段,.00,都市：住
RPUNMLPJPHLFFBA28CC,城中段二小段,.00,都市：商
RPUNMLPJPHLFFBA28CC,城中段二小段,.00,都市：商
RPVNMLPJPHLFFBA38CC,公園段二小段,.00,都市：商
RPVNMLPJPHLFFBA38CC,公園段二小段,.00,都市：商
RPXNMLPJPHLFFBA58CC,成功段一小段,.00,都市：商
RPXNMLPJPHLFFBA58CC,成功段一小段,.00,都市：商
RPXNMLPJPHLFFBA58CC,成功段一小段,.00,都市：商
RPXNMLPJPHLFFBA58CC,成功段一小段,.00,都市：商
RPXNMLPJPHLFFBA58CC,成功段一小段,.00,都市：商
RPXNMLPJPHLFFBA58CC,成功段一小段,.00,都市：商
RPXNMLPJPHLFFBA58CC,成功段一小段,.00,都市：商
RPROMLPJPHLFFBA08CC,大龍段三小段,.00,都市：商
RPXNMLPJPHLFFDA78CC,敦化段一小段,.00,都市：商
RPOOMLPJPHLFFDA97CC,雅祥段四小段,.00,都市：住
RPOOMLPJPHLFFDA97CC,雅祥段四小段,.00,都市：住
RPPOMLPJPHLFFDA08CC,敦化段五小段,.00,都市：商
RPQOMLPJPHLFFDA18CC,三興段一小段,.00,都市：商
RPQOMLPJPHLFFDA18CC,三興段一小段,.00,都市：商
RPQOMLPJPHLFFDA18CC,三興段一小段,.00,都市：商
RPQOMLPJPHLFFDA18CC,三興段一小段,.00,都市：商
RPQOMLPJPHLFFDA18CC,三興段一小段,.00,都市：商
RPQOMLPJPHLFFDA18CC,三興段一小段,.00,都市：商
RPSOMLPJPHLFFDA38CC,美仁段一小段,.00,都市：商
RPSOMLPJPHLFFDA38CC,美仁段一小段,.00,都市：商
RPSOMLPJPHLFFDA38CC,美仁段一小段,.00,都市：商
RPSOMLPJPHLFFDA38CC,美仁段一小段,.00,都市：商
RPSOMLPJPHLFFDA38CC,美仁段一小段,.00,都市：商
RPSOMLPJPHLFFDA38CC,美仁段一小段,.00,都市：商
RPSNMLPJPHLFFCA18CC,西湖段四小段,369.47,都市：工
RPUNMLPJPHLFFCA38CC,文德段五小段,.00,都市：工
RPVNMLPJPHLFFCA48CC,中山段二小段,.00,都市：商
RPXNMLPJPHLFFCA68CC,舊宗段,.00,都市：工
RPPOMLPJPHLFFCA97CC,西湖段四小段,.00,都市：工
RPSOMLPJPHLFFCA28CC,金泰段,.00,都市：商
RPWOMLPJPHLFFCA68CC,中山段三小段,.00,都市：商
RPRPMLPJPHLFFCA28CC,正義段一小段,.00,都市：商
RPUPMLPJPHLFFCA58CC,中山段一小段,.00,都市：商
