編號,車位類別,車位價格,車位面積平方公尺
RPWNMLLJPHLFFCA18CC,坡道平面,0,47.11
RPXOMLLJPHLFFCA38CC,坡道平面,0,
RPPQMLLJPHLFFCA77CC,坡道平面,0,35.44
RPSNMLLJPHLFFDA87CC,一樓平面,0,
RPPOMLOJPHLFFCA87CC,坡道平面,0,
RPPOMLOJPHLFFCA87CC,坡道平面,0,
RPTOMLOJPHLFFCA28CC,坡道平面,0,
RPTOMLOJPHLFFCA28CC,坡道平面,0,
RPWOMLOJPHLFFCA58CC,坡道平面,0,
RPOPMLOJPHLFFCA87CC,坡道平面,0,
RPOPMLOJPHLFFCA87CC,坡道平面,0,
RPOPMLOJPHLFFCA87CC,坡道平面,0,
RPPPMLOJPHLFFCA97CC,坡道平面,0,
RPPPMLOJPHLFFCA97CC,坡道平面,0,
RPPPMLOJPHLFFCA97CC,坡道平面,0,
RPTQMLOJPHLFFCA48CC,坡道平面,0,
RPWNMLOJPHLFFDA58CC,坡道平面,0,33.87
RPQOMLOJPHLFFDA08CC,升降機械,0,39.45
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPVOMLOJPHLFFDA58CC,坡道平面,0,
RPWOMLOJPHLFFDA68CC,坡道平面,0,43.40
RPOOMLOJPHLFFEA97CC,坡道平面,0,
RPVOMLOJPHLFFEA68CC,坡道平面,0,
RPUNMLOJPHLFFFA58CC,坡道平面,0,28.54
RPTNMLPJPHLFFFA58CC,坡道平面,0,
RPXNMLPJPHLFFFA98CC,坡道平面,0,32.68
RPPVMLPJPHLFFEA88CC,坡道平面,0,
RPXNMLPJPHLFFBA58CC,坡道平面,0,
RPXNMLPJPHLFFBA58CC,坡道平面,0,
RPUNMLPJPHLFFCA38CC,坡道平面,0,36.87
RPUNMLPJPHLFFCA38CC,坡道平面,0,36.87
RPXNMLPJPHLFFCA68CC,坡道平面,0,30.48
RPXNMLPJPHLFFCA68CC,坡道平面,0,30.48
RPPOMLPJPHLFFCA97CC,坡道平面,0,
RPPOMLPJPHLFFCA97CC,坡道平面,0,
RPOPMLQJPHLFFBA97CC,升降機械,0,
RPVNMLQJPHLFFDA78DC,坡道平面,5000,
RPXNMLRJPHLFFEA09CC,坡道平面,8800,48.50
RPPPMLRJPHLFFEA48CC,坡道平面,0,
RPRNMLRJPHLFFBA18CC,坡道平面,0,
RPTNMLRJPHLFFBA38CC,一樓平面,0,
RPTNMLRJPHLFFBA38CC,其他,0,
RPTNMLRJPHLFFBA38CC,其他,0,
RPTOMLRJPHLFFDA68CC,坡道平面,0,29.13
RPPOMLRJPHLFFCA18CC,坡道平面,0,
RPXPMLRJPHLFFCA09CC,坡道平面,0,47.82
RPPPMLLKPHLFFCA77CC,坡道平面,2500,
RPPPMLLKPHLFFCA77CC,坡道平面,2500,
RPPPMLLKPHLFFCA77CC,坡道平面,2500,
RPPPMLLKPHLFFCA77CC,坡道平面,2500,
RPPPMLLKPHLFFCA77CC,坡道平面,2500,
RPPPMLLKPHLFFCA77CC,坡道平面,2500,
RPPPMLLKPHLFFCA77CC,坡道平面,2500,
RPTQMLLKPHLFFCA28CC,坡道平面,3000,23.57
RPTQMLLKPHLFFCA28CC,坡道平面,3000,23.57
RPVQMLLKPHLFFCA48CC,一樓平面,0,
RPRNMLMKPHLFFEA08CC,坡道平面,0,44.59
RPRNMLMKPHLFFEA08CC,坡道平面,0,44.59
RPRNMLMKPHLFFEA08CC,坡道平面,0,44.59
RPTNMLMKPHLFFEA28CC,坡道平面,0,4.77
RPWNMLMKPHLFFEA58CC,坡道平面,0,36.91
RPPOMLMKPHLFFEA97CC,坡道平面,0,37.99
RPQOMLMKPHLFFEA08CC,坡道平面,0,32.00
RPSOMLMKPHLFFEA28CC,坡道平面,0,36.91
RPPNMLMKPHLFFCA67CC,坡道平面,0,
RPUOMLMKPHLFFCA28CC,坡道平面,0,42.43
RPUOMLMKPHLFFCA28CC,坡道平面,0,42.43
RPTPMLNKPHLFFDA48CC,坡道機械,0,16.00
RPQOMLNKPHLFFCA97CC,坡道平面,0,
RPOOMLNKPHLFFAA57CC,坡道機械,0,13.10
RPUPMLOKPHLFFEA78CC,坡道平面,3000,
RPOQMLOKPHLFFEA28CC,坡道平面,0,7.17
RPOQMLOKPHLFFEA28CC,坡道平面,0,7.17
RPOQMLOKPHLFFEA28CC,坡道平面,0,7.17
RPPQMLOKPHLFFEA38CC,坡道機械,0,
RPPOMLOKPHLFFCA97CC,坡道平面,0,26.66
RPUQMLOKPHLFFCA68CC,坡道平面,0,
RPUNMLOKPHLFFDA48CC,坡道平面,0,18.19
RPUNMLOKPHLFFDA48CC,坡道平面,0,18.19
RPSOMLOKPHLFFDA38CC,坡道機械,0,12.49
RPQPMLOKPHLFFDA28CC,坡道平面,4000,
RPXNMLPKPHLFFDA88CC,一樓平面,0,
RPWOMLPKPHLFFDA88CC,坡道平面,9000,
RPWOMLPKPHLFFDA88CC,坡道平面,9000,
RPRPMLPKPHLFFDA48CC,坡道平面,5000,31.06
RPRNMLPKPHLFFBA08CC,坡道平面,0,13.64
