¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï¤¤¿³¨½¤½¥¿¸ô121~150¸¹,20.32,¦í,,,1050618,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0780104,139.95,3,2,2,¦³,¦³,5800000,41443,¤É­°¥­­±,0.0,0,,RPRNMLPJPHLFFAB77CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¦è¤t¨½«n¤Ù¸ô¤@¬q305«Ñ5§Ë1~30¸¹,108.0,¦í,,,1050620,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,,86.0,3,1,2,¦³,µL,7000000,81395,,0.0,0,,RPVNMLRJPHLFFAB38CA
¦è°Ï,¤g¦a,«á‚W¤l¬q61~90¦a¸¹,3.69,¦í,,,1050617,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,357687,96934,,0.0,0,,RPROMLRJPHLFFAB08CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤½?E¨½«n¤Ù¸ô¤@¬q61~90¸¹,82.0,¦í,,,1050518,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤G¼h,³z¤Ñ­í,¦í®a¥Î,¿j³y,,126.42,4,2,3,¦³,µL,13150000,104018,,0.0,0,,RPXOMLRJPHLFFAB68CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ïª@¥­¨½¦V¤W¸ô¤@¬q289«Ñ1~30¸¹,5.97,¦í,,,1050602,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,¤K¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821124,37.120000000000005,1,1,1,¦³,¦³,1230000,33136,,0.0,0,,RPQOMLQJPHLFFAB87CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«ªF°ÏªFºÖ¸ô61~90¸¹,29.02,¦í,,,1050616,¤g¦a1«Øª«1¨®¦ì1,¤E¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050318,168.3,3,2,2,¦³,¦³,9100000,56729,©Y¹D¥­­±,28.16,1150000,,RPTPMLLKPHLFFAB87CA
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«ªF°ÏªFºÖ¸ô61~90¸¹,30.64,¦í,,,1050616,¤g¦a1«Øª«1¨®¦ì1,¤Q¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1050318,182.1,3,2,2,¦³,¦³,9000000,54061,©Y¹D¥­­±,34.12,1000000,,RPWPMLLKPHLFFAB18CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï±ö¤t¦è¸ô¤@¬q91~120¸¹,24.07,¦í,,,1050609,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020523,225.97,4,2,2,¦³,¦³,17400000,77001,©Y¹D¥­­±,0.0,0,,RPPNMLMKPHLFFAB37CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï¤u¾Ç¥_¸ô61~90¸¹,5.16,°Ó,,,1050607,¤g¦a1«Øª«3¨®¦ì0,¤K¼h,¤Q¤K¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850506,85.52,3,3,3,¦³,¦³,3000000,35080,,0.0,0,"3¤á,³£¬O³æ®M",RPPNMLNKPHLFFAB47CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¤j¼yµó¤G¬q6¤§16«Ñ31~60¸¹,11.94,°Ó,,,1050515,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0840525,108.98,2,2,2,¦³,¦³,5200000,47715,©Y¹D¾÷±ñ,0.0,0,,RPSOMLPKPHLFFAB08CA
¤¤°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤¤°Ï¤½¶é¸ô1~30¸¹,2.51,°Ó,,,1050516,¤g¦a3«Øª«1¨®¦ì0,¤K¼h,¤Q¤G¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0761216,30.41,1,0,1,¦³,¦³,700000,23019,,0.0,0,,RPWOMLPKPHLFFAB48CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤­´Yµó18«Ñ1~30¸¹,170.0,¦í,,,1050420,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤T¼h,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0620104,281.92,4,2,3,¦³,µL,8289900,29405,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPPNMLTKPHLFFAB08CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó¶¶¤Tµó91~120¸¹,220.18,¦í,,,1050531,¤g¦a1«Øª«1¨®¦ì0,¥þ,¤­¼h,³z¤Ñ­í,¨£¨ä¥¦µn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040224,482.41,6,3,6,¦³,µL,36700000,76076,,0.0,0,,RPTPMLLJPHLFFBB87CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_°Ï±ö«Fµó181~210¸¹,30.32,¦í,,,1050603,¤g¦a1«Øª«1¨®¦ì2,¤T¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0811212,236.57,4,2,3,¦³,¦³,10750000,45441,©Y¹D¾÷±ñ,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPVPMLOJPHLFFBB38CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¶i¤Æ¸ô303«Ñ31~60¸¹,17.86,¦í,,,1050524,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,¤C¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0810113,92.57,3,2,2,¦³,¦³,3450000,37269,,0.0,0,,RPPPMLPJPHLFFBB87CA
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¿ñ¹ç¸ô¤@¬q121~150¸¹,6.7,¦í,,,1050608,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,¤C¼h,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821028,37.57,1,1,1,¦³,¦³,1480000,39393,,0.0,0,,RPVPMLPJPHLFFBB48CA
