編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLPJPHLFFAB77CA,27,103.16,住家用,鋼筋混凝土造,78年1月4日,七層,四層
RPRNMLPJPHLFFAB77CA,27,36.79,見其他登記事項,鋼筋混凝土造,78年1月4日,七層,
RPVNMLRJPHLFFAB38CA,,86.00,住家用,加強磚造,,二層,一層 二層
RPXOMLRJPHLFFAB68CA,,126.42,住家用,磚造,,二層,一層 二層 騎樓
RPQOMLQJPHLFFAB87CA,23,23.48,住家用,鋼筋混凝土造,82年11月24日,八層,四層
RPQOMLQJPHLFFAB87CA,23,13.64,見其他登記事項,鋼筋混凝土造,82年11月24日,八層,
RPTPMLLKPHLFFAB87CA,,96.35,見其他登記事項,鋼筋混凝土造,105年3月18日,十三層,九層
RPTPMLLKPHLFFAB87CA,,49.81,見其他登記事項,鋼筋混凝土造,105年3月18日,十三層,
RPTPMLLKPHLFFAB87CA,,22.13,見其他登記事項,鋼筋混凝土造,105年3月18日,十三層,
RPWPMLLKPHLFFAB18CA,,101.75,見其他登記事項,鋼筋混凝土造,105年3月18日,十三層,十層
RPWPMLLKPHLFFAB18CA,,56.97,見其他登記事項,鋼筋混凝土造,105年3月18日,十三層,
RPWPMLLKPHLFFAB18CA,,23.37,見其他登記事項,鋼筋混凝土造,105年3月18日,十三層,
RPPNMLMKPHLFFAB37CA,3,142.54,見其他登記事項,鋼筋混凝土造,102年5月23日,十三層,七層
RPPNMLMKPHLFFAB37CA,3,56.60,見其他登記事項,鋼筋混凝土造,102年5月23日,十三層,
RPPNMLMKPHLFFAB37CA,3,26.83,見其他登記事項,鋼筋混凝土造,102年5月23日,十三層,
RPPNMLNKPHLFFAB47CA,20,3.72,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,19.33,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,八層
RPPNMLNKPHLFFAB47CA,20,.89,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,19.27,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,八層
RPPNMLNKPHLFFAB47CA,20,1.31,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,19.27,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,八層
RPPNMLNKPHLFFAB47CA,20,3.30,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,3.72,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,.89,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,1.31,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,3.30,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,3.72,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,3.30,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,.89,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPPNMLNKPHLFFAB47CA,20,1.31,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSOMLPKPHLFFAB08CA,21,77.26,見其他登記事項,鋼筋混凝土造,84年5月25日,十四層,五層
RPSOMLPKPHLFFAB08CA,21,31.72,見其他登記事項,鋼筋混凝土造,84年5月25日,十六層,
RPWOMLPKPHLFFAB48CA,28,22.18,住家用,鋼筋混凝土造,76年12月16日,十二層,八層
RPWOMLPKPHLFFAB48CA,28,8.23,見其他登記事項,鋼筋混凝土造,76年12月16日,十二層,
RPPNMLTKPHLFFAB08CA,43,281.92,住家用,見其他登記事項,62年1月4日,三層,一層 二層 三層 地下層
RPTPMLLJPHLFFBB87CA,1,482.41,見其它登記事項,鋼筋混凝土造,104年2月24日,五層,一層 二層 三層 四層 五層
RPVPMLOJPHLFFBB38CA,23,195.54,住家用,鋼筋混凝土造,81年12月12日,十二層,三層
RPVPMLOJPHLFFBB38CA,23,41.03,共有部份,鋼筋混凝土造,81年12月12日,十二層,
RPPPMLPJPHLFFBB87CA,24,90.61,住家用,鋼筋混凝土造,81年1月13日,七層,五層
RPPPMLPJPHLFFBB87CA,24,1.96,共有部份,鋼筋混凝土造,81年1月13日,七層,
RPVPMLPJPHLFFBB48CA,23,29.23,住家用,鋼筋混凝土造,82年10月28日,七層,三層
RPVPMLPJPHLFFBB48CA,23,8.34,共有部份,鋼筋混凝土造,82年10月28日,七層,
RPTQMLQJPHLFFBB48CA,25,332.91,住商用,鋼筋混凝土造,80年3月27日,十六層,一層 二層 騎樓
RPTQMLQJPHLFFBB48CA,25,49.25,共有部份,鋼筋混凝土造,80年3月27日,十六層,
RPPRMLQJPHLFFBB18CA,24,107.27,住家用,鋼筋混凝土造,81年6月27日,十四層,九層
RPPRMLQJPHLFFBB18CA,24,10.61,共有部份,鋼筋混凝土造,81年6月27日,十四層,
RPXOMLRJPHLFFBB78CA,29,72.71,住家用,鋼筋混凝土造,76年6月11日,五層,四層
RPXOMLRJPHLFFBB78CA,29,9.57,共有部份,鋼筋混凝土造,76年6月11日,(空白),
RPTPMLNKPHLFFBB18CA,2,154.10,住家用,鋼筋混凝土造,103年4月1日,十七層,十四層
RPTPMLNKPHLFFBB18CA,2,134.16,見其它登記事項,鋼筋混凝土造,103年4月1日,十七層,
RPUOMLMLPHLFFBB18CA,,63.95,住家用,土造,,一層,一層
RPORMLMLPHLFFBB87CA,24,84.32,住商用,鋼筋混凝土造,81年6月27日,十四層,一層 二層 三層 騎樓
RPORMLMLPHLFFBB87CA,24,11.45,共有部份,鋼筋混凝土造,81年6月27日,十四層,
RPOOMLNLPHLFFBB67CA,,63.95,住家用,土造,,一層,一層
RPPPMLMLPHLFFBB77CA,1,88.42,見其它登記事項,鋼筋混凝土造,104年6月15日,十四層,十四層
RPPPMLMLPHLFFBB77CA,1,46.27,見其它登記事項,鋼筋混凝土造,104年6月15日,十四層,
RPPPMLMLPHLFFBB77CA,1,18.94,見其它登記事項,鋼筋混凝土造,104年6月15日,十四層,
RPTOMLRLPHLFFBB58CA,22,78.96,住家用,鋼筋混凝土造,83年3月4日,九層,九層
RPTOMLRLPHLFFBB58CA,22,33.67,共有部份,鋼筋混凝土造,83年3月4日,九層,
RPPNMLTLPHLFFBB28CA,25,113.28,商業用,鋼筋混凝土造,80年5月6日,十二層,六層
RPPNMLTLPHLFFBB28CA,25,50.74,共有部份,鋼筋混凝土造,80年5月6日,十二層,
RPVPMLLJPHLFFCB18CA,22,.91,商業用,鋼筋混凝土造,83年5月23日,十二層,地下一層
RPVPMLLJPHLFFCB18CA,22,16.36,共有部分,鋼筋混凝土造,83年5月23日,十二層,
RPOPMLOJPHLFFCB77CA,22,36.73,見其他登記事項,鋼筋混凝土造,83年7月13日,十六層,十四層
RPOPMLOJPHLFFCB77CA,22,30.00,共有部分,鋼筋混凝土造,83年7月13日,十六層,
RPOPMLOJPHLFFCB77CA,22,10.51,共有部分,鋼筋混凝土造,83年7月13日,十六層,
RPSPMLOJPHLFFCB18CA,6,53.12,住家用,鋼筋混凝土造,99年1月12日,二十六層,十七層
RPSPMLOJPHLFFCB18CA,6,25.10,見其他登記事項,鋼筋混凝土造,99年1月12日,二十六層,
RPRNMLRJPHLFFCB18CA,2,158.73,住家用,鋼筋混凝土造,103年10月20日,二十五層,四層
RPRNMLRJPHLFFCB18CA,2,50.84,見其他登記事項,鋼筋混凝土造,103年10月20日,二十五層,
RPRNMLRJPHLFFCB18CA,2,89.28,見其他登記事項,鋼筋混凝土造,103年10月20日,二十五層,
RPSNMLRJPHLFFCB28CA,2,157.61,住家用,鋼筋混凝土造,103年10月20日,二十五層,二十四層
RPSNMLRJPHLFFCB28CA,2,50.48,見其他登記事項,鋼筋混凝土造,103年10月20日,二十五層,
RPSNMLRJPHLFFCB28CA,2,89.09,見其他登記事項,鋼筋混凝土造,103年10月20日,二十五層,
RPVNMLRJPHLFFCB58CA,11,52.30,見其他登記事項,鋼骨鋼筋混凝土造,94年9月29日,二十三層,
RPRPMLRJPHLFFCB38CA,21,16.36,住家用,鋼筋混凝土造,84年10月30日,十三層,三層
RPRPMLRJPHLFFCB38CA,21,10.41,共有部分,鋼筋混凝土造,84年10月30日,十三層,
RPSPMLRJPHLFFCB48CA,21,18.97,住家用,鋼筋混凝土造,84年10月30日,十三層,九層
RPSPMLRJPHLFFCB48CA,21,12.30,共有部分,鋼筋混凝土造,84年10月30日,十三層,
RPTPMLRJPHLFFCB58CA,24,47.70,住家用,鋼筋混凝土造,81年11月20日,十層,六層
RPTPMLRJPHLFFCB58CA,24,15.90,共有部分,鋼筋混凝土造,81年11月20日,十層,
RPTPMLRJPHLFFCB58CA,24,6.54,商業用,鋼筋混凝土造,81年11月20日,十層,地下一層
RPTPMLRJPHLFFCB58CA,24,8.33,共有部分,鋼筋混凝土造,81年11月20日,十層,
RPPNMLKKPHLFFCB37CA,17,20.91,住家用,鋼筋混凝土造,88年5月29日,八層,五層
RPPNMLKKPHLFFCB37CA,17,33.89,共有部分,鋼筋混凝土造,88年5月29日,八層,
RPPNMLKKPHLFFCB37CA,17,6.08,共有部分,鋼筋混凝土造,88年5月29日,八層,
RPQNMLKKPHLFFCB47CA,10,26.73,住家用,鋼筋混凝土造,95年11月24日,十四層,九層
RPQNMLKKPHLFFCB47CA,10,23.89,見其他登記事項,鋼筋混凝土造,95年11月24日,十四層,
