編號,車位類別,車位價格,車位面積平方公尺
RPRNMLPJPHLFFAB77CA,升降平面,0,
RPTPMLLKPHLFFAB87CA,坡道平面,0,28.16
RPWPMLLKPHLFFAB18CA,坡道平面,0,34.12
RPPNMLMKPHLFFAB37CA,坡道平面,0,
RPSOMLPKPHLFFAB08CA,坡道機械,0,
RPVPMLOJPHLFFBB38CA,坡道機械,0,
RPVPMLOJPHLFFBB38CA,坡道機械,0,
RPTQMLQJPHLFFBB48CA,其他,0,
RPTPMLNKPHLFFBB18CA,坡道平面,0,27.78
RPTPMLNKPHLFFBB18CA,坡道平面,0,27.79
RPPPMLMLPHLFFBB77CA,坡道平面,0,
RPTOMLRLPHLFFBB58CA,升降機械,0,
RPVPMLLJPHLFFCB18CA,坡道平面,0,
RPOPMLOJPHLFFCB77CA,坡道平面,0,
RPRNMLRJPHLFFCB18CA,坡道平面,0,31.14
RPRNMLRJPHLFFCB18CA,坡道平面,0,31.14
RPSNMLRJPHLFFCB28CA,坡道平面,1650000,31.14
RPSNMLRJPHLFFCB28CA,坡道平面,1400000,31.14
RPVNMLRJPHLFFCB58CA,坡道平面,0,17.43
RPVNMLRJPHLFFCB58CA,坡道平面,0,17.43
RPVNMLRJPHLFFCB58CA,坡道平面,0,17.43
RPTPMLRJPHLFFCB58CA,坡道機械,0,
RPPNMLKKPHLFFCB37CA,坡道平面,0,
RPQNMLKKPHLFFCB47CA,坡道機械,0,11.71
RPPPMLLKPHLFFCB67CA,坡道平面,1400000,26.98
RPPPMLLKPHLFFCB67CA,坡道平面,1400000,26.98
RPSNMLSKPHLFFCB48CA,坡道平面,0,22.15
RPSNMLSKPHLFFCB48CA,坡道平面,0,22.15
RPRNMLTKPHLFFCB48CA,坡道平面,0,
RPSNMLTKPHLFFCB58CA,坡道平面,0,
RPSPMLTKPHLFFCB78CA,坡道平面,0,
RPVOMLPLPHLFFCB68CA,坡道平面,1400000,26.98
RPVNMLRLPHLFFCB78CA,坡道平面,1250000,17.30
RPVNMLRLPHLFFCB78CA,坡道平面,1250000,17.30
RPUNMLOJPHLFFFL86CA,坡道機械,0,
RPOOMLOJPHLFFGL09CA,坡道平面,1210000,40.72
RPUNMLRJPHLFFGL27CA,坡道平面,0,
RPQNMLLKPHLFFGL98CA,升降機械,0,
RPQOMLSKPHLFFGL17CA,坡道平面,0,
RPOOMLOJPHLFFHL56CA,升降機械,0,
RPSNMLRJPHLFFHL17CA,一樓平面,0,
RPSNMLRJPHLFFHL17CA,一樓平面,0,
RPTNMLRJPHLFFHL27CA,一樓平面,0,
RPTNMLRJPHLFFHL27CA,一樓平面,0,
RPQOMLNKPHLFFHL76CA,坡道機械,0,
RPQOMLRLPHLFFIL37CA,一樓平面,0,
RPWNMLSLPHLFFHL87CA,坡道平面,0,
RPSPMLMLPHLFFGL96CA,坡道平面,0,18.06
RPXNMLNKPHLFFGL27CA,坡道平面,0,19.51
RPOOMLNKPHLFFGL09CA,坡道平面,0,
RPSNMLSKPHLFFGL27CA,坡道平面,0,
RPTNMLSKPHLFFGL37CA,坡道平面,0,23.67
RPTNMLSKPHLFFGL37CA,坡道平面,0,23.67
RPTNMLOKPHLFFGL96CA,坡道平面,0,
RPPOMLSKPHLFFFL96CA,一樓平面,0,
RPSOMLSKPHLFFAL76CA,坡道機械,0,
RPSNMLPJPHLFFAL88CA,坡道平面,0,
RPVQMLSLPHLFFCB56CA,坡道機械,0,
RPUNMLTLPHLFFCB88CA,坡道機械,0,
RPUNMLTLPHLFFCB88CA,坡道機械,0,
RPVNMLTLPHLFFCB98CA,坡道機械,0,
RPSOMLTLPHLFFCB78CA,坡道機械,0,
RPQQMLTLPHLFFCB78CA,坡道平面,1800000,29.03
RPQQMLTLPHLFFCB78CA,坡道平面,1800000,29.03
RPOPMLLLPHLFFCB67CA,坡道平面,0,
RPXPMLLLPHLFFCB58CA,坡道平面,0,
RPOPMLKLPHLFFCB57CA,坡道平面,0,
RPROMLNKPHLFFCB97CA,坡道機械,0,11.57
RPSNMLLKPHLFFCB77CA,坡道平面,0,22.28
RPRPMLPJPHLFFCB18CA,升降機械,0,
RPWNMLKLPHLFFBB08CA,坡道機械,0,
RPVQMLOKPHLFFBB58CA,坡道機械,0,
RPSNMLSKPHLFFBB38CA,坡道平面,0,23.48
RPPQMLNKPHLFFBB87CA,坡道平面,0,23.59
RPPQMLNKPHLFFBB87CA,坡道平面,0,21.61
RPQQMLNKPHLFFBB97CA,坡道平面,1300000,23.59
RPRNMLOKPHLFFBB87CA,坡道機械,900000,26.17
RPSNMLOKPHLFFBB97CA,坡道平面,1600000,34.71
RPTNMLOKPHLFFBB08CA,坡道平面,1600000,34.71
RPUNMLOKPHLFFBB18CA,坡道平面,1650000,34.71
RPPNMLKKPHLFFBB27CA,升降機械,0,
RPRNMLMKPHLFFBB67CA,坡道平面,1450000,33.82
RPQQMLQJPHLFFBB18CA,坡道機械,0,11.56
RPVOMLRJPHLFFBB58CA,一樓平面,0,
RPVOMLRJPHLFFBB58CA,一樓平面,0,
RPRPMLPLPHLFFAB18CA,坡道機械,0,7.76
RPQNMLSLPHLFFAB18CA,坡道機械,0,
RPPOMLTLPHLFFAB28CA,坡道平面,0,27.00
RPPNMLOKPHLFFAB57CA,坡道平面,0,
RPWNMLLKPHLFFAB97CA,坡道平面,0,
RPSQMLLKPHLFFAB87CA,坡道機械,0,15.99
RPTQMLLKPHLFFAB97CA,坡道平面,0,14.86
RPSOMLQJPHLFFAB08CA,坡道平面,0,
RPWOMLNKPHLFFAB28CA,坡道平面,0,
RPXOMLOKPHLFFAB48CA,坡道平面,0,
RPUQMLTLPHLFFAB98CA,坡道平面,0,
RPPPMLQLPHLFFAB08CA,坡道平面,800000,
RPWPMLTKPHLFFAB98CA,坡道平面,1250000,33.09
RPRNMLTKPHLFFAB28CA,坡道機械,0,16.47
RPUNMLNJQHLFFAB97CA,坡道平面,0,
RPQRMLQJPHLFFBB28CA,坡道平面,0,25.81
