鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
北屯區,房地(土地+建物)+車位,臺中市北屯區遼寧路一段357巷1~30號,22.11,住,,,1050608,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050204,125.68,2,2,1,有,有,有,18500,147,坡道平面,33.81,0,,RPPOMLLJPHLFFBB57CC
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路391~420號,22.1,其他,,,1050606,土地2建物1車位1,十層,16,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1040826,181.06,3,2,2,有,無,有,20000,110,坡道平面,32.06,0,租金含管理費及一個機車位。,RPSPMLLJPHLFFBB97CC
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十六路331~360號,6.9,其他,,,1050621,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1040813,42.85,3,2,2,有,無,有,18000,420,坡道機械,0.0,0,,RPPQMLLJPHLFFBB77CC
西區,房地(土地+建物),臺中市西區臺灣大道二段481~510號,51.94,商,,,1050613,土地1建物1車位0,七層,35,辦公商業大樓,商業用,見其他登記事項,0820506,1001.21,0,0,0,無,有,無,205000,205,,0.0,0,第三年起每月租金調整為212000元,RPVOMLLJPHLFFAB08CC
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段481~510號,21.57,住,,,1050627,土地1建物1車位2,二十五層,26,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011121,253.5,4,2,2,有,有,有,40000,158,坡道平面,51.4,0,,RPXOMLLJPHLFFAB28CC
西屯區,房地(土地+建物),臺中市西屯區朝富路121~150號,65.01,住,,,1050608,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840414,165.85,0,0,0,無,無,無,45000,271,,0.0,0,,RPRPMLLJPHLFFCB97CC
北區,房地(土地+建物),臺中市北區文昌一街61~90號,75.0,住,,,1050610,土地1建物1車位0,四層,3,套房(1房1廳1衛),住商用,鋼筋混凝土造,0770704,48.72,1,0,1,有,無,有,8400,172,,0.0,0,,RPPPMLLJPHLFFBB77DC
豐原區,房地(土地+建物),臺中市豐原區豐勢街31~60號,86.0,住,,,1050607,土地1建物1車位0,全,3,透天厝,見其他登記事項,加強磚造,0680305,192.75,0,0,0,無,無,有,24500,127,,0.0,0,,RPRNMLMJPHLFFAL68CC
西區,房地(土地+建物),臺中市西區五權西三街1~30號,51.0,其他,,,1050627,土地3建物1車位0,見其他登記事項,2,店面(店鋪),商業用,見其他登記事項,0570928,93.36,0,0,0,無,無,無,33000,353,,0.0,0,,RPPNMLMJPHLFFAB47CC
北區,房地(土地+建物),臺中市北區忠明路391~420號,61.26,住,,,1050701,土地1建物1車位0,全,5,透天厝,見其它登記事項,鋼筋混凝土造,1011220,61.26,0,0,0,無,無,有,20000,326,,0.0,0,,RPPNMLMJPHLFFBB57CC
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十六路331~360號,13.4,住,,,1050617,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1040813,124.34,3,2,2,有,有,有,22000,177,坡道機械,13.31,0,,RPXOMLOJPHLFFBB68CC
南區,房地(土地+建物),臺中市南區文心南路571~600號,324.0,其他,,,1050615,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0960912,947.91,0,0,0,無,無,無,300000,316,,0.0,0,,RPRNMLOJPHLFFAB87CC
南屯區,房地(土地+建物),臺中市南屯區豐富路271~300號,101.4,住,,,1050701,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0951026,291.41,5,2,5,有,無,有,55625,191,,0.0,0,,RPQPMLOJPHLFFCB18CC
北區,房地(土地+建物),臺中市北區梅川西路三段12巷1~30號,438.0,住,,,1050623,土地6建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0710927,157.1,7,4,3,有,無,無,19000,121,,0.0,0,,RPROMLOJPHLFFBB18DC
神岡區,建物,臺中市神岡區新興路61~90號,107.0,,鄉村區,乙種建築用地,1050615,土地0建物0車位0,二層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1041007,26.5,1,0,1,有,無,有,5500,208,,0.0,0,,RPWNMLOJPHLFFAL86DC
豐原區,房地(土地+建物),臺中市豐原區豐原大道三段211~240號,92.21,住,,,1050701,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1000504,242.87,5,3,7,有,無,無,33000,136,,0.0,0,,RPSOMLPJPHLFFAL56CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北二路1~30號,50.68,住,,,1050630,土地1建物1車位8,一層,21,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,1000318,676.32,0,0,0,無,有,有,250000,370,坡道平面,177.06,0,108年10月15日起110年10月14日 每月租金280000元整,RPVOMLPJPHLFFCB68CC
南屯區,房地(土地+建物),臺中市南屯區文心南一路61~90號,116.32,住,,,1050629,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0820419,334.73,5,3,5,有,無,無,37000,111,,0.0,0,,RPQPMLPJPHLFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段671巷61~90號,20.54,住,,,1050701,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850524,66.81,1,0,1,有,有,無,11000,165,,0.0,0,租賃範圍為本建物1/2,RPVPMLPJPHLFFCB78CC
南屯區,房地(土地+建物)+車位,臺中市南屯區河南路四段151~180號,13.3,住,,,1050620,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861020,137.73000000000002,3,2,2,有,有,有,16000,116,坡道機械,0.0,0,,RPPQMLPJPHLFFCB28CC
南屯區,房地(土地+建物),臺中市南屯區干城街243巷4弄1~30號,78.0,住,,,1050628,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640806,90.84,3,2,2,有,無,有,18000,198,,0.0,0,,RPQQMLPJPHLFFCB38CC
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩六街211~240號,11.96,住,,,1050624,土地1建物1車位1,十層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811113,65.97,1,1,1,有,有,有,12000,182,坡道機械,10.19,0,,RPRQMLPJPHLFFCB48CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,3.42,商,,,1050609,土地1建物1車位0,十三層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,56.870000000000005,1,1,1,有,有,有,8000,141,,0.0,0,,RPROMLPJPHLFFAB08CC
