編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLLJPHLFFBB57CC,,63.04,見其它登記事項,鋼筋混凝土造,105年2月4日,十一層,
RPPOMLLJPHLFFBB57CC,,51.85,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,
RPPOMLLJPHLFFBB57CC,,10.79,見其它登記事項,鋼筋混凝土造,105年2月4日,十二層,
RPSPMLLJPHLFFBB97CC,1,98.64,見其它登記事項,鋼筋混凝土造,104年8月26日,十六層,
RPSPMLLJPHLFFBB97CC,1,29.17,見其它登記事項,鋼筋混凝土造,104年8月26日,十六層,
RPSPMLLJPHLFFBB97CC,1,53.25,見其它登記事項,鋼筋混凝土造,104年8月26日,二十五層,
RPPQMLLJPHLFFBB77CC,1,42.85,見其它登記事項,鋼筋混凝土造,104年8月13日,十五層,
RPVOMLLJPHLFFAB08CC,23,691.66,商業用,見其他登記事項,82年5月6日,三十五層,
RPVOMLLJPHLFFAB08CC,23,240.60,見其他登記事項,見其他登記事項,82年5月6日,三十五層,
RPVOMLLJPHLFFAB08CC,23,68.95,見其他登記事項,見其他登記事項,82年5月6日,三十五層,
RPXOMLLJPHLFFAB28CC,4,171.53,見其他登記事項,鋼筋混凝土造,101年11月21日,二十六層,
RPXOMLLJPHLFFAB28CC,4,43.10,見其他登記事項,鋼筋混凝土造,101年11月21日,二十六層,
RPXOMLLJPHLFFAB28CC,4,38.87,見其他登記事項,鋼筋混凝土造,101年11月21日,二十六層,
RPRPMLLJPHLFFCB97CC,21,165.85,見其他登記事項,鋼筋混凝土造,84年4月14日,四層,
RPPPMLLJPHLFFBB77DC,28,48.72,住商用,鋼筋混凝土造,77年7月4日,三層,
RPRNMLMJPHLFFAL68CC,37,192.75,見其他登記事項,加強磚造,68年3月5日,三層,
RPPNMLMJPHLFFAB47CC,48,93.36,商業用,見其他登記事項,57年9月28日,二層,
RPPNMLMJPHLFFBB57CC,4,61.26,見其它登記事項,鋼筋混凝土造,101年12月20日,六層,
RPXOMLOJPHLFFBB68CC,1,84.58,見其它登記事項,鋼筋混凝土造,104年8月13日,十五層,
RPXOMLOJPHLFFBB68CC,1,39.76,見其它登記事項,鋼筋混凝土造,104年8月13日,十五層,
RPRNMLOJPHLFFAB87CC,9,947.91,見其他登記事項,鋼筋混凝土造,96年9月12日,五層,
RPQPMLOJPHLFFCB18CC,10,291.41,見其他登記事項,鋼筋混凝土造,95年10月26日,五層,
RPROMLOJPHLFFBB18DC,34,157.10,住商用,鋼筋混凝土造,71年9月27日,三層,
RPWNMLOJPHLFFAL86DC,1,26.50,見其他登記事項,鋼筋混凝土造,104年10月7日,四層,
RPSOMLPJPHLFFAL56CC,5,242.87,見其他登記事項,鋼筋混凝土造,100年5月4日,四層,
RPVOMLPJPHLFFCB68CC,5,499.24,見其他登記事項,鋼骨鋼筋混凝土造,100年3月18日,二十一層,
