鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
仁愛區,房地(土地+建物),基隆市仁愛區仁五路1~30號,7.47,商,,,1050502,土地2建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700518,82.57,3,1,1,有,有,7000000,84777,,0.0,0,,RPUNMLPJPHLFFBC28CA
信義區,房地(土地+建物),基隆市信義區教忠街40巷56弄1~30號,92.03,住,,,1050528,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0980710,211.87,5,2,3,有,無,10100000,47671,,0.0,0,,RPWNMLMKPHLFFBC28CA
中正區,房地(土地+建物),基隆市中正區中正路601~630號,6.41,商,,,1050601,土地2建物1車位0,四層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1000520,34.07,1,1,1,有,有,2000000,58703,,0.0,0,,RPQNMLNKPHLFFBC77CA
信義區,房地(土地+建物)+車位,基隆市信義區教忠街25巷1~30號,167.65,住,,,1050525,土地1建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040722,272.48,4,2,5,有,無,18350000,67344,其他,0.0,0,,RPWNMLPKPHLFFBC58CA
安樂區,房地(土地+建物),基隆市安樂區基金一路175巷1~30號,48.86,其他,,,1050613,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690502,69.06,4,2,2,有,無,2750000,39820,,0.0,0,,RPQNMLPJPHLFFCC97CA
中山區,房地(土地+建物),基隆市中山區復興路259巷31~60號,31.01,住,,,1050531,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840512,153.60000000000002,3,2,2,有,無,3820000,24870,,0.0,0,,RPRNMLPJPHLFFCC08CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街1~30號,25.75,住,,,1050614,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741023,93.36,3,2,1,有,無,2100000,22494,,0.0,0,,RPUNMLRJPHLFFCC58CA
七堵區,房地(土地+建物)+車位,基隆市七堵區百六街107巷1~30號,41.6,住,,,1050522,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970201,163.01999999999998,3,2,2,有,有,9700000,59502,坡道平面,0.0,0,,RPRNMLMKPHLFFCC87CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區碇內街121~150號,34.1,住,,,1050515,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,189.11,3,2,2,有,有,8350000,46794,坡道平面,32.04,1000000,,RPTOMLPLPHLFFCC58CA
中正區,房地(土地+建物)+車位,基隆市中正區觀海街31~60號,17.75,住,,,1050610,土地1建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,131.88,3,2,2,有,有,3700000,28056,坡道平面,0.0,0,,RPSNMLSKPHLFFBC58DA
中山區,土地,協和段1141~1170地號,41.54,住,,,1050604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1156890,27850,,0.0,0,向政府機關承購之案件。,RPPOMLLJPHLFFCC77EA
信義區,房地(土地+建物),基隆市信義區培德路2巷1~30號,80.0,住,,,1050604,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0541001,70.14,3,2,1,有,無,4800000,68435,,0.0,0,,RPPNMLPJPHLFFBC87DA
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路301~330號,14.03,住,,,1050425,土地3建物1車位1,二層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,121.19999999999999,3,1,2,有,有,6700000,53833,坡道平面,13.47,900000,,RPPRMLTLPHLFFCC88CA
