編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLPJPHLFFBC28CA,35,82.57,住家用,鋼筋混凝土造,70年5月18日,十二層,十層
RPWNMLMKPHLFFBC28CA,7,211.87,見其他登記事項,鋼筋混凝土造,98年7月10日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPQNMLNKPHLFFBC77CA,5,22.80,住家用,鋼筋混凝土造,100年5月20日,八層,四層
RPQNMLNKPHLFFBC77CA,5,6.87,見其他登記事項,鋼筋混凝土造,100年5月20日,八層,
RPQNMLNKPHLFFBC77CA,5,4.40,見其他登記事項,鋼筋混凝土造,100年5月20日,八層,
RPWNMLPKPHLFFBC58CA,1,272.48,見其他登記事項,鋼筋混凝土造,104年7月22日,三層,一層 二層 三層 屋頂突出物
RPQNMLPJPHLFFCC97CA,36,69.06,住家用,鋼筋混凝土造,69年5月2日,四層,四層
RPRNMLPJPHLFFCC08CA,21,97.76,住家用,鋼筋混凝土造,84年5月12日,五層,三層
RPRNMLPJPHLFFCC08CA,21,55.84,共用部份,鋼筋混凝土造,84年5月12日,五層,
RPUNMLRJPHLFFCC58CA,31,93.36,住家用,鋼筋混凝土造,74年10月23日,五層,五層
RPRNMLMKPHLFFCC87CA,8,104.41,住家用,鋼筋混凝土造,97年2月1日,八層,二層
RPRNMLMKPHLFFCC87CA,8,23.16,共用部份,鋼筋混凝土造,97年2月1日,八層,
RPRNMLMKPHLFFCC87CA,8,35.45,共用部份,鋼筋混凝土造,97年2月1日,八層,
RPTOMLPLPHLFFCC58CA,7,114.70,住家用,鋼筋混凝土造,98年6月24日,十四層,三層
RPTOMLPLPHLFFCC58CA,7,52.58,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPTOMLPLPHLFFCC58CA,7,21.84,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPSNMLSKPHLFFBC58DA,17,72.47,住家用,鋼筋混凝土造,88年1月14日,十六層,五層
RPSNMLSKPHLFFBC58DA,17,17.17,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKPHLFFBC58DA,17,3.08,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKPHLFFBC58DA,17,36.54,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKPHLFFBC58DA,17,1.77,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKPHLFFBC58DA,17,.85,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLPJPHLFFBC87DA,51,70.14,住家用,加強磚造,54年10月1日,二層,一層 二層
RPPRMLTLPHLFFCC88CA,,75.95,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,二層
RPPRMLTLPHLFFCC88CA,,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPRMLTLPHLFFCC88CA,,44.51,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPRMLTLPHLFFCC88CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPPRMLTLPHLFFCC88CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPRMLTLPHLFFCC88CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPQRMLTLPHLFFCC98CA,,77.52,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,九層
RPQRMLTLPHLFFCC98CA,,.75,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQRMLTLPHLFFCC98CA,,47.54,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPQRMLTLPHLFFCC98CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPQRMLTLPHLFFCC98CA,,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPQRMLTLPHLFFCC98CA,,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
