編號,車位類別,車位價格,車位面積平方公尺
RPWNMLPKPHLFFBC58CA,其他,0,
RPRNMLMKPHLFFCC87CA,坡道平面,0,
RPTOMLPLPHLFFCC58CA,坡道平面,1000000,32.04
RPSNMLSKPHLFFBC58DA,坡道平面,0,
RPPRMLTLPHLFFCC88CA,坡道平面,900000,13.47
RPQRMLTLPHLFFCC98CA,坡道平面,1100000,15.87
RPRRMLTLPHLFFCC09CA,坡道平面,800000,13.47
RPTRMLTLPHLFFCC66CA,坡道平面,1100000,15.87
RPURMLTLPHLFFCC76CA,坡道平面,1050000,15.87
RPVRMLTLPHLFFCC86CA,坡道平面,0,15.87
RPXRMLTLPHLFFCC07CA,坡道平面,900000,13.47
RPTPMLTLPHLFFCC09CA,坡道平面,1000000,15.87
RPVPMLTLPHLFFCC66CA,坡道平面,1000000,13.47
RPWPMLTLPHLFFCC76CA,坡道平面,900000,15.87
RPRQMLTLPHLFFCC98CA,坡道平面,1100000,15.87
RPUOMLLMPHLFFCC38CA,坡道平面,900000,13.47
RPUNMLTLPHLFFCC98CA,坡道平面,1100000,15.87
RPXNMLTLPHLFFCC66CA,坡道平面,1000000,15.87
RPOOMLTLPHLFFCC48CA,坡道平面,1000000,15.87
RPPOMLTLPHLFFCC58CA,坡道平面,1100000,15.87
RPWNMLRLPHLFFCC98CA,坡道平面,1000000,15.87
RPRNMLTKPHLFFCC58CA,坡道平面,900000,15.87
RPQOMLQJPHLFFCC18CA,坡道平面,0,
RPQNMLRJPHLFFCC18CA,其他,0,
RPSPMLSKPHLFFCC78CA,坡道平面,0,
RPRNMLKLPHLFFCC77CA,坡道平面,0,13.47
RPWOMLTLPHLFFCC66CA,坡道平面,1000000,15.87
RPPOMLLJQHLFFCC67CA,坡道平面,0,15.87
RPQOMLLJQHLFFCC77CA,坡道平面,0,13.47
RPPOMLMJQHLFFCC77CA,坡道平面,0,13.47
RPOSMLTLPHLFFCC88CA,坡道平面,900000,13.47
RPPSMLTLPHLFFCC98CA,坡道平面,900000,13.47
RPQSMLTLPHLFFCC09CA,坡道平面,900000,15.87
RPSSMLTLPHLFFCC66CA,坡道平面,1100000,15.87
RPUSMLTLPHLFFCC86CA,坡道平面,1100000,15.87
RPWSMLTLPHLFFCC07CA,坡道平面,800000,13.47
RPQNMLKMPHLFFCC77CA,坡道平面,1000000,15.87
