¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¦w¥­°Ï,¤g¦a,·s«n¬q241~270¦a¸¹,179.63,¦í,,,1050614,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,15800000,87959,,0.0,0,,RPURMLLJPHLFFAD28CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï«n¶éµó162«Ñ1~30¸¹,72.0,¦í,,,1050530,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¨«´Y,¤G¼h,©±­±(©±¾Q),¦í°Ó¥Î,¥[±j¿j³y,0620728,93.2,4,1,2,¦³,µL,6000000,64378,,0.0,0,,RPTNMLPJPHLFFAD18CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¤½¶é¸ô121~150¸¹,15.23,°Ó,,,1050616,¤g¦a13«Øª«1¨®¦ì0,¥|¼h,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0700923,108.66000000000001,3,2,2,¦³,¦³,2700000,24848,,0.0,0,,RPWNMLPJPHLFFAD48CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¤½¶é«n¸ô370«Ñ1~30¸¹,13.04,¦í,,,1050608,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤Q¤K¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840912,87.08,2,1,1,¦³,¦³,2000000,22967,¤É­°¾÷±ñ,0.0,0,¤Gµ¥¿Ë¶R½æ,RPWOMLRJPHLFFAD78CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¥_°Ï¶}¤¸¸ô481~510¸¹,11.61,°Ó,,,1050618,¤g¦a3«Øª«1¨®¦ì1,¤T¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1041105,161.23000000000002,3,2,1,¦³,¦³,7030000,47638,©Y¹D¥­­±,32.55,900000,,RPOPMLRJPHLFFAD08CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¶}¤¸¸ô481~510¸¹,6.31,°Ó,,,1050618,¤g¦a3«Øª«1¨®¦ì0,¤T¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1041105,88.30000000000001,2,1,1,¦³,¦³,4150000,46999,,0.0,0,,RPPPMLRJPHLFFAD18CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¶}¤¸¸ô481~510¸¹,5.75,°Ó,,,1050618,¤g¦a3«Øª«1¨®¦ì0,¤­¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1041105,82.0,2,1,1,¦³,¦³,4060000,49512,,0.0,0,,RPQPMLRJPHLFFAD28CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¶}¤¸¸ô481~510¸¹,6.2,°Ó,,,1050618,¤g¦a3«Øª«1¨®¦ì0,¤»¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1041105,83.9,2,1,1,¦³,¦³,4100000,48868,,0.0,0,,RPRPMLRJPHLFFAD38CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¶}¤¸¸ô511~540¸¹,7.55,°Ó,,,1050618,¤g¦a3«Øª«1¨®¦ì0,¤G¤Q¤G¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1041105,104.86000000000001,2,2,1,¦³,¦³,5160000,49208,,0.0,0,,RPUPMLRJPHLFFAD68CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¶}¤¸¸ô511~540¸¹,5.75,°Ó,,,1050618,¤g¦a3«Øª«1¨®¦ì0,¤Q¤»¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1041105,78.60000000000001,2,1,1,¦³,¦³,3460000,44020,,0.0,0,,RPWPMLRJPHLFFAD88CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï¨|¥­¤­µó1~30¸¹,10.45,¦í,,,1050602,¤g¦a1«Øª«1¨®¦ì1,¤Q¤K¼h,¤G¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0861021,152.24,3,2,2,¦³,¦³,4900000,32186,©Y¹D¾÷±ñ,0.0,0,,RPQNMLSKPHLFFAD28CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°ÏµØ¥­¨½°·±d¤Gµó481~510¸¹,33.34,¦í,,,1050520,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¤T¼h¡AÃM¼Ó,¤K¼h,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0850210,238.62,2,2,3,¦³,¦³,5000000,20954,,0.0,0,,RPVNMLLLPHLFFAD18CA
¤¤¦è°Ï,¤g¦a,¨ó¶i¬q991~1020¦a¸¹,56.5,¦í,,,1041026,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4930000,87257,,0.0,0,,RPOOMLQLPHLFFAD08CA
