編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLPJPHLFFAD18CA,43,93.20,住商用,加強磚造,62年7月28日,二層,一層 二層 走廊
RPWNMLPJPHLFFAD48CA,35,84.40,住家用,鋼筋混凝土造,70年9月23日,八層,四層
RPWNMLPJPHLFFAD48CA,35,24.26,共有部分,鋼筋混凝土造,70年9月23日,八層,
RPWOMLRJPHLFFAD78CA,21,60.41,住家用,鋼筋混凝土造,84年9月12日,十八層,五層
RPWOMLRJPHLFFAD78CA,21,.12,見其他登記事項,鋼筋混凝土造,84年9月12日,十八層,地下一層
RPWOMLRJPHLFFAD78CA,21,10.04,共有部分,鋼筋混凝土造,84年9月12日,十八層,
RPWOMLRJPHLFFAD78CA,21,8.25,共有部分,鋼筋混凝土造,84年9月12日,十八層,
RPWOMLRJPHLFFAD78CA,21,8.25,共有部分,鋼筋混凝土造,84年9月12日,十八層,
RPOPMLRJPHLFFAD08CA,1,90.09,見其他登記事項,見其他登記事項,104年11月5日,二十四層,三層
RPOPMLRJPHLFFAD08CA,1,71.14,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPPPMLRJPHLFFAD18CA,1,61.77,見其他登記事項,見其他登記事項,104年11月5日,二十四層,三層
RPPPMLRJPHLFFAD18CA,1,26.53,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPQPMLRJPHLFFAD28CA,1,57.89,見其他登記事項,見其他登記事項,104年11月5日,二十四層,五層
RPQPMLRJPHLFFAD28CA,1,24.11,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPRPMLRJPHLFFAD38CA,1,58.58,見其他登記事項,見其他登記事項,104年11月5日,二十四層,六層
RPRPMLRJPHLFFAD38CA,1,25.32,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPUPMLRJPHLFFAD68CA,1,73.51,見其他登記事項,見其他登記事項,104年11月5日,二十四層,二十二層
RPUPMLRJPHLFFAD68CA,1,31.35,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPWPMLRJPHLFFAD88CA,1,55.09,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十六層
RPWPMLRJPHLFFAD88CA,1,23.51,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
