絪腹,跋琿竚,簿锣縩キよそへ,ㄏノだ跋┪絪﹚
RPURMLLJPHLFFAD28CA,穝玭琿,179.63,常カ
RPTNMLPJPHLFFAD18CA,地砍琿,72.00,常カ
RPWNMLPJPHLFFAD48CA,そ堕琿,.03,常カㄤ
RPWNMLPJPHLFFAD48CA,そ堕琿,.34,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,.01,常カㄤ
RPWNMLPJPHLFFAD48CA,そ堕琿,.03,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,.01,常カㄤ
RPWNMLPJPHLFFAD48CA,そ堕琿,.09,常カㄤ
RPWNMLPJPHLFFAD48CA,そ堕琿,5.82,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,.80,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,.01,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,.28,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,7.50,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,.05,常カ坝
RPWNMLPJPHLFFAD48CA,そ堕琿,.24,常カㄤ
RPWOMLRJPHLFFAD78CA,ミ琿,13.04,常カ
RPOPMLRJPHLFFAD08CA,秨じ琿,11.04,常カ坝
RPOPMLRJPHLFFAD08CA,秨じ琿,.53,常カ
RPOPMLRJPHLFFAD08CA,秨じ琿,.04,常カ坝
RPPPMLRJPHLFFAD18CA,秨じ琿,6.00,常カ坝
RPPPMLRJPHLFFAD18CA,秨じ琿,.29,常カ
RPPPMLRJPHLFFAD18CA,秨じ琿,.02,常カ坝
RPQPMLRJPHLFFAD28CA,秨じ琿,5.47,常カ坝
RPQPMLRJPHLFFAD28CA,秨じ琿,.26,常カ
RPQPMLRJPHLFFAD28CA,秨じ琿,.02,常カ坝
RPRPMLRJPHLFFAD38CA,秨じ琿,5.90,常カ坝
RPRPMLRJPHLFFAD38CA,秨じ琿,.28,常カ
RPRPMLRJPHLFFAD38CA,秨じ琿,.02,常カ坝
RPUPMLRJPHLFFAD68CA,秨じ琿,7.18,常カ坝
RPUPMLRJPHLFFAD68CA,秨じ琿,.34,常カ
RPUPMLRJPHLFFAD68CA,秨じ琿,.02,常カ坝
RPWPMLRJPHLFFAD88CA,秨じ琿,5.47,常カ坝
RPWPMLRJPHLFFAD88CA,秨じ琿,.26,常カ
RPWPMLRJPHLFFAD88CA,秨じ琿,.02,常カ坝
RPQNMLSKPHLFFAD28CA,地琿,10.45,常カ
RPVNMLLLPHLFFAD18CA,地琿,33.34,常カ
RPOOMLQLPHLFFAD08CA,秈琿,35.00,常カ
RPOOMLQLPHLFFAD08CA,秈琿,19.00,常カ
RPOOMLQLPHLFFAD08CA,秈琿,2.50,常カ
RPSNMLPJPHLFFBD18CA,┥琿,8.42,常カㄤ
RPSNMLPJPHLFFBD18CA,┥琿,94.79,常カ
RPTNMLPJPHLFFBD28CA,┥琿,91.02,常カ
RPTNMLPJPHLFFBD28CA,┥琿,8.58,常カㄤ
RPSNMLMKPHLFFBD97CA,扼琿,14.33,常カ
RPSNMLMKPHLFFBD97CA,扼琿,73.00,常カ
RPXNMLLJPHLFFCD38CA,地琿,68.00,常カ
RPPNMLMJPHLFFCD67CA,琿,32.91,常カ
RPPNMLOJPHLFFCD87CA,λ縯琿,121.00,常カ
RPVOMLOJPHLFFCD58CA,穝狥琿,19.50,常カㄤ
RPVOMLOJPHLFFCD58CA,穝狥琿,10.69,常カ
RPVOMLOJPHLFFCD58CA,穝狥琿,1.42,常カ
RPVOMLOJPHLFFCD58CA,穝狥琿,.56,常カㄤ
RPVOMLOJPHLFFCD58CA,穝狥琿,79.00,常カ
RPVOMLOJPHLFFCD58CA,穝狥琿,3.00,常カㄤ
RPXOMLOJPHLFFCD78CA,Ю糳琿,11.76,常カ
RPXOMLOJPHLFFCD78CA,Ю糳琿,.28,常カ
RPXOMLOJPHLFFCD78CA,Ю糳琿,.08,常カ
RPPPMLOJPHLFFCD08CA,く㎝琿,19.48,常カ
RPQPMLOJPHLFFCD18CA,λ縯琿,16.71,常カ
RPUNMLPJPHLFFCD48CA,そ璣琿,41.55,常カ
RPUNMLPJPHLFFCD48CA,そ璣琿,12.51,常カㄤ
RPPOMLPJPHLFFCD08CA,λ縯琿,23.55,常カ
RPWNMLQJPHLFFCD78CA,Ю糳琿,3.60,常カ
RPVNMLPLPHLFFCD78CA,肝狥琿,92.35,常カ
RPVNMLPLPHLFFCD78CA,肝狥琿,.59,常カ
RPVOMLPLPHLFFCD88CA,玭琿,361.00,常カㄤ
RPVNMLOJPHLFFAR07CA,ぱ玂琿,2622.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPXNMLOJPHLFFAR27CA,鷕繷翠琿,1096.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLPJPHLFFAR76CA,狦驾琿,103.00,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPSNMLPJPHLFFAR86CA,琱犁琿琱犁琿,1180.00,獶常カ笰穨跋 ; 獶常カ絪﹚緄崔ノ
RPTNMLTLPHLFFAR57CA,琿,52.50,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPTNMLTLPHLFFAR57CA,琿,2.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ユ硄ノ
RPTNMLTLPHLFFAR57CA,琿,373.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPTNMLRJPHLFFBR27CA,郴伦琿,222.64,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLLJPHLFFCR56CA,砍笰琿,209.75,常カ
RPSNMLPJPHLFFCR07CA,穝琿,17.96,常カ
RPSNMLPJPHLFFCR07CA,穝琿,636.00,常カ
RPQNMLQJPHLFFCR96CA,礷バ琿,90.00,常カ
RPUOMLQJPHLFFCR47CA,礷バ琿,15.82,常カ
RPUOMLQJPHLFFCR47CA,礷バ琿,81.00,常カ
RPVOMLQJPHLFFCR57CA,礷バ琿,15.82,常カ
RPVOMLQJPHLFFCR57CA,礷バ琿,81.00,常カ
RPWOMLQJPHLFFCR67CA,礷バ琿,15.82,常カ
RPWOMLQJPHLFFCR67CA,礷バ琿,121.00,常カ
RPXOMLQJPHLFFCR77CA,礷バ琿,117.00,常カ
RPXOMLQJPHLFFCR77CA,礷バ琿,15.82,常カ
RPPNMLNKPHLFFCR66CA,肪醂琿,412.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLOJPHLFFDR96CA,犁郴琿,56.29,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚笰ノ
RPRNMLOJPHLFFDR96CA,犁郴琿,114.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPRNMLOJPHLFFDR96CA,犁郴琿,12.00,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPRNMLOJPHLFFDR96CA,犁郴琿,23.33,獶常カ疭﹚笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPSNMLRJPHLFFDR37CA,翠琿,31.63,獶常カ笰穨跋 ; 獶常カ絪﹚ノ
RPTNMLRJPHLFFDR47CA,翠琿,34.74,獶常カ笰穨跋 ; 獶常カ絪﹚ノ
RPSNMLLKPHLFFDR86CA,ド翠琿,247.81,獶常カ笰穨跋 ; 獶常カ絪﹚ヒ贺縱ノ
RPRNMLMKPHLFFDR86CA,抶狶琿,70.75,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPRNMLMKPHLFFDR86CA,抶狶琿,92.25,獶常カ秏跋 ; 獶常カ絪﹚贺縱ノ
RPQNMLRLPHLFFDR37CA,せ琿,93.00,常カ
