編號,車位類別,車位價格,車位面積平方公尺
RPWOMLRJPHLFFAD78CA,升降機械,0,
RPOPMLRJPHLFFAD08CA,坡道平面,0,32.55
RPQNMLSKPHLFFAD28CA,坡道機械,0,
RPROMLRLPHLFFER67CA,坡道平面,0,17.72
RPSOMLRLPHLFFER77CA,坡道平面,0,17.72
SPSOMLRLPHLFFER87CA,坡道平面,0,17.72
RPWNMLSLPHLFFER18CA,坡道平面,0,17.72
RPPNMLLKPHLFFHR96CA,坡道平面,0,
RPPOMLMKPHLFFHR17CA,坡道平面,0,
RPOPMLMKPHLFFHR17CA,升降機械,0,
RPVOMLSKPHLFFHR38CA,坡道機械,0,13.26
RPPOMLQJPHLFFAD18EA,升降機械,0,
RPPOMLQJPHLFFAD18EA,升降機械,0,
RPUNMLMKPHLFFHR57CA,坡道平面,0,
RPQNMLRJPHLFFAD08CA,坡道平面,0,27.73
RPRNMLRJPHLFFAD18CA,坡道平面,0,32.55
RPSNMLRJPHLFFAD28CA,坡道平面,0,32.55
RPVNMLRJPHLFFAD58CA,坡道平面,0,32.55
RPOOMLRJPHLFFAD97CA,坡道平面,0,32.55
RPPOMLRJPHLFFAD08CA,坡道平面,0,32.55
RPUOMLRJPHLFFAD58CA,坡道平面,0,32.55
RPUNMLLKPHLFFAD97CA,坡道平面,0,32.55
RPWNMLTLPHLFFBD56CA,坡道平面,0,
RPTNMLQJPHLFFCD48CA,坡道平面,0,
RPVQMLTLPHLFFCD86CA,坡道平面,0,
RPPNMLQKPHLFFHR47CA,坡道機械,0,
RPSNMLMKPHLFFER17DA,坡道平面,0,
RPSNMLOJQHLFFCD38DA,坡道機械,0,
RPTNMLRJPHLFFHR87CA,坡道平面,280000,5.72
RPXNMLRJPHLFFHR28CA,坡道平面,0,
RPTOMLSKPHLFFER87CA,坡道平面,0,
RPRNMLTKPHLFFCD68CA,坡道平面,0,
RPQNMLMKPHLFFCD87CA,坡道平面,0,
RPUNMLMKPHLFFAD08CA,坡道平面,0,
RPSOMLLKPHLFFAD87CA,坡道平面,0,32.55
RPUOMLLKPHLFFAD08CA,坡道平面,0,32.55
RPPNMLKKPHLFFAD37CA,坡道平面,0,
RPPPMLLKPHLFFAD67CA,升降機械,0,
RPOPMLLKPHLFFAD57CA,坡道平面,0,32.55
RPRNMLOKPHLFFAD97CA,坡道平面,1000000,
RPPPMLPLPHLFFAD18CA,坡道機械,0,
RPROMLSKPHLFFAD48CA,坡道平面,0,
RPTNMLTKPHLFFAD68CA,坡道平面,1000000,30.14
RPVNMLNKPHLFFCD48CA,坡道平面,0,
RPUNMLQKPHLFFCD68CA,坡道平面,1100000,40.92
RPVNMLQKPHLFFCD78CA,坡道平面,1100000,42.99
RPWNMLQKPHLFFCD88CA,坡道平面,950000,42.99
RPSNMLLJQHLFFCD97CA,坡道機械,0,
RPRNMLOKPHLFFFR27CA,坡道平面,0,
RPRNMLOKPHLFFHR47CA,坡道機械,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPROMLMKPHLFFHR37CA,升降平面,0,
RPPOMLMKPHLFFAD77DA,坡道平面,0,
RPPOMLMKPHLFFAD77DA,坡道平面,0,
RPPOMLMKPHLFFAD77DA,坡道平面,0,
RPPOMLMKPHLFFAD77DA,坡道平面,0,
RPTNMLPKPHLFFAR17DA,坡道機械,0,
RPRNMLMKPHLFFCD08DA,坡道平面,0,
RPRNMLMKPHLFFCD08DA,坡道平面,0,
RPWOMLKLPHLFFHR77CA,坡道機械,0,
RPVNMLMKPHLFFCD38CA,坡道平面,0,
RPQNMLMJQHLFFAD67CA,坡道平面,0,
RPRNMLLLPHLFFAD77CA,坡道平面,0,
RPVPMLTKPHLFFAD09CA,坡道機械,0,
RPOQMLPKPHLFFAD08CA,坡道機械,0,
RPVNMLSKPHLFFAD78CA,坡道機械,0,
RPSOMLMKPHLFFAD97CA,坡道機械,0,
RPWNMLPKPHLFFAD58CA,坡道機械,250000,
RPXNMLMKPHLFFCD58CA,升降機械,0,
RPPPMLMLPHLFFCD08CA,坡道平面,0,
RPWOMLLJQHLFFCD48CA,坡道平面,0,
RPUNMLPJQHLFFCD58CA,坡道平面,0,
RPTOMLMJQHLFFER27CA,一樓平面,0,
RPUOMLMJQHLFFER37CA,一樓平面,0,
RPOPMLPJQHLFFER17CA,一樓平面,0,
RPSNMLOKPHLFFHR57CA,坡道機械,0,
RPUNMLNKPHLFFHR67CA,坡道平面,0,
RPQNMLKLPHLFFHR07CA,升降機械,0,
RPUNMLKMPHLFFHR57CA,坡道平面,0,
RPQNMLKLPHLFFAD67DA,坡道平面,0,
RPUNMLTJQHLFFHR28CA,坡道平面,0,
RPPOMLNJQHLFFHR37DA,升降機械,0,
RPXNMLNKPHLFFCD78DA,坡道平面,0,
RPWNMLTLPHLFFHR58CA,坡道機械,0,
RPWNMLTKPHLFFHR48CA,一樓平面,0,
RPRNMLMLPHLFFHR37CA,坡道機械,0,
RPTNMLQKPHLFFHR87CA,坡道平面,0,
RPOOMLNJQHLFFER86CA,一樓平面,0,
RPQOMLNJQHLFFER07CA,一樓平面,0,
RPTOMLNJQHLFFER37CA,一樓平面,0,
RPVOMLNJQHLFFER57CA,一樓平面,0,
RPSOMLSLPHLFFAD68CA,坡道平面,0,
RPXNMLLLPHLFFAD38CA,坡道機械,0,
RPWNMLTKPHLFFAD98CA,坡道機械,0,
RPXNMLPKPHLFFAD68CA,升降機械,0,
RPQOMLOKPHLFFAD97CA,坡道機械,0,
RPUPMLPKPHLFFAD58CA,坡道平面,0,
RPQNMLNLPHLFFAD87CA,坡道機械,0,
RPTOMLPLPHLFFCD68CA,坡道平面,0,
RPTOMLPLPHLFFCD68CA,坡道平面,0,
RPWOMLNJQHLFFER67CA,一樓平面,0,
RPXNMLPJQHLFFER87CA,一樓平面,0,
RPRNMLQKPHLFFER37CA,坡道平面,0,24.02
RPTNMLKLPHLFFFR17CA,坡道平面,0,
RPTNMLTKPHLFFHR18CA,坡道平面,0,
RPVNMLSLPHLFFHR38CA,升降機械,0,9.77
RPPNMLTJQHLFFHR77CA,坡道平面,0,
RPROMLTKPHLFFHR08CA,坡道平面,0,
RPWNMLRLPHLFFCD09CA,坡道平面,0,
RPUOMLTKPHLFFBD98CA,坡道平面,0,
RPOOMLRLPHLFFAD18CA,坡道平面,0,
RPWNMLQKPHLFFAD68CA,坡道平面,0,
