鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
北區,房地(土地+建物),臺南市北區公園南路361~390號,3.26,住,,,1050608,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0960824,21.16,1,0,1,有,有,有,7500,354,,0.0,0,,RPTPMLLJPHLFFAD18CC
永康區,建物,臺南市永康區東橋三路1~30號,80.36,住,,,1050604,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0960731,39.81,0,0,0,無,無,無,12000,301,,0.0,0,,RPQNMLLJPHLFFHR17CC
南區,房地(土地+建物),臺南市南區新建路19巷1~30號,34.61,住,,,1050701,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0720718,76.26,3,2,1,有,無,有,7000,92,,0.0,0,,RPUNMLNJPHLFFCD48CC
北區,房地(土地+建物),臺南市北區文成一路31~60號,81.0,住,,,1050701,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0751023,38.3,0,1,1,有,無,無,5000,131,,0.0,0,,RPUNMLOJPHLFFAD38CC
中西區,土地,青年段31~60地號,40.38,商,,,1050630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,56000,1387,,0.0,0,,RPQNMLOJPHLFFAD08DC
東區,房地(土地+建物)+車位,臺南市東區中華東路二段185巷1~30號,9.91,商,,,1050627,土地1建物1車位1,十四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0841106,133.05,3,2,2,有,有,有,19000,170,坡道平面,33.05,0,租金已包含平面車位及含稅但不含管理費,RPOOMLPJPHLFFCD18CC
東區,房地(土地+建物),臺南市東區林森路二段31~60號,0.0,住,,,1050613,土地1建物1車位0,一層,2,店面(店鋪),住商用,加強磚造,0640402,26.08,0,0,0,無,無,無,19000,729,,0.0,0,,RPQOMLPJPHLFFCD38CC
東區,房地(土地+建物),臺南市東區崇德11街31~60號,0.0,住,,,1050618,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土構造,0740828,119.22,5,2,2,有,無,有,17000,143,,0.0,0,,RPSOMLPJPHLFFCD58CC
北區,建物,臺南市北區長榮路五段41巷31~60號,0.0,住,,,1050704,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0920916,168.82,3,2,2,有,有,有,16000,95,,0.0,0,,RPSNMLQJPHLFFAD38CC
新化區,土地,新音段811~840地號,0.0,商,,,1050630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,10000,0,,0.0,0,,RPQNMLQJPHLFFER37CC
安南區,建物,臺南市安南區安和路一段288巷121~150號,0.0,住,,,1050703,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0820925,177.6,4,1,3,有,無,有,17000,96,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊.3.租整棟透天,RPVNMLQJPHLFFBD78CC
安南區,建物,臺南市安南區媽祖宮路151~180號,0.0,住,,,1050607,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0710701,139.96,2,2,2,有,無,無,8000,57,,0.0,0,1.租賃契約書無填寫土地租賃面積2.由所有權人提供租屋資訊,RPROMLQJPHLFFBD48CC
仁德區,土地,二王段1081~1110地號,0.0,農,,,1050629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,14000,0,,0.0,0,,RPQNMLRJPHLFFFR57CC
中西區,土地,銀同段151~180地號,107.77,其他,,,1050702,土地1建物0車位0,,,其他,,,,0.0,1,0,0,有,無,無,18000,167,,0.0,0,,RPQOMLRJPHLFFAD38CC
中西區,建物,臺南市中西區大同路一段46巷1~30號,0.0,,,,1050609,土地0建物1車位0,四層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830301,35.7,1,0,1,有,無,有,5000,140,,0.0,0,,RPXPMLRJPHLFFAD56CC
北區,土地,自強段1741~1770地號,97.0,商,,,1050623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,4500,46,,0.0,0,,RPQNMLTJPHLFFAD48CC
東區,房地(土地+建物),臺南市東區林森路一段361~390號,37.0,商,,,1050708,土地1建物1車位0,二層,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041006,175.73,0,2,2,有,無,無,65000,370,,0.0,0,,RPPNMLTJPHLFFCD58CC
東區,建物,臺南市東區中華東路二段41巷31~60號,0.0,住,,,1050620,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681214,68.39,3,2,1,有,無,有,9000,132,,0.0,0,,RPRNMLTJPHLFFCD78CC
安南區,土地,安慶段1021~1050地號,4168.7,住,,,1050630,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,50000,12,,0.0,0,,RPPNMLTJPHLFFBD48CC
安南區,建物,臺南市安南區北安路三段145巷1~30號,51.95,住,,,1050624,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840309,146.22,3,2,4,有,無,有,16000,109,,0.0,0,,RPQNMLTJPHLFFBD58CC
新市區,房地(土地+建物),臺南市新巿區永華二街31~60號,61.32,,特定專用區,甲種建築用地,1050709,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,112.99,4,2,2,有,有,有,10000,89,,0.0,0,,RPTNMLLKPHLFFER27CC
北區,建物,臺南市北區開元路333巷1~30號,0.0,住,,,1050710,土地0建物1車位0,一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0920916,159.05,3,2,3,有,有,無,15000,94,,0.0,0,,RPQOMLLKPHLFFAD87CC
東區,房地(土地+建物),臺南市東區勝利路61~90號,61.0,住,,,1050711,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土構造,0731126,105.48,0,0,0,無,無,無,17000,161,,0.0,0,租賃層次為2-3F,RPPNMLMKPHLFFCD97CC
新市區,土地,大洲段211~240地號,87.0,,鄉村區,乙種建築用地,1050712,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,4500,52,,0.0,0,,RPVNMLMKPHLFFER57CC
永康區,建物,臺南市永康區中華一路203巷1~30號,0.0,住,,,1050711,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871026,65.56,3,1,2,有,有,有,13500,206,,0.0,0,,RPSNMLNKPHLFFHR67CC
安平區,建物,臺南市安平區育平路61~90號,0.0,住,,,1050711,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021225,212.39,3,2,2,有,有,有,28000,132,,0.0,0,,RPPNMLNKPHLFFAD87CC
北區,建物,臺南市北區林森路三段140巷1~30號,0.0,,,,1050615,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0860802,142.0,3,2,2,有,有,無,12000,85,,0.0,0,,RPQOMLNKPHLFFAD08CC
安平區,建物,臺南市安平區建平十七街61~90號,0.0,商,,,1050714,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800604,120.34,2,1,2,有,有,無,13000,108,,0.0,0,,RPUNMLOKPHLFFAD48CC
中西區,建物,臺南市中西區湖美街70巷1~30號,0.0,住,,,1050617,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871203,133.35,3,1,2,有,有,有,13000,97,,0.0,0,,RPROMLPKPHLFFAD38CC
