編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTPMLLJPHLFFAD18CC,9,21.16,見其他登記事項,見其他登記事項,96年8月24日,十四層,
RPQNMLLJPHLFFHR17CC,9,39.81,住商用,鋼筋混凝土造,96年7月31日,四層,
RPUNMLNJPHLFFCD48CC,33,76.26,見其他登記事項,鋼筋混凝土造,72年7月18日,五層,
RPUNMLOJPHLFFAD38CC,30,38.30,住商用,鋼筋混凝土造,75年10月23日,三層,
RPOOMLPJPHLFFCD18CC,21,133.05,住家用,鋼筋混凝土構造,84年11月6日,二十層,
RPQOMLPJPHLFFCD38CC,41,26.08,住商用,加強磚造,64年4月2日,二層,
RPSOMLPJPHLFFCD58CC,31,119.22,住家用,鋼筋混凝土構造,74年8月28日,二層,
RPSNMLQJPHLFFAD38CC,13,168.82,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPVNMLQJPHLFFBD78CC,23,177.60,住商用,鋼筋混凝土造,82年9月25日,三層,
RPROMLQJPHLFFBD48CC,34,139.96,住商用,加強磚造,71年7月1日,二層,
RPXPMLRJPHLFFAD56CC,22,25.36,住家用,鋼筋混凝土造,83年3月1日,六層,
RPXPMLRJPHLFFAD56CC,22,8.44,共有部分,鋼筋混凝土造,83年3月1日,六層,
RPXPMLRJPHLFFAD56CC,22,1.90,共有部分,鋼筋混凝土造,83年3月1日,六層,
RPPNMLTJPHLFFCD58CC,1,175.73,見其他登記事項,鋼筋混凝土造,104年10月6日,四層,
RPRNMLTJPHLFFCD78CC,37,68.39,住家用,鋼筋混凝土造,68年12月14日,五層,
RPQNMLTJPHLFFBD58CC,21,146.22,見其他登記事項,鋼筋混凝土造,84年3月9日,四層,
RPTNMLLKPHLFFER27CC,19,112.99,住家用,鋼筋混凝土造,86年8月25日,八層,
RPQOMLLKPHLFFAD87CC,13,159.05,見其他登記事項,鋼筋混凝土造,92年9月16日,十三層,
RPPNMLMKPHLFFCD97CC,32,105.48,住家用,鋼筋混凝土構造,73年11月26日,四層,
RPSNMLNKPHLFFHR67CC,18,65.56,住家用,鋼筋混凝土造,87年10月26日,十一層,
RPPNMLNKPHLFFAD87CC,3,212.39,見其他登記事項,見其他登記事項,102年12月25日,十四層,
RPQOMLNKPHLFFAD08CC,19,96.60,見其他登記事項,鋼筋混凝土造,86年8月2日,八層,
RPQOMLNKPHLFFAD08CC,19,12.78,共有部分,鋼筋混凝土造,86年8月2日,八層,
RPQOMLNKPHLFFAD08CC,19,32.62,共有部分,鋼筋混凝土造,86年8月2日,十一層,
RPUNMLOKPHLFFAD48CC,25,120.34,住家用,鋼筋混凝土造,80年6月4日,十二層,
RPROMLPKPHLFFAD38CC,18,88.37,住家用,鋼筋混凝土造,87年12月3日,十四層,
RPROMLPKPHLFFAD38CC,18,44.98,共有部分,鋼筋混凝土造,87年12月3日,十四層,
RPUOMLPKPHLFFAD68CC,23,103.28,商業用,鋼筋混凝土造,81年12月29日,八層,
RPUOMLPKPHLFFAD68CC,23,33.36,共有部分,鋼筋混凝土造,81年12月29日,八層,
RPVOMLPKPHLFFAD78CC,23,60.19,住家用,鋼筋混凝土造,82年11月2日,十三層,
RPVOMLPKPHLFFAD78CC,23,13.62,共有部分,鋼筋混凝土造,82年11月2日,十三層,
RPVOMLPKPHLFFAD78CC,23,1.00,共有部分,鋼筋混凝土造,82年11月2日,十三層,
RPTPMLPKPHLFFAD68CC,31,47.35,住家用,鋼筋混凝土造,73年12月28日,十四層,
RPTPMLPKPHLFFAD68CC,31,15.81,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPPOMLPKPHLFFCD38CC,21,175.58,住商用,鋼筋混凝土構造,84年3月25日,十四層,
RPPOMLPKPHLFFCD38CC,21,59.66,共有部分,鋼筋混凝土構造,84年3月25日,十四層,
RPQOMLPKPHLFFCD48CC,41,184.49,住商用,加強磚造,64年5月21日,三層,
RPRNMLPKPHLFFHR77CC,1,28.29,住家用,見其他登記事項,104年7月20日,四層,
RPVNMLPKPHLFFHR18CC,22,82.40,住家用,鋼筋混凝土造,83年9月22日,十四層,
RPVNMLPKPHLFFHR18CC,22,15.88,見其他登記事項,鋼筋混凝土造,83年9月22日,十四層,
RPVNMLPKPHLFFHR18CC,22,14.31,共有部分,鋼筋混凝土造,83年9月22日,十四層,
RPXNMLPKPHLFFHR38CC,17,85.33,住家用,鋼筋混凝土造,88年8月24日,十四層,
RPXNMLPKPHLFFHR38CC,17,2.20,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPXNMLPKPHLFFHR38CC,17,4.15,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPXNMLPKPHLFFHR38CC,17,15.65,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPUOMLPKPHLFFHR18CC,30,42.75,住家用,加強磚造,75年7月10日,二層,
RPPOMLPKPHLFFBD28CC,28,172.10,住家用,加強磚造,77年7月16日,二層,
RPROMLPKPHLFFBD48CC,35,115.33,住家用,加強磚造,70年8月26日,二層,
RPSOMLPKPHLFFBD58CC,4,182.21,見其他登記事項,鋼筋混凝土造,101年12月7日,四層,
RPWNMLPKPHLFFFR08CC,23,110.55,住家用,鋼筋混凝土造,82年11月19日,七層,
RPXNMLPKPHLFFFR18CC,14,48.36,住商用,鋼筋混凝土造,91年5月3日,四層,
RPOOMLPKPHLFFFR37CC,3,59.80,住家用,鋼筋混凝土造,102年6月24日,四層,
