¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«¹ª¤s°Ï¤¤µØ¤@¸ô2221~2250¸¹,4.38,¦í,,,1050615,¤g¦a2«Øª«1¨®¦ì0,¤­¼h,¤Q¤T¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830126,36.010000000000005,1,1,1,¦³,¦³,1500000,41655,,0.0,0,,RPVNMLOJPHLFFAE38CA
«eª÷°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥««eª÷°Ï¤¤¤s¾î¸ô91~120¸¹,34.89,°Ó,,,1050614,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡AÃM¼Ó¡A¦a¤U¼h,¤C¼h,©±­±(©±¾Q),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0810121,251.15,0,0,1,µL,µL,9800000,39021,,0.0,0,,RPPNMLPJPHLFFAE87CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°Ï¬ü³NªF¤G¸ô511~540¸¹,26.77,¦í,,,1050605,¤g¦a1«Øª«1¨®¦ì2,¤­¼h,¤G¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020301,334.94,3,2,3,¦³,¦³,23500000,70162,©Y¹D¥­­±,33.32,0,§t¸ËæC,RPOOMLPJPHLFFAE87CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°Ï¬ü³N¥_¤­µó31~60¸¹,16.47,¦í,,,1050529,¤g¦a1«Øª«1¨®¦ì1,¤Q¼h,¤G¤Q¤C¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1020301,210.48000000000002,3,2,2,¦³,¦³,15130000,71883,©Y¹D¥­­±,16.66,0,§t¸ËæC,RPPOMLPJPHLFFAE97CA
ÆQÑL°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«ÆQÑL°Ï´I³¥¸ô31~60¸¹,4.01,°Ó,,,1050622,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,¤Q¼h,®M©Ð(1©Ð1ÆU1½Ã),,¿ûµ¬²V¾®¤g³y,0710531,24.72,1,1,1,¦³,¦³,800000,32362,,0.0,0,,RPVNMLQJPHLFFAE58CA
«eª÷°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥««eª÷°ÏªeªF¸ô151~180¸¹,9.31,°Ó,,,1050608,¤g¦a1«Øª«1¨®¦ì1,¤Q¼h,¤T¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿û°©¿ûµ¬²V¾®¤g³y,0850215,234.84,5,2,2,¦³,¦³,18180000,77418,©Y¹D¾÷±ñ,0.0,0,,RPWNMLQJPHLFFAE68CA
ÆQÑL°Ï,©Ð¦a(¤g¦a+«Øª«),°ª¶¯¥«ÆQÑL°Ï·s¼Öµó151~180¸¹,40.5,°Ó,,,1050517,¤g¦a2«Øª«1¨®¦ì0,¥þ,¤»¼h,³z¤Ñ­í,,¿ûµ¬²V¾®¤g³y,0670419,209.64,5,4,5,¦³,µL,8800000,41977,,0.0,0,¿Ë¤Í¡B­û¤u©Î¨ä¥L¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPVNMLLKPHLFFAE18CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°ÏÀs¤ô¤G¸ô91~120¸¹,19.66,¦í,,,1050524,¤g¦a1«Øª«1¨®¦ì1,¤Q¤C¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040513,221.09000000000003,3,2,2,¦³,¦³,18000000,81415,©Y¹D¥­­±,19.9,0,,RPVNMLPKPHLFFAE58CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°ÏÀs¤ô¤G¸ô91~120¸¹,15.45,¦í,,,1050504,¤g¦a1«Øª«1¨®¦ì1,¤Q¤»¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040513,180.57,3,2,2,¦³,¦³,15300000,84732,©Y¹D¥­­±,19.9,0,,RPXNMLPKPHLFFAE78CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°ÏÀs¤ô¤G¸ô91~120¸¹,15.45,¦í,,,1050530,¤g¦a1«Øª«1¨®¦ì1,¤Q¤C¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040513,180.57,3,2,2,¦³,¦³,14850000,82240,©Y¹D¥­­±,19.9,0,,RPOOMLPKPHLFFAE97CA
¹ª¤s°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,°ª¶¯¥«¹ª¤s°ÏÀs¤ô¤G¸ô91~120¸¹,19.66,¦í,,,1050527,¤g¦a1«Øª«1¨®¦ì1,¤Q¤­¼h,¤G¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1040513,218.95,3,2,2,¦³,¦³,18000000,82211,©Y¹D¥­­±,19.9,0,,RPPOMLPKPHLFFAE08CA
