編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLOJPHLFFAE38CA,22,27.17,住家用,鋼筋混凝土造,83年1月26日,十三層,五層
RPVNMLOJPHLFFAE38CA,22,8.84,,鋼筋混凝土造,83年1月26日,十三層,
RPPNMLPJPHLFFAE87CA,24,151.09,商業用,鋼筋混凝土造,81年1月21日,七層,一層 騎樓 地下層
RPPNMLPJPHLFFAE87CA,24,100.06,見使用執照,鋼筋混凝土造,81年1月21日,七層,
RPOOMLPJPHLFFAE87CA,3,195.89,住家用,鋼筋混凝土造,102年3月1日,二十七層,五層
RPOOMLPJPHLFFAE87CA,3,139.05,見其它登記事項,鋼筋混凝土造,102年3月1日,二十七層,
RPPOMLPJPHLFFAE97CA,3,125.47,住家用,鋼筋混凝土造,102年3月1日,二十七層,十層
RPPOMLPJPHLFFAE97CA,3,85.01,見其它登記事項,鋼筋混凝土造,102年3月1日,二十七層,
RPVNMLQJPHLFFAE58CA,34,24.72,,鋼筋混凝土造,71年5月31日,十層,九層
RPWNMLQJPHLFFAE68CA,20,11.28,見其它登記事項,鋼骨鋼筋混凝土造,85年2月15日,三十五層,六層 七層
RPWNMLQJPHLFFAE68CA,20,1.25,見使用執照,鋼骨鋼筋混凝土造,85年2月15日,三十五層,
RPWNMLQJPHLFFAE68CA,20,160.10,住家用,鋼骨鋼筋混凝土造,85年2月15日,三十五層,十層
RPWNMLQJPHLFFAE68CA,20,62.21,見使用執照,鋼骨鋼筋混凝土造,85年2月15日,三十五層,
RPVNMLLKPHLFFAE18CA,38,209.64,,鋼筋混凝土造,67年4月19日,六層,一層 二層 三層 四層 五層 六層 騎樓 地下層
RPVNMLPKPHLFFAE58CA,1,131.55,住家用,鋼筋混凝土造,104年5月13日,二十四層,十七層
RPVNMLPKPHLFFAE58CA,1,89.54,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPXNMLPKPHLFFAE78CA,1,104.95,住家用,鋼筋混凝土造,104年5月13日,二十四層,十六層
RPXNMLPKPHLFFAE78CA,1,75.62,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPOOMLPKPHLFFAE97CA,1,104.95,住家用,鋼筋混凝土造,104年5月13日,二十四層,十七層
RPOOMLPKPHLFFAE97CA,1,75.62,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPPOMLPKPHLFFAE08CA,1,130.07,住家用,鋼筋混凝土造,104年5月13日,二十四層,十五層
RPPOMLPKPHLFFAE08CA,1,88.88,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPQOMLPKPHLFFAE18CA,1,104.95,住家用,鋼筋混凝土造,104年5月13日,二十四層,十五層
RPQOMLPKPHLFFAE18CA,1,75.62,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPROMLPKPHLFFAE28CA,1,104.95,住家用,鋼筋混凝土造,104年5月13日,二十四層,十八層
RPROMLPKPHLFFAE28CA,1,75.62,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPTOMLPKPHLFFAE48CA,1,104.95,住家用,鋼筋混凝土造,104年5月13日,二十四層,十三層
RPTOMLPKPHLFFAE48CA,1,75.62,見其它登記事項,鋼筋混凝土造,104年5月13日,二十四層,
RPUNMLNLPHLFFAE38CA,11,37.76,住家用,鋼筋混凝土造,94年6月24日,十五層,十三層
RPUNMLNLPHLFFAE38CA,11,3.30,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPUNMLNLPHLFFAE38CA,11,7.55,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPUNMLNLPHLFFAE38CA,11,12.66,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPWOMLLJPHLFFBE38CA,33,38.71,,鋼筋混凝土造,72年5月5日,十二層,七層
RPWOMLLJPHLFFBE38CA,33,6.85,,鋼筋混凝土造,72年5月5日,十二層,
RPRNMLOJPHLFFBE08CA,7,22.11,見其他登記事項,鋼筋混凝土造,98年11月9日,二十四層,
RPVNMLOJPHLFFBE48CA,35,69.38,,鋼筋混凝土造,70年12月5日,十二層,九層
RPVNMLOJPHLFFBE48CA,35,20.94,,鋼筋混凝土造,70年12月5日,十二層,
RPOOMLOJPHLFFBE87CA,45,114.99,,加強磚造,60年8月30日,三層,一層 二層 三層 騎樓
RPTOMLQJPHLFFBE58CA,8,30.46,住家用,鋼筋混凝土造,97年9月19日,十三層,六層
RPTOMLQJPHLFFBE58CA,8,8.33,共有部分,鋼筋混凝土造,97年9月19日,十三層,
RPTOMLQJPHLFFBE58CA,8,8.42,共有部分,鋼筋混凝土造,97年9月19日,十三層,
RPOOMLPKPHLFFBE08CA,39,115.53,,鋼筋混凝土造,66年1月29日,四層,一層
RPVNMLSKPHLFFBE98CA,1,51.79,住家用,鋼筋混凝土造,104年10月23日,十五層,六層
RPVNMLSKPHLFFBE98CA,1,42.56,共有部分,鋼筋混凝土造,104年10月23日,十五層,
RPQOMLSKPHLFFBE58CA,37,101.10,,鋼筋混凝土造,68年10月29日,五層,五層
RPQOMLTKPHLFFBE68CA,26,401.03,,鋼筋混凝土造,78年12月15日,十二層,六層
RPQOMLTKPHLFFBE68CA,26,140.89,,鋼筋混凝土造,78年12月15日,十二層,
RPXNMLPLPHLFFBE98CA,31,67.02,,鋼筋混凝土造,74年11月25日,十層,八層
RPXNMLPLPHLFFBE98CA,31,16.57,,鋼筋混凝土造,74年11月25日,十層,
RPVNMLPJPHLFFCE68CA,35,31.20,,鋼筋混凝土造,70年1月22日,十層,三層
RPVNMLPJPHLFFCE68CA,35,5.82,見使用執照,鋼筋混凝土造,70年1月22日,000,
RPXNMLPJPHLFFCE88CA,26,112.31,住家用,鋼筋混凝土造,79年8月10日,七層,六層
RPXNMLPJPHLFFCE88CA,26,53.77,見使用執照,鋼筋混凝土造,79年8月10日,七層,
RPPNMLMKPHLFFCE87CA,37,107.40,住家用,鋼筋混凝土造,68年10月22日,五層,四層
RPTNMLOJPHLFFDE48CA,7,254.01,住家用,鋼筋混凝土造,98年11月30日,二十二層,二層
RPTNMLOJPHLFFDE48CA,7,146.01,見其它登記事項,鋼筋混凝土造,98年11月30日,二十二層,
