編號,車位類別,車位價格,車位面積平方公尺
RPOOMLPJPHLFFAE87CA,坡道平面,0,16.66
RPOOMLPJPHLFFAE87CA,坡道平面,0,16.66
RPPOMLPJPHLFFAE97CA,坡道平面,0,16.66
RPWNMLQJPHLFFAE68CA,坡道機械,0,
RPVNMLPKPHLFFAE58CA,坡道平面,0,19.90
RPXNMLPKPHLFFAE78CA,坡道平面,0,19.90
RPOOMLPKPHLFFAE97CA,坡道平面,0,19.90
RPPOMLPKPHLFFAE08CA,坡道平面,0,19.90
RPQOMLPKPHLFFAE18CA,坡道平面,0,19.90
RPROMLPKPHLFFAE28CA,坡道平面,0,19.90
RPTOMLPKPHLFFAE48CA,坡道平面,0,19.90
RPRNMLOJPHLFFBE08CA,坡道平面,1500000,22.11
RPVNMLSKPHLFFBE98CA,坡道機械,1050000,14.94
RPQOMLTKPHLFFBE68CA,升降平面,0,
RPQOMLTKPHLFFBE68CA,升降平面,0,
RPTNMLOJPHLFFDE48CA,坡道平面,0,
RPTNMLOJPHLFFDE48CA,坡道平面,0,
RPVNMLPJPHLFFDE78CA,坡道平面,0,
RPQPMLPJPHLFFDE48CA,坡道平面,0,24.42
RPSNMLOKPHLFFDE48CA,坡道平面,0,27.77
RPQNMLTKPHLFFDE78CA,坡道機械,0,
RPSOMLMLPHLFFDE48CA,坡道平面,0,30.22
RPUPMLOJPHLFFEE88CA,坡道平面,0,
RPXNMLOJPHLFFEE98CA,坡道機械,850000,36.09
RPSOMLOJPHLFFEE58CA,坡道平面,0,15.88
RPVOMLRJPHLFFEE56CA,坡道機械,0,12.00
RPXQMLRJPHLFFEE96CA,坡道平面,0,
RPPNMLLKPHLFFEE97CA,坡道平面,0,13.95
RPOOMLKLPHLFFEE97CA,坡道機械,0,
RPRNMLRLPHLFFEE88CA,坡道平面,1000000,27.99
RPXOMLPJPHLFFGE76CA,坡道平面,0,35.99
RPROMLKLPHLFFGE48CA,坡道平面,0,
RPOPMLQLPHLFFGE88CA,坡道平面,1100000,37.03
RPVNMLPJPHLFFIE66CA,坡道平面,0,27.72
RPVNMLPJPHLFFIE66CA,坡道平面,0,27.72
RPSNMLPLPHLFFIE56CA,坡道平面,0,20.24
RPQNMLRJPHLFFLE66CA,坡道機械,0,
RPVNMLOKPHLFFIE66CA,坡道平面,0,23.14
RPPNMLKMPHLFFEE08CA,坡道平面,0,
RPPNMLKMPHLFFEE08CA,坡道平面,3200000,50.38
RPTOMLKLPHLFFEE48CA,坡道平面,0,
RPXNMLOKPHLFFEE09CA,坡道平面,0,22.57
RPQOMLLKPHLFFEE18CA,坡道平面,0,17.89
RPROMLLKPHLFFEE28CA,坡道平面,0,17.89
RPPPMLRJPHLFFEE68CA,坡道平面,0,17.62
RPRPMLRJPHLFFEE88CA,坡道平面,0,15.19
RPSPMLOJPHLFFEE68CA,坡道平面,0,23.78
RPSOMLPJPHLFFEE68CA,坡道平面,0,23.84
RPSPMLPKPHLFFDE78CA,坡道平面,0,
RPWNMLKLPHLFFDE58CA,坡道平面,0,23.90
RPXNMLKLPHLFFDE68CA,坡道平面,0,23.90
RPOOMLKLPHLFFDE87CA,坡道平面,0,23.90
RPOOMLKLPHLFFDE87CA,坡道平面,0,23.90
RPVNMLPKPHLFFDE88CA,坡道平面,0,44.86
RPPPMLPJPHLFFDE38CA,坡道平面,0,30.08
RPPPMLPJPHLFFDE38CA,坡道平面,0,30.08
RPQOMLMKPHLFFDE18CA,坡道平面,0,27.62
RPVPMLRJPHLFFDE56CA,坡道平面,0,
RPPNMLPJPHLFFDE18CA,坡道平面,0,18.40
RPPNMLPJPHLFFDE18CA,坡道平面,0,18.40
RPVNMLQLPHLFFCE98CA,坡道機械,0,
RPUNMLRJPHLFFCE78CA,坡道機械,0,12.57
RPQOMLQJPHLFFCE38CA,坡道平面,0,22.51
RPUNMLSKPHLFFBE88CA,其他,800000,5.53
RPPOMLMKPHLFFBE87CA,坡道平面,0,16.84
RPPOMLMKPHLFFBE87CA,坡道平面,0,19.72
RPWNMLOKPHLFFBE68CA,坡道平面,0,29.15
RPRRMLTKPHLFFAE98CA,坡道平面,0,15.95
RPTNMLSLPHLFFAE78CA,坡道平面,0,25.12
RPOOMLSLPHLFFAE38CA,坡道平面,0,25.12
RPSOMLSLPHLFFAE78CA,坡道平面,0,25.12
RPSOMLSLPHLFFAE78CA,坡道平面,0,25.12
RPSPMLNKPHLFFAE28CA,坡道平面,190000,28.05
RPPOMLQJPHLFFAE08CA,坡道平面,0,
RPPOMLQJPHLFFAE08CA,坡道平面,0,
RPVOMLPKPHLFFAE68CA,坡道平面,0,19.90
RPTNMLSKPHLFFAE68CA,坡道平面,0,15.95
RPWPMLTKPHLFFAE66CA,升降機械,0,
RPXPMLTKPHLFFAE76CA,升降平面,0,
RPSOMLPKPHLFFAE38CA,坡道平面,0,35.17
RPQNMLSLPHLFFAE48CA,坡道平面,0,
RPOOMLLLPHLFFAE67CA,坡道平面,0,18.77
SPOOMLLLPHLFFAE77CA,坡道平面,0,18.77
RPPOMLLLPHLFFAE77CA,坡道平面,0,18.77
RPPOMLLLPHLFFAE77CA,坡道平面,0,18.77
RPQOMLLLPHLFFAE87CA,坡道平面,0,18.77
RPROMLLLPHLFFAE97CA,坡道平面,0,18.77
RPSOMLLLPHLFFAE08CA,坡道平面,0,18.77
RPTOMLLLPHLFFAE18CA,坡道平面,0,18.77
RPTOMLLLPHLFFAE18CA,坡道平面,0,18.77
RPUOMLLLPHLFFAE28CA,坡道平面,0,18.77
RPUOMLLLPHLFFAE28CA,坡道平面,0,18.77
RPVNMLRJPHLFFBE78CA,坡道機械,0,
RPQNMLMKPHLFFBE87CA,坡道平面,0,24.41
RPQNMLMKPHLFFBE87CA,坡道平面,0,24.41
RPVOMLTKPHLFFBE56CA,升降機械,500000,8.05
RPSOMLRJPHLFFCE68CA,坡道平面,0,16.16
RPSNMLQJPHLFFCE48CA,坡道平面,0,23.12
RPSNMLQJPHLFFCE48CA,坡道平面,0,23.12
RPQNMLTJPHLFFCE58CA,坡道機械,0,
RPQNMLLMPHLFFCE08CA,坡道平面,0,
RPRNMLLMPHLFFCE18CA,坡道平面,0,
RPXNMLLLPHLFFCE68CA,坡道機械,0,8.50
RPOPMLPJPHLFFDE28CA,坡道平面,0,37.00
RPPNMLQJPHLFFDE28CA,坡道平面,0,16.80
RPWNMLLKPHLFFDE58CA,升降機械,0,
RPWPMLLKPHLFFDE78CA,坡道平面,0,22.06
RPOOMLTKPHLFFDE68CA,坡道平面,0,25.01
RPVOMLPJPHLFFEE98CA,坡道機械,0,7.42
RPUOMLQLPHLFFDE09CA,坡道平面,1780000,29.10
RPVOMLQLPHLFFDE56CA,坡道平面,1510000,29.10
RPWOMLQLPHLFFDE66CA,坡道平面,1510000,29.10
RPOPMLQLPHLFFDE58CA,坡道平面,1510000,29.10
RPPPMLQLPHLFFDE68CA,坡道平面,1580000,29.10
RPQPMLQLPHLFFDE78CA,坡道平面,1580000,29.10
RPSNMLQJPHLFFEE68CA,坡道平面,0,31.19
RPPOMLQJPHLFFEE48CA,坡道平面,1130000,16.56
RPPNMLRJPHLFFEE48CA,坡道機械,0,
RPVOMLLKPHLFFEE68CA,坡道機械,0,
RPOPMLNKPHLFFEE28CA,坡道機械,0,9.43
RPUOMLPKPHLFFEE98CA,坡道機械,0,
RPSNMLMKPHLFFEE38CA,坡道平面,0,
RPTNMLMLPHLFFEE58CA,坡道平面,1250000,26.11
RPUNMLMLPHLFFEE68CA,坡道平面,1050000,22.57
RPVNMLMLPHLFFEE78CA,坡道平面,1150000,22.57
RPWNMLMLPHLFFEE88CA,坡道平面,1150000,26.11
RPXNMLMLPHLFFEE98CA,坡道平面,1100000,26.11
RPQOMLLLPHLFFEE28CA,坡道平面,0,22.64
RPQNMLOKPHLFFGE58CA,坡道平面,750000,21.43
RPQNMLOKPHLFFGE58CA,坡道平面,750000,21.43
RPRNMLOKPHLFFGE68CA,坡道平面,1600000,30.20
RPRNMLOKPHLFFGE68CA,坡道平面,1600000,30.20
RPSOMLOKPHLFFGE88CA,升降機械,0,
RPWNMLPKPHLFFGE66CA,坡道平面,0,
RPQNMLLLPHLFFGE38CA,坡道平面,0,14.56
RPRNMLLLPHLFFGE48CA,坡道平面,0,14.56
RPUNMLLLPHLFFGE78CA,坡道平面,0,16.73
RPXNMLLLPHLFFGE09CA,坡道平面,0,16.73
RPOOMLLLPHLFFGE28CA,坡道平面,0,14.56
RPOPMLLJQHLFFGE28CA,坡道平面,1000000,35.19
RPOOMLLJQHLFFIE38CA,坡道機械,0,17.61
RPOOMLLKPHLFFAE67DA,坡道機械,0,15.16
RPPOMLLJQHLFFIE48CA,坡道平面,0,27.81
RPTNMLLJQHLFFIE78CA,坡道平面,0,
RPSNMLPKPHLFFIE09CA,坡道平面,0,36.50
RPPNMLRKPHLFFIE98CA,坡道平面,0,33.49
RPQNMLRKPHLFFIE09CA,坡道平面,0,33.49
RPRNMLRKPHLFFIE56CA,坡道平面,0,33.49
RPSNMLRKPHLFFIE66CA,坡道平面,0,33.49
RPVNMLRKPHLFFIE96CA,坡道平面,0,33.49
RPWNMLRKPHLFFIE07CA,坡道平面,0,33.49
RPROMLNKPHLFFIE88CA,坡道平面,0,25.57
RPPNMLOKPHLFFIE68CA,一樓平面,0,
RPWNMLMLPHLFFGE09CA,坡道平面,440000,26.03
RPWNMLMLPHLFFGE09CA,坡道平面,440000,26.03
RPTNMLTKPHLFFGE76CA,坡道平面,440000,26.03
RPWNMLMKPHLFFGE98CA,坡道平面,400000,26.03
RPSOMLMKPHLFFGE68CA,坡道平面,0,18.12
RPSOMLMKPHLFFGE68CA,坡道平面,0,18.12
RPSOMLMKPHLFFGE68CA,坡道平面,0,18.12
RPUOMLMKPHLFFGE88CA,坡道平面,0,18.12
RPUOMLMKPHLFFGE88CA,坡道平面,0,18.12
