鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,車位,高雄市苓雅區自強三路1~30號,0.0,商,,,1050627,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1978,,坡道平面,10.01,1978,,RPUNMLLJPHLFFBE28CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1050627,土地0建物1車位0,二十四層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,122.35,3,2,2,有,有,有,13500,110,,0.0,0,,RPVNMLLJPHLFFBE38CC
苓雅區,房地(土地+建物),高雄市苓雅區青年一路391~420號,86.0,商,,,1050620,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0591109,74.95,0,0,1,有,無,無,20000,267,,0.0,0,,RPUOMLLJPHLFFBE38CC
苓雅區,房地(土地+建物),高雄市苓雅區忠孝二路31~60號,13.8,住,,,1050630,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0770502,47.23,0,0,0,無,無,無,10000,212,,0.0,0,,RPVOMLLJPHLFFBE48CC
三民區,房地(土地+建物),高雄市三民區大昌一路301~330號,17.21,工,,,1050608,土地1建物1車位0,六層,13,廠辦,工業用,鋼筋混凝土造,0830208,119.12,4,2,2,有,有,無,10500,88,,0.0,0,,RPTNMLLJPHLFFDE38CC
三民區,房地(土地+建物),高雄市三民區同盟一路391~420號,24.76,商,,,1050629,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850126,68.57,3,2,3,有,有,無,27000,394,,0.0,0,,RPUNMLLJPHLFFDE48CC
三民區,建物,高雄市三民區慶雲街121~150號,35.4,住,,,1050623,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700112,99.3,4,1,2,有,無,無,6000,60,,0.0,0,,RPSOMLLJPHLFFDE38CC
三民區,房地(土地+建物),高雄市三民區三民街181~210號,46.0,商,,,1050629,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0430502,130.52,4,2,4,有,無,無,20000,153,,0.0,0,,RPTOMLLJPHLFFDE48CC
三民區,房地(土地+建物),高雄市三民區建國一路391~420號,28.46,住,,,1050607,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),,鋼筋混凝土造,0670218,103.94,3,2,2,有,有,無,11000,106,,0.0,0,,RPUOMLLJPHLFFDE58CC
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德賢路271~300號,6133.0,住,,,1050701,土地1建物1車位1,一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850112,101.32,4,2,2,有,無,無,12000,118,坡道機械,42.69,0,,RPSPMLLJPHLFFEE58CC
左營區,房地(土地+建物),高雄市左營區華夏路1381~1410號,23.05,商,,,1050601,土地1建物1車位0,三十層,35,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031210,355.79,3,2,3,有,無,無,40700,114,,0.0,0,,RPOQMLLJPHLFFEE28CC
左營區,房地(土地+建物)+車位,高雄市左營區文自路721~750號,21.02,住,,,1050601,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041116,150.01,2,2,2,有,有,有,18000,120,坡道平面,36.19,0,,RPQQMLLJPHLFFEE48CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳頂路151~180號,134.55,住,,,1050630,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0920612,274.34,5,2,4,有,無,無,22000,80,,0.0,0,,RPOOMLLJPHLFFGE28CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳南路121~150號,67.0,住,,,1050630,土地1建物1車位0,一層,2,店面(店鋪),住商用,加強磚造,0620615,102.97,0,0,0,無,無,無,9000,87,,0.0,0,,RPQOMLLJPHLFFGE48CC
岡山區,土地,大智段541~570地號,4654.0,農,,,1050701,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,21,,0.0,0,,RPWNMLLJPHLFFFE88CC
岡山區,房地(土地+建物),高雄市岡山區大德三路91~120號,76.0,住,,,1050628,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,1020329,237.92,4,4,4,有,無,無,28000,118,,0.0,0,,RPOOMLLJPHLFFFE18CC
前鎮區,房地(土地+建物),高雄市前鎮區育群街239巷1~30號,47.0,住,,,1050603,土地1建物1車位0,全,4,透天厝,住家用,加強磚造,0600628,35.47,1,1,1,有,無,有,6000,169,,0.0,0,,RPUNMLLJPHLFFCE48DC
前鎮區,房地(土地+建物),高雄市前鎮區林森四路151~180號,16.48,住,,,1050630,土地1建物1車位0,四層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941028,110.6,2,2,1,有,無,有,19000,172,,0.0,0,,RPPNMLMJPHLFFCE97CC
三民區,房地(土地+建物),高雄市三民區鼎強街79巷1~30號,32.93,住,,,1050630,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0831124,237.10999999999999,2,2,3,有,有,無,18700,79,,0.0,0,店面(1+2+3樓)，租金含稅。,RPUNMLMJPHLFFDE58CC
新興區,建物,高雄市新興區民權一路號,0.0,,,,1050622,土地0建物1車位0,八層,28,辦公商業大樓,商業用,鋼筋混凝土造,0820304,311.9,0,0,0,無,無,無,35000,112,,0.0,0,,RPPNMLMJPHLFFBE87CC
新興區,房地(土地+建物),高雄市新興區復興2路121~150號,123.0,商,,,1050701,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691014,18.76,1,0,1,有,無,有,5000,267,,0.0,0,公寓型分租套房,RPRNMLMJPHLFFBE08CC
新興區,房地(土地+建物),高雄市新興區復興2路121~150號,123.0,商,,,1050630,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691014,18.76,1,0,1,有,無,有,4500,240,,0.0,0,公寓型分租套房,RPSNMLMJPHLFFBE18CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區自強三路1~30號,110.46,商,,,1050701,土地1建物1車位1,三十層,85,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0880401,190.3,0,0,0,無,有,有,24500,129,坡道機械,0.0,0,,RPUNMLMJPHLFFBE38CC
