編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLLJPHLFFBE38CC,19,122.35,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPUOMLLJPHLFFBE38CC,46,74.95,住商用,加強磚造,59年11月9日,三層,
RPVOMLLJPHLFFBE48CC,28,47.23,,鋼筋混凝土造,77年5月2日,五層,
RPTNMLLJPHLFFDE38CC,22,119.12,工業用,鋼筋混凝土造,83年2月8日,十三層,
RPUNMLLJPHLFFDE48CC,20,68.57,住商用,鋼筋混凝土造,85年1月26日,十二層,
RPSOMLLJPHLFFDE38CC,35,99.30,,鋼筋混凝土造,70年1月12日,五層,
RPTOMLLJPHLFFDE48CC,62,130.52,住商用,加強磚造,43年5月2日,三層,
RPUOMLLJPHLFFDE58CC,38,103.94,,鋼筋混凝土造,67年2月18日,六層,
RPSPMLLJPHLFFEE58CC,20,89.74,住家用,鋼筋混凝土造,85年1月12日,十九層,
RPSPMLLJPHLFFEE58CC,20,10.88,住家用,鋼筋混凝土造,85年1月12日,十九層,
RPSPMLLJPHLFFEE58CC,20,.70,住家用,鋼筋混凝土造,85年1月12日,十九層,
RPOQMLLJPHLFFEE28CC,2,355.79,住家用,見其它登記事項,103年12月10日,三十五層,
RPQQMLLJPHLFFEE48CC,1,150.01,見其它登記事項,見其它登記事項,104年11月16日,十五層,
RPOOMLLJPHLFFGE28CC,13,274.34,見其他登記事項,鋼筋混凝土造,92年6月12日,四層,
RPQOMLLJPHLFFGE48CC,43,102.97,住商用,加強磚造,62年6月15日,二層,
RPOOMLLJPHLFFFE18CC,3,237.92,住商用,鋼筋混凝土造,102年3月29日,四層,
RPUNMLLJPHLFFCE48DC,45,35.47,住家用,加強磚造,60年6月28日,二層,
RPPNMLMJPHLFFCE97CC,11,110.60,住家用,鋼筋混凝土造,94年10月28日,十層,
RPUNMLMJPHLFFDE58CC,22,177.32,住商用,鋼筋混凝土造,83年11月24日,十三層,
RPUNMLMJPHLFFDE58CC,22,59.79,見使用執照,鋼筋混凝土造,83年11月24日,十三層,
RPPNMLMJPHLFFBE87CC,23,311.90,商業用,鋼筋混凝土造,82年3月4日,二十八層,
RPRNMLMJPHLFFBE08CC,36,18.76,,鋼筋混凝土造,69年10月14日,五層,
RPSNMLMJPHLFFBE18CC,36,18.76,,鋼筋混凝土造,69年10月14日,五層,
RPUNMLMJPHLFFBE38CC,17,120.40,商業用,鋼骨鋼筋混凝土造,88年4月1日,八十五層,
RPUNMLMJPHLFFBE38CC,17,49.07,見其他登記事項,鋼骨鋼筋混凝土造,88年4月1日,八十五層,
RPUNMLMJPHLFFBE38CC,17,7.17,見其他登記事項,鋼骨鋼筋混凝土造,88年4月1日,八十五層,
