編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUNMLLJPHLFFBE28CC,意誠段,.00,都市：商
RPVNMLLJPHLFFBE38CC,意誠段,.00,都市：商
RPUOMLLJPHLFFBE38CC,過田子段,86.00,都市：商
RPVOMLLJPHLFFBE48CC,過田子段,13.80,都市：住
RPTNMLLJPHLFFDE38CC,灣內段,17.21,都市：工
RPUNMLLJPHLFFDE48CC,大港段四小段,24.76,都市：商
RPSOMLLJPHLFFDE38CC,大港段,35.40,都市：住
RPTOMLLJPHLFFDE48CC,河濱段,46.00,都市：商
RPUOMLLJPHLFFDE58CC,大港段五小段,28.46,都市：住
RPSPMLLJPHLFFEE58CC,和平段五小段,6133.00,都市：住
RPOQMLLJPHLFFEE28CC,福山段,23.05,都市：商
RPQQMLLJPHLFFEE48CC,福民段,21.02,都市：住
RPOOMLLJPHLFFGE28CC,明頂段,134.55,都市：住
RPQOMLLJPHLFFGE48CC,七老爺段一甲小段,67.00,都市：住
RPWNMLLJPHLFFFE88CC,大智段,4498.00,都市：農
RPWNMLLJPHLFFFE88CC,大智段,117.00,都市：農
RPWNMLLJPHLFFFE88CC,大智段,39.00,都市：農
RPOOMLLJPHLFFFE18CC,文化段,76.00,都市：住
RPUNMLLJPHLFFCE48DC,憲德段,47.00,都市：住
RPPNMLMJPHLFFCE97CC,獅甲段二小段,16.48,都市：住
RPUNMLMJPHLFFDE58CC,覆鼎金段覆鼎金小段,32.93,都市：住
RPPNMLMJPHLFFBE87CC,大統段一小段,.00,非都市： ; 非都市編定：
RPRNMLMJPHLFFBE08CC,大統段二小段,123.00,都市：商
RPSNMLMJPHLFFBE18CC,大統段二小段,123.00,都市：商
RPUNMLMJPHLFFBE38CC,意誠段,110.46,都市：商
RPSNMLMJPHLFFAE08CC,鼓中段五小段,16.12,都市：住
RPTNMLMJPHLFFAE18CC,青海段,13.64,都市：住
RPPNMLNJPHLFFBE97CC,新興段三小段,4.74,都市：住
RPPNMLNJPHLFFCE08CC,光華段一小段,.00,非都市： ; 非都市編定：
RPXNMLOJPHLFFCE98CC,憲德段二小段,75.80,都市：商
RPTNMLOJPHLFFAE38CC,前金段,27.19,都市：商
RPRNMLOJPHLFFDE48CC,鼎泰段一小段,.00,都市：住
RPUOMLOJPHLFFEE98CC,新博段,34.08,都市：住
RPVOMLOJPHLFFEE09CC,新庄段五小段,10.26,都市：住
RPPPMLOJPHLFFEE58CC,興隆段,127.00,都市：住
RPXPMLOJPHLFFEE76CC,新庄段十二小段,32.11,都市：住
RPSQMLOJPHLFFEE98CC,福民段,22.11,都市：住
RPSNMLPJPHLFFEE78CC,新庄段六小段,25.00,都市：住
RPSNMLPJPHLFFEE78CC,新庄段六小段,675.00,都市：住
RPWNMLPJPHLFFDE09CC,鼎泰段,15.72,都市：住
RPSOMLPJPHLFFBE58CC,過田子段,69.00,都市：住
RPOOMLPJPHLFFCE28CC,獅甲段,.00,都市：商
RPOOMLPJPHLFFCE28CC,獅甲段,.00,都市：商
RPQOMLPJPHLFFCE48CC,光華段,26.90,都市：住
RPVOMLPJPHLFFCE98CC,憲德段二小段,13.52,都市：商
RPRNMLQJPHLFFCE58CC,港興段,237.00,都市：住
RPTNMLQJPHLFFGE56CC,新庄子段,24.12,都市：住
RPTNMLQJPHLFFGE56CC,新庄子段,3.35,都市：住
RPRNMLQJPHLFFFE88CC,大全段,54.00,都市：住
RPUNMLQJPHLFFIE86CC,金鼎段,155.54,都市：住
RPOOMLQJPHLFFBE28CC,意誠段,.00,都市：商
RPPOMLQJPHLFFBE38CC,意誠段,.00,都市：商
RPTNMLQJPHLFFAE58CC,府北段五小段,5.97,都市：商
RPUOMLQJPHLFFDE09CC,灣中段,92.50,都市：住
