編號,車位類別,車位價格,車位面積平方公尺
RPUNMLLJPHLFFBE28CC,坡道平面,1978,10.01
RPSPMLLJPHLFFEE58CC,坡道機械,0,42.69
RPQQMLLJPHLFFEE48CC,坡道平面,0,36.19
RPUNMLMJPHLFFBE38CC,坡道機械,0,
RPSNMLMJPHLFFAE08CC,坡道平面,0,33.09
RPTNMLMJPHLFFAE18CC,坡道機械,0,17.35
RPUOMLOJPHLFFEE98CC,坡道平面,0,34.81
RPVOMLOJPHLFFEE09CC,坡道機械,0,8.94
RPXPMLOJPHLFFEE76CC,坡道平面,0,
RPSQMLOJPHLFFEE98CC,坡道平面,0,
RPPOMLQJPHLFFBE38CC,坡道平面,2000,14.64
RPXNMLRJPHLFFBE56CC,坡道平面,1700,12.66
RPPNMLTJPHLFFAE48CC,坡道平面,0,11.64
RPQNMLKKPHLFFEE18CC,坡道平面,0,
RPSNMLMKPHLFFCE38CC,坡道平面,0,34.53
RPOOMLMKPHLFFEE28CC,坡道平面,0,15.08
RPROMLNKPHLFFAE28CC,坡道機械,0,7.38
RPUNMLOKPHLFFBE68CC,坡道平面,1700,14.64
RPOOMLOKPHLFFBE18CC,坡道平面,0,30.53
RPQOMLOKPHLFFBE38CC,坡道平面,0,30.53
RPVOMLOKPHLFFEE56CC,坡道平面,0,36.19
