¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë¤é,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¥|ºû¸ô112«Ñ1~30¸¹,22.0,¦í,,,1050614,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,¥|¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¥[±j¿j³y,,67.65,2,2,2,¦³,µL,8600000,127125,,0.0,0,¼W«Ø©Î¥e¥Î½d³ò:¶§¥x¥~±À,RPPNMLQJPHLFFAF08CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï«n¶®ªF¸ô1~30¸¹,4.6,°Ó,,,1050515,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,¤Q¤@¼h,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0861121,45.75,1,1,1,¦³,¦³,4500000,98361,,0.0,0,,RPUOMLLJPHLFFAF18CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï«n¶®«n¸ô¤@¬q1~30¸¹,38.25,°Ó,,,1050621,¤g¦a1«Øª«1¨®¦ì0,¥þ,¥|¼h,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,,119.46,0,0,8,¦³,µL,20000000,167420,,0.0,0,,RPXOMLLJPHLFFAF48CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï©ú¼w¸ô¤@¬q240«Ñ1~30¸¹,11.62,°Ó,,,1050605,¤g¦a1«Øª«1¨®¦ì0,¤Q¤@¼h,¤Q¤G¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831029,112.22,3,2,2,¦³,¦³,9700000,86437,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPPNMLNJPHLFFAF77CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï©ú¼w¸ô¤@¬q20«Ñ1§Ë1~30¸¹,20.77,¦í,,,1050428,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,¤­¼h,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0701221,75.6,3,1,1,¦³,µL,5300000,70106,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPQNMLNJPHLFFAF87CA
ªO¾ô°Ï,¤g¦a,¦¿»A¬q181~210¦a¸¹,52.68,°Ó,,,1050524,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5478720,104000,,0.0,0,¥»µ§«Y­«¹º©è¶O¦a¡AÅv§Q¤H¦@13¤H,RPUNMLOJPHLFFAF38CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤g«°°Ï¾Ç©²¸ô¤@¬q115«Ñ31~60¸¹,17.44,¦í,,,1050517,¤g¦a1«Øª«1¨®¦ì1,¤Q¤G¼h,¤Q¥|¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820824,156.46,3,2,2,¦³,¦³,14600000,93315,©Y¹D¥­­±,43.15,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C¤º§t¿W¥ß²£Åv¨®¦ì¡A¥¼¥]§t¦b´É¼Æ¤º¡C,RPOPMLOJPHLFFAF97CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ïª÷ªùµó369«Ñ1~30¸¹,35.24,¦í,,,1050528,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,¤Q¤@¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1021015,164.69,3,2,2,¦³,¦³,15000000,91080,©Y¹D¥­­±,30.47,0,,RPTPMLOJPHLFFAF48CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤g«°°Ï¤¤¥¡¸ô¥|¬q279«Ñ1~30¸¹,17.24,¦í,,,1050605,¤g¦a1«Øª«1¨®¦ì1,¤Q¥|¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950817,158.87,3,2,2,¦³,¦³,11100000,69868,©Y¹D¥­­±,34.26,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPPPMLPJPHLFFAF18CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ï¼s©Mµó31~60¸¹,16.33,¦í,,,1050427,¤g¦a1«Øª«1¨®¦ì1,¤Q¤­¼h,¤Q¤­¼h,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0960523,142.33,3,2,2,¦³,¦³,14900000,104686,©Y¹D¥­­±,30.31,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡CÅv§Q¤H¦í§}¦³¯S®í¦r,RPVPMLPJPHLFFAF78CA
