編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLQJPHLFFAF08CA,,67.65,住家用,加強磚造,,四層,二層
RPUOMLLJPHLFFAF18CA,18,31.08,見其他登記事項,鋼筋混凝土造,86年11月21日,十一層,九層
RPUOMLLJPHLFFAF18CA,18,6.06,共有部份,鋼筋混凝土造,86年11月21日,十一層,
RPUOMLLJPHLFFAF18CA,18,8.61,共有部份,鋼筋混凝土造,86年11月21日,十一層,
RPXOMLLJPHLFFAF48CA,,119.46,住商用,加強磚造,,四層,一層 二層 三層 四層 騎樓
RPPNMLNJPHLFFAF77CA,22,95.32,住家用,鋼筋混凝土造,83年10月29日,十二層,十一層
RPPNMLNJPHLFFAF77CA,22,16.90,共有部份,鋼筋混凝土造,83年10月29日,十二層,
RPQNMLNJPHLFFAF87CA,34,75.60,住家用,鋼筋混凝土造,70年12月21日,五層,二層
RPOPMLOJPHLFFAF97CA,23,96.25,住家用,鋼筋混凝土造,82年8月24日,十四層,十二層
RPOPMLOJPHLFFAF97CA,23,13.61,共有部份,鋼筋混凝土造,82年8月24日,十四層,
RPOPMLOJPHLFFAF97CA,23,3.45,共有部份,鋼筋混凝土造,82年8月24日,十四層,
RPOPMLOJPHLFFAF97CA,23,43.15,見使用執照,鋼筋混凝土造,82年8月24日,十四層,地下二層
RPTPMLOJPHLFFAF48CA,3,93.97,住家用,鋼筋混凝土造,102年10月15日,十一層,五層
RPTPMLOJPHLFFAF48CA,3,4.57,見其他登記事項,鋼筋混凝土造,102年10月15日,十一層,
RPTPMLOJPHLFFAF48CA,3,66.15,見其他登記事項,鋼筋混凝土造,102年10月15日,十一層,
RPPPMLPJPHLFFAF18CA,10,94.86,住家用,鋼筋混凝土造,95年8月17日,十五層,十四層
RPPPMLPJPHLFFAF18CA,10,15.92,共有部份,鋼筋混凝土造,95年8月17日,十五層,
RPPPMLPJPHLFFAF18CA,10,3.75,共有部份,鋼筋混凝土造,95年8月17日,十五層,
RPPPMLPJPHLFFAF18CA,10,10.07,共有部份,鋼筋混凝土造,95年8月17日,十五層,
RPPPMLPJPHLFFAF18CA,10,34.26,共有部份,鋼筋混凝土造,95年8月17日,十五層,
RPVPMLPJPHLFFAF78CA,9,80.54,住家用,鋼筋混凝土造,96年5月23日,十五層,十五層
RPVPMLPJPHLFFAF78CA,9,48.67,共有部份,鋼筋混凝土造,96年5月23日,十五層,
RPVPMLPJPHLFFAF78CA,9,13.12,共有部份,鋼筋混凝土造,96年5月23日,十五層,
RPPQMLPJPHLFFAF28CA,,84.74,住家用,鋼筋混凝土造,,五層,二層
RPVQMLQJPHLFFAF98CA,19,61.89,商業用,鋼筋混凝土造,86年1月27日,七層,一層 騎樓
RPVQMLQJPHLFFAF98CA,19,6.35,共有部份,鋼筋混凝土造,86年1月27日,七層,
RPUOMLLKPHLFFAF28CA,2,.04,見其他登記事項,鋼骨鋼筋混凝土造,102年12月26日,十七層,一層
RPUOMLLKPHLFFAF28CA,2,20.97,共有部份,鋼骨鋼筋混凝土造,102年12月26日,十九層,
RPXNMLMKPHLFFAF58CA,,4.08,共有部份,鋼筋混凝土造,,十一層,
RPXNMLMKPHLFFAF58CA,,30.61,住家用,鋼筋混凝土造,,十一層,十層
RPXNMLMKPHLFFAF58CA,,4.08,共有部份,鋼筋混凝土造,,十一層,
RPXNMLMKPHLFFAF58CA,,30.61,住家用,鋼筋混凝土造,,十一層,十層
