編號,車位類別,車位價格,車位面積平方公尺
RPOPMLOJPHLFFAF97CA,坡道平面,0,43.15
RPTPMLOJPHLFFAF48CA,坡道平面,0,30.47
RPPPMLPJPHLFFAF18CA,坡道平面,0,34.26
RPVPMLPJPHLFFAF78CA,坡道平面,0,30.31
RPUOMLLKPHLFFAF28CA,坡道平面,1950000,21.01
RPVOMLOJPHLFFBF68CA,坡道平面,0,39.97
RPVOMLOJPHLFFBF68CA,坡道平面,0,39.97
RPXOMLOJPHLFFBF88CA,坡道平面,2360000,39.97
RPSNMLPJPHLFFBF38CA,坡道平面,0,
RPSOMLPJPHLFFBF48CA,坡道平面,2000000,42.36
RPUSMLQJPHLFFBF56CA,坡道平面,0,29.39
RPROMLLKPHLFFBF08CA,坡道平面,0,32.43
RPVOMLLKPHLFFBF48CA,坡道平面,0,14.86
RPUQMLLKPHLFFBF58CA,坡道平面,2100000,29.40
RPOOMLMKPHLFFBF87CA,坡道平面,1550000,34.21
RPUNMLQKPHLFFBF78CA,坡道機械,0,29.78
RPVNMLKLPHLFFBF38CA,坡道平面,0,12.40
SPVNMLKLPHLFFBF48CA,坡道平面,0,13.23
RPWNMLKLPHLFFBF48CA,坡道平面,0,12.40
SPWNMLKLPHLFFBF58CA,坡道平面,0,13.23
RPVQMLKLPHLFFBF68CA,坡道平面,0,
RPUOMLTLPHLFFBF66CA,坡道平面,1750000,21.58
RPUOMLTLPHLFFBF66CA,坡道平面,1750000,21.58
RPSNMLOJPHLFFCF38CA,坡道機械,0,
RPTNMLQLPHLFFCF88CA,升降機械,900000,11.77
RPTNMLLMPHLFFCF48CA,升降機械,1100000,13.95
RPOOMLLJPHLFFDF87CA,坡道機械,0,
RPPOMLLJPHLFFDF97CA,坡道機械,0,
RPRNMLQJPHLFFDF58CA,坡道平面,1550000,48.45
RPPOMLQJPHLFFDF48CA,坡道平面,0,
RPRPMLTJQHLFFDF56CA,坡道平面,1380000,30.72
RPSPMLTJQHLFFDF66CA,坡道平面,1380000,35.61
RPRPMLRJPHLFFEF98CA,坡道平面,0,24.23
RPSRMLLKPHLFFEF78CA,坡道平面,1350000,31.66
RPSRMLLKPHLFFEF78CA,坡道平面,680000,31.66
RPPOMLLJPHLFFGF28CA,坡道平面,0,36.98
RPTNMLOJPHLFFGF88CA,升降機械,0,
RPUOMLOJPHLFFGF09CA,坡道平面,1350000,24.93
RPQRMLKLPHLFFGF78CA,升降平面,0,13.68
RPXNMLPLPHLFFGF96CA,坡道平面,2120000,21.62
RPVNMLOJPHLFFHF56CA,坡道平面,0,48.38
RPOPMLRJPHLFFHF98CA,坡道機械,0,7.94
RPXNMLRLPHLFFHF27CA,坡道平面,0,39.62
RPTPMLLJPHLFFIF98CA,坡道平面,0,15.11
RPVPMLRJPHLFFIF17CA,坡道平面,0,36.74
RPVNMLLKPHLFFIF09CA,坡道平面,0,23.91
RPVNMLLLPHLFFIF56CA,坡道平面,0,23.09
RPVNMLLLPHLFFIF56CA,坡道平面,0,23.09
RPROMLPLPHLFFIF66CA,升降平面,1150000,35.20
RPSOMLPLPHLFFIF76CA,升降平面,1150000,35.20
