鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
五股區,房地(土地+建物)+車位,成州段31~60地號,37.88,住,,,1030413,土地1建物1車位2,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,257.07,3,1,3,有,無,19400000,83971,坡道平面,70.1,3700000,,RPVOMLLJPHLFFBF48CB
五股區,房地(土地+建物)+車位,成州段31~60地號,37.5,住,,,1040612,土地1建物1車位1,十七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,221.9,3,1,3,有,無,19880000,96495,坡道平面,35.05,1850000,,RPWOMLLJPHLFFBF58CB
五股區,房地(土地+建物)+車位,成州段31~60地號,37.5,住,,,1040113,土地1建物1車位1,十八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.86,3,1,3,有,無,19870000,96709,坡道平面,33.01,1800000,,RPXOMLLJPHLFFBF68CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1030603,土地1建物1車位1,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.24,3,1,2,有,無,13400000,89184,坡道平面,35.05,1700000,,RPOPMLLJPHLFFBF87CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1030603,土地1建物1車位1,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.24,3,1,2,有,無,13660000,89770,坡道平面,33.01,1700000,,RPPPMLLJPHLFFBF97CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1040310,土地1建物1車位1,八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.28,3,1,2,有,無,13250000,85566,坡道平面,35.05,1850000,,RPQPMLLJPHLFFBF08CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1040511,土地1建物1車位1,十層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.28,3,1,2,有,無,13600000,88193,坡道平面,35.05,1850000,,RPRPMLLJPHLFFBF18CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1030511,土地1建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.41,3,1,2,有,無,14000000,92204,坡道平面,33.01,1700000,,RPSPMLLJPHLFFBF28CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1030524,土地1建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.41,3,1,2,有,無,14000000,92204,坡道平面,33.01,1700000,,RPTPMLLJPHLFFBF38CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1030326,土地1建物1車位1,十三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.41,3,1,2,有,無,14500000,95952,坡道平面,33.01,1700000,,RPUPMLLJPHLFFBF48CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1030909,土地1建物1車位1,十四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.45,3,1,2,有,無,14220000,93478,坡道平面,35.05,1750000,,RPVPMLLJPHLFFBF58CB
五股區,房地(土地+建物)+車位,成州段31~60地號,26.89,住,,,1030520,土地1建物1車位1,十六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.45,3,1,2,有,無,14580000,96177,坡道平面,35.05,1750000,,RPWPMLLJPHLFFBF68CB
