編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVOMLLJPHLFFBF48CB,成州段,37.88,都市：住
RPWOMLLJPHLFFBF58CB,成州段,37.50,都市：住
RPXOMLLJPHLFFBF68CB,成州段,37.50,都市：住
RPOPMLLJPHLFFBF87CB,成州段,26.89,都市：住
RPPPMLLJPHLFFBF97CB,成州段,26.89,都市：住
RPQPMLLJPHLFFBF08CB,成州段,26.89,都市：住
RPRPMLLJPHLFFBF18CB,成州段,26.89,都市：住
RPSPMLLJPHLFFBF28CB,成州段,26.89,都市：住
RPTPMLLJPHLFFBF38CB,成州段,26.89,都市：住
RPUPMLLJPHLFFBF48CB,成州段,26.89,都市：住
RPVPMLLJPHLFFBF58CB,成州段,26.89,都市：住
RPWPMLLJPHLFFBF68CB,成州段,26.89,都市：住
RPXPMLLJPHLFFBF78CB,成州段,26.89,都市：住
RPOQMLLJPHLFFBF97CB,成州段,31.82,都市：住
RPPQMLLJPHLFFBF08CB,成州段,31.82,都市：住
RPQQMLLJPHLFFBF18CB,成州段,32.19,都市：住
RPSQMLLJPHLFFBF38CB,成州段,32.19,都市：住
RPTQMLLJPHLFFBF48CB,成州段,20.45,都市：住
RPUQMLLJPHLFFBF58CB,成州段,20.45,都市：住
RPVQMLLJPHLFFBF68CB,成州段,20.45,都市：住
RPWQMLLJPHLFFBF78CB,成州段,20.45,都市：住
RPXQMLLJPHLFFBF88CB,成州段,20.45,都市：住
RPORMLLJPHLFFBF08CB,成州段,20.45,都市：住
RPPRMLLJPHLFFBF18CB,成州段,20.45,都市：住
RPQRMLLJPHLFFBF28CB,成州段,37.88,都市：住
RPRRMLLJPHLFFBF38CB,成州段,37.50,都市：住
RPTRMLLJPHLFFBF58CB,成州段,37.88,都市：住
RPURMLLJPHLFFBF68CB,成州段,37.50,都市：住
RPVRMLLJPHLFFBF78CB,成州段,37.50,都市：住
RPWRMLLJPHLFFBF88CB,成州段,37.50,都市：住
RPPSMLLJPHLFFBF28CB,成州段,26.89,都市：住
RPQSMLLJPHLFFBF38CB,成州段,26.89,都市：住
RPRSMLLJPHLFFBF48CB,成州段,26.89,都市：住
RPSSMLLJPHLFFBF58CB,成州段,26.89,都市：住
RPUSMLLJPHLFFBF78CB,成州段,26.89,都市：住
RPVSMLLJPHLFFBF88CB,成州段,26.89,都市：住
RPWSMLLJPHLFFBF98CB,成州段,26.89,都市：住
RPXSMLLJPHLFFBF09CB,成州段,26.89,都市：住
RPOTMLLJPHLFFBF28CB,成州段,26.89,都市：住
RPPTMLLJPHLFFBF38CB,成州段,27.27,都市：住
RPQTMLLJPHLFFBF48CB,成州段,26.89,都市：住
RPRTMLLJPHLFFBF58CB,成州段,26.89,都市：住
RPSTMLLJPHLFFBF68CB,成州段,26.89,都市：住
RPTTMLLJPHLFFBF78CB,成州段,27.27,都市：住
RPUTMLLJPHLFFBF88CB,成州段,26.89,都市：住
RPVTMLLJPHLFFBF98CB,成州段,26.89,都市：住
RPWTMLLJPHLFFBF09CB,成州段,26.89,都市：住
RPXTMLLJPHLFFBF56CB,成州段,26.89,都市：住
RPOUMLLJPHLFFBF38CB,成州段,28.03,都市：住
RPPUMLLJPHLFFBF48CB,成州段,28.03,都市：住
RPQUMLLJPHLFFBF58CB,成州段,32.57,都市：住
RPRUMLLJPHLFFBF68CB,成州段,31.82,都市：住
RPSUMLLJPHLFFBF78CB,成州段,20.45,都市：住
RPTUMLLJPHLFFBF88CB,成州段,20.45,都市：住
RPUUMLLJPHLFFBF98CB,成州段,20.45,都市：住
RPVUMLLJPHLFFBF09CB,成州段,20.45,都市：住
