編號,車位類別,車位價格,車位面積平方公尺
RPVOMLLJPHLFFBF48CB,坡道平面,1850000,35.05
RPVOMLLJPHLFFBF48CB,坡道平面,1850000,35.05
RPWOMLLJPHLFFBF58CB,坡道平面,1850000,35.05
RPWOMLLJPHLFFBF58CB,坡道平面,0,
RPXOMLLJPHLFFBF68CB,坡道平面,1800000,33.01
RPOPMLLJPHLFFBF87CB,坡道平面,1700000,35.05
RPPPMLLJPHLFFBF97CB,坡道平面,1700000,33.01
RPQPMLLJPHLFFBF08CB,坡道平面,1850000,35.05
RPRPMLLJPHLFFBF18CB,坡道平面,1850000,35.05
RPSPMLLJPHLFFBF28CB,坡道平面,1700000,33.01
RPTPMLLJPHLFFBF38CB,坡道平面,1700000,33.01
RPUPMLLJPHLFFBF48CB,坡道平面,1700000,33.01
RPVPMLLJPHLFFBF58CB,坡道平面,1750000,35.05
RPWPMLLJPHLFFBF68CB,坡道平面,1750000,35.05
RPXPMLLJPHLFFBF78CB,坡道平面,1850000,35.05
RPOQMLLJPHLFFBF97CB,坡道平面,1750000,35.05
RPPQMLLJPHLFFBF08CB,坡道平面,1750000,35.05
RPQQMLLJPHLFFBF18CB,坡道平面,1850000,35.05
RPQQMLLJPHLFFBF18CB,坡道平面,1850000,35.05
RPSQMLLJPHLFFBF38CB,坡道平面,1900000,35.05
RPSQMLLJPHLFFBF38CB,坡道平面,1900000,35.05
RPTQMLLJPHLFFBF48CB,坡道平面,1700000,33.01
RPUQMLLJPHLFFBF58CB,坡道平面,1700000,33.01
RPVQMLLJPHLFFBF68CB,坡道平面,1800000,33.01
RPWQMLLJPHLFFBF78CB,坡道平面,1800000,33.01
RPXQMLLJPHLFFBF88CB,坡道平面,1750000,35.05
RPORMLLJPHLFFBF08CB,坡道平面,1750000,35.05
RPPRMLLJPHLFFBF18CB,坡道平面,1750000,35.05
RPQRMLLJPHLFFBF28CB,坡道平面,1850000,35.05
RPQRMLLJPHLFFBF28CB,坡道平面,1850000,35.05
RPRRMLLJPHLFFBF38CB,坡道平面,1900000,35.05
RPTRMLLJPHLFFBF58CB,坡道平面,1850000,35.05
RPTRMLLJPHLFFBF58CB,坡道平面,1850000,35.05
RPURMLLJPHLFFBF68CB,坡道平面,1900000,35.05
RPVRMLLJPHLFFBF78CB,坡道平面,1800000,33.01
RPWRMLLJPHLFFBF88CB,坡道平面,1850000,35.05
RPPSMLLJPHLFFBF28CB,坡道平面,1750000,35.05
RPQSMLLJPHLFFBF38CB,坡道平面,1750000,35.05
RPRSMLLJPHLFFBF48CB,坡道平面,1700000,33.01
RPSSMLLJPHLFFBF58CB,坡道平面,1750000,35.05
RPUSMLLJPHLFFBF78CB,坡道平面,1900000,35.05
RPVSMLLJPHLFFBF88CB,坡道平面,1750000,35.05
RPWSMLLJPHLFFBF98CB,坡道平面,1750000,35.05
RPXSMLLJPHLFFBF09CB,坡道平面,1700000,33.01
RPOTMLLJPHLFFBF28CB,坡道平面,1850000,35.05
RPPTMLLJPHLFFBF38CB,坡道平面,1850000,35.05
RPPTMLLJPHLFFBF38CB,坡道平面,1850000,35.05
RPQTMLLJPHLFFBF48CB,坡道平面,1900000,35.05
RPRTMLLJPHLFFBF58CB,坡道平面,1700000,33.01
RPSTMLLJPHLFFBF68CB,坡道平面,1750000,35.05
RPTTMLLJPHLFFBF78CB,坡道平面,1850000,35.05
RPTTMLLJPHLFFBF78CB,坡道平面,1850000,35.05
RPUTMLLJPHLFFBF88CB,坡道平面,1750000,35.05
RPVTMLLJPHLFFBF98CB,坡道平面,1900000,35.05
RPWTMLLJPHLFFBF09CB,坡道平面,1750000,35.05
RPXTMLLJPHLFFBF56CB,坡道平面,1850000,35.05
RPOUMLLJPHLFFBF38CB,坡道平面,1900000,35.05
RPPUMLLJPHLFFBF48CB,坡道平面,1750000,35.05
RPQUMLLJPHLFFBF58CB,坡道平面,1850000,35.05
RPQUMLLJPHLFFBF58CB,坡道平面,1850000,35.05
RPQUMLLJPHLFFBF58CB,坡道平面,1800000,33.01
RPRUMLLJPHLFFBF68CB,坡道平面,1700000,33.01
RPSUMLLJPHLFFBF78CB,坡道平面,1700000,33.01
RPTUMLLJPHLFFBF88CB,坡道平面,1750000,35.05
RPUUMLLJPHLFFBF98CB,坡道平面,1750000,35.05
RPVUMLLJPHLFFBF09CB,坡道平面,1700000,35.05
RPQPMLOJPHLFFBF38CB,坡道平面,0,34.42
RPSPMLOJPHLFFBF58CB,坡道平面,0,34.42
RPTPMLOJPHLFFBF68CB,坡道平面,0,34.42
RPUPMLOJPHLFFBF78CB,坡道平面,0,34.42
RPVPMLOJPHLFFBF88CB,坡道平面,0,34.42
RPWPMLOJPHLFFBF98CB,坡道平面,0,34.42
RPXPMLOJPHLFFBF09CB,坡道平面,0,34.42
RPOQMLOJPHLFFBF28CB,坡道平面,0,34.42
RPPQMLOJPHLFFBF38CB,坡道平面,0,34.42
RPQQMLOJPHLFFBF48CB,坡道平面,0,34.42
RPRQMLOJPHLFFBF58CB,坡道平面,0,34.42
RPSQMLOJPHLFFBF68CB,坡道平面,0,34.42
RPTQMLOJPHLFFBF78CB,坡道平面,0,34.42
RPUQMLOJPHLFFBF88CB,坡道平面,0,34.42
RPVQMLOJPHLFFBF98CB,坡道平面,0,34.42
RPWQMLOJPHLFFBF09CB,坡道平面,0,34.42
RPXQMLOJPHLFFBF56CB,坡道平面,0,34.42
RPORMLOJPHLFFBF38CB,坡道平面,0,34.42
RPPRMLOJPHLFFBF48CB,坡道平面,0,34.42
RPQRMLOJPHLFFBF58CB,坡道平面,0,34.42
RPRRMLOJPHLFFBF68CB,坡道平面,0,34.42
RPSRMLOJPHLFFBF78CB,坡道平面,0,34.42
RPTRMLOJPHLFFBF88CB,坡道平面,0,34.42
RPURMLOJPHLFFBF98CB,坡道平面,0,34.42
RPVRMLOJPHLFFBF09CB,坡道平面,0,34.42
