鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新莊區,房地(土地+建物),新北市新莊區中原路241~270號,65.34,住,,,1050701,土地1建物2車位0,一層,9,店面(店鋪),商業用,鋼筋混凝土造,0890502,147.5,0,0,0,無,有,有,40000,271,,0.0,0,共2戶門牌前後各一戶一起同租,RPPNMLLJPHLFFBF87CC
五股區,房地(土地+建物)+車位,新北市五股區芳洲五路61~90號,35.46,住,,,1050602,土地1建物1車位1,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1021014,163.57,0,0,2,有,有,無,37000,226,坡道平面,19.29,0,1樓+夾層,RPSOMLLJPHLFFBF28CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段31~60號,31.04,住,,,1050528,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980811,219.81,4,2,2,有,有,有,30000,136,坡道平面,23.15,0,,RPSRMLLJPHLFFBF58CC
板橋區,房地(土地+建物),新北市板橋區文化路二段301~330號,37.5,住,,,1050630,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621221,100.45,1,1,1,有,無,無,20000,199,,0.0,0,,RPPOMLLJPHLFFAF87CC
三峽區,房地(土地+建物)+車位,新北市三峽區學成路241~270號,8.01,住,,,1050617,土地1建物1車位1,三層,19,套房(1房1廳1衛),住家用,鋼筋混凝土造,0951117,86.42,1,1,1,有,有,有,11000,127,坡道平面,36.73,0,,RPXNMLLJPHLFFIF76CC
三峽區,房地(土地+建物),新北市三峽區大學路61~90號,5.88,住,,,1050622,土地1建物1車位0,四層,15,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010608,36.37,1,0,1,有,有,有,8600,236,,0.0,0,,RPOOMLLJPHLFFIF58CC
三峽區,房地(土地+建物),新北市三峽區大德路1~30號,18.6,住,,,1050626,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950316,112.76,2,2,2,有,有,有,16000,142,,0.0,0,,RPPOMLLJPHLFFIF68CC
汐止區,房地(土地+建物),新北市汐止區莊敬街121~150號,0.0,其他,,,1050701,土地1建物1車位0,二十二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841110,32.09,2,1,1,有,有,有,11000,343,,0.0,0,,RPPNMLMJPHLFFDF18CC
汐止區,房地(土地+建物)+車位,新北市汐止區莊敬街29巷1~30號,0.0,住,,,1050702,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981013,170.22,3,2,2,有,有,有,28000,164,升降平面,27.21,0,,RPTNMLNJPHLFFDF68CC
淡水區,房地(土地+建物),新北市淡水區民權路211~240號,4.58,住,,,1050701,土地1建物1車位0,十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961005,44.83,1,1,1,有,有,有,14000,312,,0.0,0,,RPPNMLNJPHLFFEF38CC
淡水區,房地(土地+建物),新北市淡水區北新路181~210號,26.32,住,,,1050701,土地1建物1車位0,二十三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840728,26.32,4,2,2,有,無,有,17900,680,,0.0,0,,RPQNMLNJPHLFFEF48CC
汐止區,房地(土地+建物),新北市汐止區南興路61~90號,16.35,住,,,1050618,土地3建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011126,101.22,2,1,1,有,有,有,18000,178,,0.0,0,,RPRNMLNJPHLFFDF58DC
汐止區,房地(土地+建物),新北市汐止區南興路61~90號,21.02,住,,,1050618,土地1建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011126,159.06,3,2,2,有,有,有,35000,220,,0.0,0,,RPSNMLNJPHLFFDF68DC
樹林區,房地(土地+建物),新北市樹林區日新街91~120號,21.82,商,,,1050607,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690707,103.05,3,1,1,有,無,無,12000,116,,0.0,0,本建物有頂樓增建.(出租不含增建部分).,RPWNMLOJPHLFFIF96CC
土城區,建物,新北市土城區青雲路49巷1~30號,0.0,住,,,1050617,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820115,132.10999999999999,4,2,2,有,有,無,25000,189,,0.0,0,,RPOOMLOJPHLFFAF08CC
中和區,建物,新北市中和區捷運路1~30號,0.0,其他,,,1050622,土地0建物1車位0,一層,19,店面(店鋪),見其他登記事項,見其他登記事項,1000415,91.22,1,0,1,有,有,無,68000,745,,0.0,0,,RPQOMLOJPHLFFHF98CC
汐止區,房地(土地+建物),新北市汐止區大同路二段301~330號,2160.0,住,,,1050701,土地1建物1車位0,一層,16,店面(店鋪),住商用,鋼筋混凝土造,0831024,120.78999999999999,0,0,1,有,有,無,35000,290,,0.0,0,租一、二層,RPPOMLOJPHLFFDF48CC
汐止區,房地(土地+建物)+車位,新北市汐止區莊敬街121~150號,0.0,其他,,,1050703,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841110,129.08,3,2,2,有,有,無,21000,163,坡道機械,14.23,0,,RPSOMLOJPHLFFDF78CC
五股區,房地(土地+建物)+車位,新北市五股區五權七路1~30號,2897.44,,工業區,丁種建築用地,1050617,土地1建物1車位6,五層,7,廠辦,工業用,鋼筋混凝土造,0821105,1524.54,0,0,0,無,無,無,432000,283,坡道平面,0.0,12000,汽車位6個--2個免費，4個承租原申報序號：C1FB10507010009,RPRVMLOJPHLFFBF56CC
新莊區,房地(土地+建物)+車位,新北市新莊區中央路181~210號,26.54,商,,,1050606,土地1建物1車位2,二十四層,28,辦公商業大樓,見其他登記事項,見其他登記事項,1011228,217.52,2,2,2,有,有,無,42000,193,坡道平面,64.28,0,,RPXNNLOJPHLFFBF09CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段447巷31~60號,17.67,住,,,1050626,土地1建物1車位2,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,0961023,153.57999999999998,0,0,0,無,無,無,19000,124,坡道平面,36.28,0,,RPUOMLPJPHLFFBF88CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,17.45,工,,,1050629,土地1建物1車位2,十七層,20,廠辦,工商用,鋼造,0830330,269.18,0,0,0,無,有,無,45600,169,坡道平面,0.0,0,,RPVOMLPJPHLFFDF56CC
汐止區,房地(土地+建物),新北市汐止區康寧街169巷1~30號,56.48,工,,,1050627,土地1建物1車位0,七層,13,廠辦,工業用,鋼筋混凝土造,0840712,364.47,0,0,0,無,有,有,66150,181,,0.0,0,,RPWOMLPJPHLFFDF66CC
淡水區,房地(土地+建物),新北市淡水區大信街31~60號,28.27,住,,,1050629,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690725,78.54,3,2,1,有,無,有,13000,166,,0.0,0,,RPPOMLPJPHLFFEF68CC
板橋區,建物,新北市板橋區文化路一段361~390號,0.0,住,,,1050513,土地0建物1車位0,十三層,43,套房(1房1廳1衛),住家用,見其他登記事項,0990715,54.129999999999995,1,1,1,有,有,有,18000,333,,0.0,0,,RPXPMLPJPHLFFAF56CC
三峽區,房地(土地+建物),新北市三峽區國光街38巷1~30號,49.53,住,,,1050615,土地1建物1車位0,一層,2,店面(店鋪),住家用,鋼筋混凝土造,,58.72,0,0,0,無,無,無,15000,255,,0.0,0,只租一層做辦公室,RPQPMLPJPHLFFIF66CC
中和區,房地(土地+建物),新北市中和區連城路347巷16弄1~30號,27.22,住,,,1050701,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0651108,88.37,3,2,1,有,無,有,16800,190,,0.0,0,,RPXOMLPJPHLFFHF27DC
板橋區,房地(土地+建物),新北市板橋區中正路61~90號,0.0,住,,,1050428,土地0建物1車位0,地下一層,18,店面(店鋪),商業用,鋼筋混凝土造,0780630,1654.5,0,0,0,無,無,有,190000,115,,0.0,0,,RPUPMLPJPHLFFAF09EC
土城區,房地(土地+建物),新北市土城區清水路278巷1~30號,89.63,住,,,1050525,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0730720,74.59,3,1,1,有,無,無,18000,241,,0.0,0,,RPVPMLPJPHLFFAF56EC
汐止區,房地(土地+建物),新北市汐止區福德一路91~120號,1894.41,住,,,1050704,土地1建物1車位0,一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960130,40.15,1,0,1,有,有,有,13000,324,,0.0,0,,RPQOMLQJPHLFFDF98EC
汐止區,房地(土地+建物),新北市汐止區福德一路342巷1弄1~30號,195.06,工,,,1050704,土地1建物1車位0,一層,2,廠辦,住工用,鋼筋混凝土造,0750807,153.2,0,0,0,無,無,無,33000,215,,0.0,0,,RPROMLQJPHLFFDF09EC
汐止區,房地(土地+建物),新北市汐止區仁愛路181~210號,23.23,住,,,1050521,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970429,120.57,0,0,0,無,有,無,35000,290,,0.0,0,,RPVOMLQJPHLFFDF86EC
汐止區,房地(土地+建物)+車位,新北市汐止區大同路二段241~270號,6.88,住,,,1050701,土地1建物1車位1,八層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,92.16,2,1,1,有,有,有,20000,217,坡道平面,22.92,0,,RPOPMLQJPHLFFDF88EC
汐止區,房地(土地+建物),新北市汐止區大同路二段241~270號,8.16,住,,,1050627,土地1建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,103.75,3,2,2,有,有,有,20000,193,,0.0,0,,RPPPMLQJPHLFFDF98EC
汐止區,房地(土地+建物),新北市汐止區大同路二段211~240號,6.01,住,,,1050705,土地1建物1車位0,二十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,67.46,1,1,1,有,有,有,19000,282,,0.0,0,,RPQPMLQJPHLFFDF09EC
淡水區,建物,新北市淡水區濱海路一段306巷60弄31~60號,1796.75,住,,,1050620,土地0建物1車位0,一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011115,90.22,0,0,0,無,有,無,33000,366,坡道平面,10.45,0,,RPQRMLQJPHLFFEF76EC
