編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLLJPHLFFBF87CC,16,105.82,商業用,鋼筋混凝土造,89年5月2日,九層,
RPPNMLLJPHLFFBF87CC,16,41.68,見其他登記事項,鋼筋混凝土造,89年5月2日,九層,
RPSOMLLJPHLFFBF28CC,3,82.44,見其他登記事項,鋼筋混凝土造,102年10月14日,十五層,
RPSOMLLJPHLFFBF28CC,3,81.13,見其他登記事項,鋼筋混凝土造,102年10月14日,十五層,
RPSRMLLJPHLFFBF58CC,7,142.96,見其他登記事項,鋼筋混凝土造,98年8月11日,十二層,
RPSRMLLJPHLFFBF58CC,7,26.36,共有部分,鋼筋混凝土造,98年8月11日,十二層,
RPSRMLLJPHLFFBF58CC,7,50.49,共有部分,鋼筋混凝土造,98年8月11日,十二層,
RPPOMLLJPHLFFAF87CC,43,100.45,住家用,鋼筋混凝土造,62年12月21日,四層,
RPXNMLLJPHLFFIF76CC,10,86.42,住家用,鋼筋混凝土造,95年11月17日,十九層,
RPOOMLLJPHLFFIF58CC,4,36.37,見其他登記事項,鋼筋混凝土造,101年6月8日,十五層,
RPPOMLLJPHLFFIF68CC,10,112.76,住家用,鋼筋混凝土造,95年3月16日,十四層,
RPPNMLMJPHLFFDF18CC,21,32.09,住家用,鋼筋混凝土造,84年11月10日,二十五層,
RPTNMLNJPHLFFDF68CC,7,170.22,住家用,鋼筋混凝土造,98年10月13日,十層,
RPPNMLNJPHLFFEF38CC,9,29.65,住家用,鋼骨鋼筋混凝土造,96年10月5日,二十九層,
RPPNMLNJPHLFFEF38CC,9,6.14,共有部份,鋼骨鋼筋混凝土造,96年10月5日,二十九層,
RPPNMLNJPHLFFEF38CC,9,2.12,共有部份,鋼骨鋼筋混凝土造,96年10月5日,二十九層,
RPPNMLNJPHLFFEF38CC,9,6.92,共有部份,鋼骨鋼筋混凝土造,96年10月5日,二十九層,
RPQNMLNJPHLFFEF48CC,21,26.32,住家用,鋼筋混凝土造,84年7月28日,二十三層,
RPRNMLNJPHLFFDF58DC,4,101.22,住家用,鋼筋混凝土造,101年11月26日,十一層,
RPSNMLNJPHLFFDF68DC,4,159.06,住家用,鋼筋混凝土造,101年11月26日,十一層,
RPWNMLOJPHLFFIF96CC,36,103.05,住家用,鋼筋混凝土造,69年7月7日,五層,
RPOOMLOJPHLFFAF08CC,23,123.13,住商用,鋼筋混凝土造,82年1月15日,七層,
RPOOMLOJPHLFFAF08CC,23,8.98,見使用執照,鋼筋混凝土造,82年1月15日,七層,
RPQOMLOJPHLFFHF98CC,5,69.42,見其他登記事項,見其他登記事項,100年4月15日,十九層,
RPQOMLOJPHLFFHF98CC,5,21.80,見其他登記事項,見其他登記事項,100年4月15日,十九層,
RPPOMLOJPHLFFDF48CC,22,113.74,住商用,鋼筋混凝土造,83年10月24日,十六層,
RPPOMLOJPHLFFDF48CC,22,.35,共有部分,鋼筋混凝土造,83年10月24日,十六層,
RPPOMLOJPHLFFDF48CC,22,2.18,共有部分,鋼筋混凝土造,83年10月24日,十六層,
RPPOMLOJPHLFFDF48CC,22,4.52,共有部分,鋼筋混凝土造,83年10月24日,十六層,
RPSOMLOJPHLFFDF78CC,21,129.08,住家用,鋼筋混凝土造,84年11月10日,二十四層,
RPRVMLOJPHLFFBF56CC,23,928.35,工業用,鋼筋混凝土造,82年11月5日,七層,
RPRVMLOJPHLFFBF56CC,23,596.19,共有部分,鋼筋混凝土造,82年11月5日,七層,
RPXNNLOJPHLFFBF09CC,3,217.52,見其他登記事項,見其他登記事項,101年12月28日,二十八層,
RPUOMLPJPHLFFBF88CC,9,80.47,見其他登記事項,鋼筋混凝土造,96年10月23日,十三層,
RPUOMLPJPHLFFBF88CC,9,73.11,共有部分,鋼筋混凝土造,96年10月23日,十三層,
RPVOMLPJPHLFFDF56CC,22,157.29,工商用,鋼造,83年3月30日,二十層,
RPVOMLPJPHLFFDF56CC,22,30.51,共有部分,鋼造,83年3月30日,二十層,
RPVOMLPJPHLFFDF56CC,22,9.47,共有部分,鋼造,83年3月30日,二十一層,
RPVOMLPJPHLFFDF56CC,22,8.89,見使用執照,鋼造,83年3月30日,二十層,
RPVOMLPJPHLFFDF56CC,22,63.02,見使用執照,鋼造,83年3月30日,二十層,
RPWOMLPJPHLFFDF66CC,21,276.60,工業用,鋼筋混凝土造,84年7月12日,十三層,
RPWOMLPJPHLFFDF66CC,21,40.61,共有部分,鋼筋混凝土造,84年7月12日,十三層,
RPWOMLPJPHLFFDF66CC,21,47.26,共有部分,鋼筋混凝土造,84年7月12日,十三層,
RPPOMLPJPHLFFEF68CC,36,78.54,住家用,鋼筋混凝土造,69年7月25日,四層,
RPXPMLPJPHLFFAF56CC,6,38.44,住家用,見其他登記事項,99年7月15日,四十三層,
RPXPMLPJPHLFFAF56CC,6,1.83,見其他登記事項,見其他登記事項,99年7月15日,四十六層,
RPXPMLPJPHLFFAF56CC,6,3.68,見其他登記事項,見其他登記事項,99年7月15日,四十六層,
RPXPMLPJPHLFFAF56CC,6,8.64,見其他登記事項,見其他登記事項,99年7月15日,四十三層,
RPXPMLPJPHLFFAF56CC,6,1.54,見其他登記事項,見其他登記事項,99年7月15日,四十三層,
RPQPMLPJPHLFFIF66CC,,58.72,住家用,鋼筋混凝土造,,二層,
RPXOMLPJPHLFFHF27DC,40,88.37,住家用,加強磚造,65年11月8日,四層,
RPUPMLPJPHLFFAF09EC,27,1393.68,商業用,鋼筋混凝土造,78年6月30日,000,
RPUPMLPJPHLFFAF09EC,27,260.82,共有部分,鋼筋混凝土造,78年6月30日,十八層,
RPVPMLPJPHLFFAF56EC,32,74.59,見使用執照,鋼筋混凝土造,73年7月20日,五層,
RPQOMLQJPHLFFDF98EC,9,40.15,住家用,鋼筋混凝土造,96年1月30日,十二層,
RPROMLQJPHLFFDF09EC,30,153.20,住工用,鋼筋混凝土造,75年8月7日,二層,
RPVOMLQJPHLFFDF86EC,8,120.57,商業用,鋼筋混凝土造,97年4月29日,九層,
RPOPMLQJPHLFFDF88EC,5,69.24,住家用,鋼筋混凝土造,100年12月23日,二十九層,
RPOPMLQJPHLFFDF88EC,5,22.92,見其他登記事項,鋼筋混凝土造,100年12月23日,29,
RPPPMLQJPHLFFDF98EC,21,103.75,住家用,鋼筋混凝土造,84年1月26日,二十四層,
