編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLLJPHLFFBF87CC,榮富段,65.34,都市：住
RPSOMLLJPHLFFBF28CC,芳洲段,35.46,都市：住
RPSRMLLJPHLFFBF58CC,建林段,31.04,都市：住
RPPOMLLJPHLFFAF87CC,江子翠段第三崁小段,37.50,都市：住
RPXNMLLJPHLFFIF76CC,大學段一小段,8.01,都市：住
RPOOMLLJPHLFFIF58CC,大學段一小段,5.88,都市：住
RPPOMLLJPHLFFIF68CC,大學段一小段,18.60,都市：住
RPPNMLMJPHLFFDF18CC,智興段,.00,都市：其他
RPTNMLNJPHLFFDF68CC,智興段,.00,都市：住
RPPNMLNJPHLFFEF38CC,竹圍段,4.58,都市：住
RPQNMLNJPHLFFEF48CC,正德段,26.32,都市：住
RPRNMLNJPHLFFDF58DC,昊天段,16.28,都市：住
RPRNMLNJPHLFFDF58DC,昊天段,.07,都市：住
RPRNMLNJPHLFFDF58DC,昊天段,.00,都市：住
RPSNMLNJPHLFFDF68DC,昊天段,21.02,都市：住
RPWNMLOJPHLFFIF96CC,復興段,21.82,都市：商
RPOOMLOJPHLFFAF08CC,板院段,.00,都市：住
RPQOMLOJPHLFFHF98CC,捷運段,.00,都市：其他
RPPOMLOJPHLFFDF48CC,中正段,2160.00,都市：住
RPSOMLOJPHLFFDF78CC,智興段,.00,都市：其他
RPRVMLOJPHLFFBF56CC,五工段,2897.44,非都市：工業區 ; 非都市編定：丁種建築用地
RPXNNLOJPHLFFBF09CC,副都心段一小段,26.54,都市：商
RPUOMLPJPHLFFBF88CC,力行段,17.67,都市：住
RPVOMLPJPHLFFDF56CC,同新段,17.45,都市：工
RPWOMLPJPHLFFDF66CC,北山段,56.48,都市：工
RPPOMLPJPHLFFEF68CC,大義段,28.27,都市：住
RPXPMLPJPHLFFAF56CC,文化段,.00,都市：住
RPQPMLPJPHLFFIF66CC,國光段,49.53,都市：住
RPXOMLPJPHLFFHF27DC,台貿段,27.22,都市：住
RPUPMLPJPHLFFAF09EC,光華段,.00,都市：住
RPVPMLPJPHLFFAF56EC,清水段,89.63,都市：住
RPQOMLQJPHLFFDF98EC,福德段,1894.41,都市：住
RPROMLQJPHLFFDF09EC,福德段,195.06,都市：工
RPVOMLQJPHLFFDF86EC,新峰段,23.23,都市：住
RPOPMLQJPHLFFDF88EC,智興段,6.88,都市：住
RPPPMLQJPHLFFDF98EC,智興段,8.16,都市：住
RPQPMLQJPHLFFDF09EC,智興段,6.01,都市：住
RPQRMLQJPHLFFEF76EC,新巿段,1796.75,都市：住
