編號,車位類別,車位價格,車位面積平方公尺
RPSOMLLJPHLFFBF28CC,坡道平面,0,19.29
RPSRMLLJPHLFFBF58CC,坡道平面,0,23.15
RPXNMLLJPHLFFIF76CC,坡道平面,0,36.73
RPTNMLNJPHLFFDF68CC,升降平面,0,27.21
RPSOMLOJPHLFFDF78CC,坡道機械,0,14.23
RPRVMLOJPHLFFBF56CC,坡道平面,0,
RPRVMLOJPHLFFBF56CC,坡道平面,0,
RPRVMLOJPHLFFBF56CC,坡道平面,3000,
RPRVMLOJPHLFFBF56CC,坡道平面,3000,
RPRVMLOJPHLFFBF56CC,坡道平面,3000,
RPRVMLOJPHLFFBF56CC,坡道平面,3000,
RPXNNLOJPHLFFBF09CC,坡道平面,0,32.14
RPXNNLOJPHLFFBF09CC,坡道平面,0,32.14
RPUOMLPJPHLFFBF88CC,坡道平面,0,18.14
RPUOMLPJPHLFFBF88CC,坡道平面,0,18.14
RPVOMLPJPHLFFDF56CC,坡道平面,0,
RPVOMLPJPHLFFDF56CC,坡道平面,0,
RPOPMLQJPHLFFDF88EC,坡道平面,0,22.92
RPQRMLQJPHLFFEF76EC,坡道平面,0,10.45
RPRRMLQJPHLFFEF86EC,坡道平面,0,5.76
RPXWMLQJPHLFFEF77CC,坡道平面,0,36.85
RPWOMLQJPHLFFBF56CC,坡道平面,0,29.18
RPWOMLQJPHLFFBF56CC,坡道平面,0,33.79
RPXTMLRJPHLFFBF27CC,坡道平面,0,
RPQUMLRJPHLFFBF66CC,坡道平面,0,39.61
RPRUMLRJPHLFFBF76CC,坡道平面,0,31.38
RPVNMLRJPHLFFEF76CC,坡道平面,0,37.78
RPROMLRJPHLFFEF09CC,坡道平面,0,
RPROMLRJPHLFFEF09CC,坡道平面,0,
RPQPMLRJPHLFFDF98CC,坡道平面,0,
RPPNMLSJPHLFFGF66EC,坡道平面,3000,21.06
RPRNMLKKPHLFFBF08CC,坡道平面,0,25.16
RPRPMLLKPHLFFBF38CC,坡道平面,0,38.81
RPRQMLLKPHLFFBF48CC,坡道平面,0,
RPRRMLLKPHLFFBF58CC,坡道平面,0,48.65
RPSRMLLKPHLFFBF68CC,坡道平面,0,32.02
RPXRMLLKPHLFFBF56CC,坡道平面,0,46.48
RPQPMLLKPHLFFBF48EC,坡道平面,0,40.62
RPWNMLLKPHLFFHF66CC,坡道平面,0,
RPWNMLLKPHLFFHF66CC,坡道機械,0,
RPWNMLLKPHLFFHF66CC,坡道機械,0,
RPOPMLMKPHLFFIF88CC,坡道平面,0,39.59
RPUOMLMKPHLFFDF88CC,坡道平面,0,37.09
RPOPMLMKPHLFFDF38CC,坡道平面,2500,36.95
RPXNMLMKPHLFFEF56CC,坡道機械,2000,13.59
RPRPMLMKPHLFFEF78CC,坡道平面,0,36.15
RPSPMLMKPHLFFEF88CC,坡道平面,0,30.11
RPUPMLMKPHLFFEF09CC,坡道平面,0,28.17
RPWPMLMKPHLFFEF66CC,坡道平面,0,29.61
RPOQMLMKPHLFFEF58CC,坡道平面,0,27.65
RPSQMLMKPHLFFBF68CC,坡道平面,0,38.35
RPTQMLMKPHLFFBF78CC,坡道平面,0,21.84
RPXNMLNKPHLFFIF07CC,坡道平面,0,37.79
RPVNMLNKPHLFFAF68CC,坡道平面,0,
RPVNMLNKPHLFFAF68CC,坡道平面,0,
RPVNMLNKPHLFFAF68CC,坡道平面,0,
RPVNMLNKPHLFFAF68CC,坡道平面,0,
RPSNMLOKPHLFFHF56CC,坡道平面,3000,20.15
RPSNMLOKPHLFFHF56CC,坡道平面,3000,20.15
RPQPMLOKPHLFFHF56CC,升降機械,0,21.29
RPXPMLOKPHLFFHF27CC,升降機械,0,19.30
RPOQMLOKPHLFFHF09CC,升降機械,0,18.53
RPWNMLOKPHLFFBF98CC,坡道平面,0,36.34
RPOOMLPKPHLFFBF38CC,坡道平面,0,27.44
RPQOMLPKPHLFFBF58CC,坡道平面,0,39.61
RPTPMLPKPHLFFEF86EC,坡道平面,0,7.64
RPROMLPKPHLFFAF58CC,坡道平面,0,23.36
