鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
五結鄉,房地(土地+建物),宜蘭縣五結鄉中興路二段91~120號,84.58,,特定農業區,甲種建築用地,1050617,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691126,107.96,2,2,2,有,無,5200000,48166,,0.0,0,,RPQNMLPJPHLFFAG18CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉文德路38巷1~30號,86.95,住,,,1050527,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960521,196.72,4,1,4,有,無,11380000,57849,,0.0,0,,RPRNMLPJPHLFFAG28CA
三星鄉,土地,田心段61~90地號,2886.0,,特定農業區,農牧用地,1050622,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10476000,3630,,0.0,0,,RPQOMLPJPHLFFAG28CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南盟路69巷1~30號,110.6,住,,,1050506,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0930908,239.77,4,1,4,有,無,12500000,52133,,0.0,0,,RPPNMLMKPHLFFAG87CA
三星鄉,土地,新日興段931~960地號,1248.07,,特定農業區,農牧用地,1050617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500000,10817,,0.0,0,含未保存建物一棟。土地總價肆佰玖拾萬捌仟元，私契日期103.2.25。,RPXNMLMKPHLFFAG68CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉興安路8巷1~30號,104.04,,鄉村區,乙種建築用地,1050617,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0671018,103.44,0,0,2,無,無,4500000,43503,,0.0,0,"另有增建,約3坪",RPTOMLOKPHLFFAG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路656巷1~30號,93.89,,鄉村區,乙種建築用地,1050616,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050422,175.76,4,1,4,有,無,8800000,50068,,0.0,0,,RPSNMLSKPHLFFAG78CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿中山路二段301~330號,80.0,住,,,1050613,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,,189.33,6,2,3,有,無,15500000,81868,,0.0,0,,RPSNMLPJPHLFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿嵐?路三段108巷1~30號,103.0,住,,,1050603,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700903,113.36,3,3,2,有,無,6000000,52929,,0.0,0,,RPVOMLPJPHLFFBG88CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿中山路三段31~60號,140.03,商,,,1050504,土地1建物1車位0,一層,一層,店面(店鋪),住家用,木造,,144.17,2,1,1,有,無,25682228,178139,,0.0,0,,RPSPMLOJPHLFFBG58CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿陽明二路1~30號,21.81,住,,,1041230,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041210,62.06999999999999,2,2,2,有,有,3900000,62832,,0.0,0,,RPXNMLLKPHLFFBG68CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉白雲六路7巷1~30號,182.39,,特定農業區,甲種建築用地,1050523,土地7建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050202,183.21,3,2,5,有,有,10000000,54582,,0.0,0,,RPOPMLMKPHLFFBG08CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉白雲六路7巷1~30號,167.55,,特定農業區,甲種建築用地,1050523,土地7建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050202,178.16,3,2,5,有,有,10400000,58374,,0.0,0,,RPQPMLMKPHLFFBG28CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉白雲六路7巷1~30號,177.42,,特定農業區,甲種建築用地,1050523,土地7建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050202,167.94,3,2,5,有,有,11500000,68477,,0.0,0,,RPWPMLMKPHLFFBG88CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉白雲六路7巷1~30號,222.53,,特定農業區,甲種建築用地,1050523,土地7建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050202,204.64,3,2,5,有,有,13000000,63526,,0.0,0,,RPXPMLMKPHLFFBG98CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉慈惠路61~90號,92.61,住,,,1050613,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691110,107.36,3,1,2,有,無,5580000,51975,,0.0,0,,RPSOMLSKPHLFFBG98CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿慈航路16巷31~60號,742.0,,特定農業區,農牧用地,1050622,土地1建物1車位0,三層，見其他登記事項，一層，二層,三層,農舍,見其他登記事項,鋼筋混凝土造,1050509,155.51,0,0,0,無,無,10000000,,,0.0,0,,RPSNMLMLPHLFFBG38CA
宜蘭市,土地,金六結三段1~30地號,71.01,其他,,,1050509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2350000,33094,,0.0,0,親友、員工或其他特殊關係間之交易。本買賣含未保存建物一棟。,RPVOMLPLPHLFFBG09CA
宜蘭市,土地,茭白段391~420地號,2005.63,農,,,1050621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11300000,5634,,0.0,0,農地配建,RPPNMLQLPHLFFBG48CA
五結鄉,土地,季新段511~540地號,2879.96,,一般農業區,農牧用地,1050608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8710000,3024,,0.0,0,附養殖登記證及管理室乙間,RPQOMLLJPHLFFAG08EA
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔五路148巷1~30號,205.5,,特定農業區,甲種建築用地,1050620,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0850527,339.68,6,3,4,有,無,7150000,21049,,0.0,0,,RPTNMLOJPHLFFAG58EA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉梅花路241~270號,131.08,,特定農業區,甲種建築用地,1050615,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820105,154.8,5,3,3,有,無,6660000,43023,,0.0,0,本案建物另有增建,RPVNMLMKPHLFFAG68EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路271~300號,138.37,住,,,1050622,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,199.73,4,3,4,有,無,7570000,37901,,0.0,0,"1.預售屋  2.105年1月4日訂約  3.面積減少2.56平方公尺,減價56,000元",RPPOMLTKPHLFFAG88EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿民族路481~510號,25.44,住,,,1050615,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860514,141.41,3,2,2,有,有,5500000,38894,,0.0,0,,RPUNMLRJPHLFFBG09EA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉奇立丹路195巷2弄1~30號,10.29,,特定農業區,甲種建築用地,1050526,土地1建物1車位0,二層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840413,48.37,1,0,1,有,無,1800000,37213,,0.0,0,,RPQOMLLKPHLFFBG28EA
五結鄉,土地,百松段811~840地號,1059.0,,風景區,農牧用地,1030418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3336000,3150,,0.0,0,農地配建,RPRNMLSLPHLFFAG98EA
頭城鎮,土地,福德段61~90地號,5762.48,,山坡地保育區,暫未編定,1050627,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,347,,0.0,0,,RPOOMLPJPHLFFBG28DA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路275巷1~30號,113.2,住,,,1050622,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,188.96,4,3,4,有,無,7250000,38368,,0.0,0,1.預售屋  2.104年12月23日訂約,RPPOMLMKPHLFFAG18EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路275巷1~30號,110.32,住,,,1050622,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,189.64,4,3,4,有,無,7200000,37967,,0.0,0,1.預售屋  2.104年12月29日訂約,RPQOMLMKPHLFFAG28EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路275巷1~30號,124.93,住,,,1050622,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,189.84,4,3,3,有,無,7250000,38190,,0.0,0,1.預售屋  2.104年12月30日訂約,RPROMLMKPHLFFAG38EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路275巷1~30號,120.27,住,,,1050622,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,188.6,4,3,4,有,無,7150000,37911,,0.0,0,1.預售屋  2.104年12月23日訂約,RPSOMLMKPHLFFAG48EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路271~300號,120.41,住,,,1050622,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,199.73,4,3,4,有,無,7400000,37050,,0.0,0,1.預售屋  2.104年12月28日訂約,RPTOMLMKPHLFFAG58EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路255巷1~30號,136.71,住,,,1050622,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,185.21,4,3,4,有,無,6770000,36553,,0.0,0,1.權利人共二人  2.預售屋  3.105年1月1日訂約,RPUNMLNKPHLFFAG68EA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路255巷1~30號,120.76,住,,,1050622,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1050530,185.26,4,3,4,有,無,6800000,36705,,0.0,0,1.預售屋  2.104年12月25日訂約,RPVNMLNKPHLFFAG78EA
礁溪鄉,土地,得石新段871~900地號,3349.37,,山坡地保育區,農牧用地,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8105472,2420,,0.0,0,,RPPPMLQLPHLFFBG88EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿西安街31~60號,21.86,商,,,1050616,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770510,92.93,3,2,1,有,無,3100000,33358,,0.0,0,,RPRNMLQLPHLFFBG68CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿進士路94巷1~30號,31.42,住,,,1050609,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,130.85,4,0,1,有,無,3700000,28277,,0.0,0,,RPPPMLMLPHLFFBG28CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美功路一段91~120號,88.0,,特定農業區,甲種建築用地,1050603,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0810521,164.3,2,3,2,有,無,6700000,40779,,0.0,0,,RPTQMLMLPHLFFBG78CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中央路一段53巷38弄1~30號,109.75,,特定農業區,甲種建築用地,1050613,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0990126,162.41,3,2,3,有,無,6100000,37559,,0.0,0,,RPPNMLMLPHLFFBG08CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿縣政八街51巷76弄1~30號,109.22,住,,,1050614,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1040518,239.5,4,2,4,有,無,16880000,70480,,0.0,0,,RPVNMLSKPHLFFBG56CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿中山路三段1~30號,68.74,商,,,1050616,土地3建物1車位0,全,三層,透天厝,商業用,見其他登記事項,0900926,166.41,4,2,4,有,無,15000000,90139,,0.0,0,,RPRNMLPJPHLFFBG38CA
壯圍鄉,土地,壯東段961~990地號,1000.0,,特定農業區,農牧用地,1050609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2117500,2118,,0.0,0,,RPSOMLNKPHLFFBG48CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉塭底路31~60號,29.4,,一般農業區,甲種建築用地,1050606,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0830930,80.57,3,2,2,有,無,1300000,16135,,0.0,0,,RPSNMLOKPHLFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿七張路369巷28弄1~30號,95.49,,特定農業區,甲種建築用地,1050601,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050318,198.25,4,3,5,有,無,9800000,49433,,0.0,0,,RPWNMLOKPHLFFBG88CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿七張路369巷28弄1~30號,92.68,,特定農業區,甲種建築用地,1050601,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050318,176.44,4,3,5,有,無,9350000,52993,,0.0,0,,RPXNMLOKPHLFFBG98CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭巿七張路369巷28弄1~30號,94.47,,特定農業區,甲種建築用地,1050528,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050318,196.72,4,3,5,有,無,10300000,52359,,0.0,0,,RPOOMLOKPHLFFBG18CA
