編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLPJPHLFFAG18CA,36,107.96,住家用,鋼筋混凝土加強磚造,69年11月26日,二層,一層 二層 騎樓
RPRNMLPJPHLFFAG28CA,9,196.72,住家用,鋼筋混凝土造,96年5月21日,三層,一層 二層 三層
RPPNMLMKPHLFFAG87CA,12,239.77,住家用,鋼筋混凝土造,93年9月8日,三層,一層 二層 三層
RPTOMLOKPHLFFAG58CA,38,103.44,住家用,鋼筋混凝土加強磚造,67年10月18日,二層,一層 二層
RPSNMLSKPHLFFAG78CA,,175.76,住家用,鋼筋混凝土造,105年4月22日,三層,一層 二層 三層
RPSNMLPJPHLFFBG48CA,,189.33,住家用,鋼筋混凝土加強磚造,,三層,一層 二層 三層 騎樓
RPVOMLPJPHLFFBG88CA,35,113.36,住家用,鋼筋混凝土加強磚造,70年9月3日,二層,一層 二層
RPSPMLOJPHLFFBG58CA,,144.17,住家用,木造,,一層,一層
RPXNMLLKPHLFFBG68CA,,36.73,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,五層
RPXNMLLKPHLFFBG68CA,,25.34,見其他登記事項,鋼筋混凝土造,104年12月10日,五層,
RPOPMLMKPHLFFBG08CA,,182.79,見其他登記事項,鋼筋混凝土造,105年2月2日,四層,一層 二層 三層 四層
RPOPMLMKPHLFFBG08CA,,.42,見其他登記事項,鋼筋混凝土造,105年2月2日,一層,一層
RPQPMLMKPHLFFBG28CA,,177.74,見其他登記事項,鋼筋混凝土造,105年2月2日,四層,一層 二層 三層 四層
RPQPMLMKPHLFFBG28CA,,.42,見其他登記事項,鋼筋混凝土造,105年2月2日,一層,一層
RPWPMLMKPHLFFBG88CA,,167.52,見其他登記事項,鋼筋混凝土造,105年2月2日,四層,一層 二層 三層 四層
RPWPMLMKPHLFFBG88CA,,.42,見其他登記事項,鋼筋混凝土造,105年2月2日,一層,一層
RPXPMLMKPHLFFBG98CA,,204.22,見其他登記事項,鋼筋混凝土造,105年2月2日,四層,一層 二層 三層 四層
RPXPMLMKPHLFFBG98CA,,.42,見其他登記事項,鋼筋混凝土造,105年2月2日,一層,一層
RPSOMLSKPHLFFBG98CA,36,107.36,住家用,鋼筋混凝土加強磚造,69年11月10日,二層,一層 二層 騎樓
RPSNMLMLPHLFFBG38CA,,155.51,見其他登記事項,鋼筋混凝土造,105年5月9日,三層,三層 見其他登記事項 一層 二層
RPTNMLOJPHLFFAG58EA,20,339.68,見其他登記事項,鋼筋混凝土造,85年5月27日,四層,一層 二層 三層 四層
RPVNMLMKPHLFFAG68EA,23,154.80,住家用,鋼筋混凝土造,82年1月5日,三層,一層 二層 三層
RPPOMLTKPHLFFAG88EA,,199.73,住家用,見其他登記事項,105年5月30日,三層,一層 二層 三層
RPUNMLRJPHLFFBG09EA,19,108.18,住家用,鋼筋混凝土造,86年5月14日,七層,七層
RPUNMLRJPHLFFBG09EA,19,33.23,共有部分,鋼筋混凝土造,86年5月14日,七層,
RPQOMLLKPHLFFBG28EA,21,32.15,住家用,鋼筋混凝土造,84年4月13日,六層,二層
RPQOMLLKPHLFFBG28EA,21,8.19,共有部分,鋼筋混凝土造,84年4月13日,六層,
RPQOMLLKPHLFFBG28EA,21,8.04,共有部分,鋼筋混凝土造,84年4月13日,六層,
RPPOMLMKPHLFFAG18EA,,188.96,住家用,見其他登記事項,105年5月30日,三層,一層 二層 三層
