鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
桃園區,房地(土地+建物)+車位,桃園市桃園區慈德街151~180號,18.62,商,,,1050608,土地3建物2車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930720,163.93,4,2,2,有,有,9000000,54901,坡道平面,0.0,0,,RPXRMLLJPHLFFAH98CA
龜山區,房地(土地+建物),桃園市龜山區幸福十七街1~30號,18.16,,鄉村區,乙種建築用地,1050602,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701226,89.0,2,2,1,有,無,2150000,24157,,0.0,0,,RPSOMLOJPHLFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路一段301~330號,15.7,住,,,1050521,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900223,147.56,3,2,2,有,有,9180000,62212,坡道平面,0.0,0,,RPUOMLOJPHLFFAH68CA
桃園區,房地(土地+建物),桃園市桃園區慈文路230巷14弄1~30號,31.5,住,,,1050523,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0600515,35.23,4,2,4,有,無,4700000,133409,,0.0,0,二親等間買賣,RPWPMLOJPHLFFAH98CA
桃園區,房地(土地+建物),桃園市桃園區正康三街211~240號,37.34,住,,,1050614,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671221,91.22,3,2,1,有,無,4100000,44946,,0.0,0,,RPQNMLPJPHLFFAH28CA
龜山區,房地(土地+建物)+車位,桃園市龜山區民生北路一段511~540號,54.34,工,,,1050518,土地3建物1車位3,四層,七層,廠辦,工業用,鋼筋混凝土造,0891003,337.27,0,0,0,無,有,16500000,48922,坡道平面,0.0,0,夾層增建。,RPRNMLPJPHLFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區敬三街190巷1~30號,8.07,住,,,1050525,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,55.99,3,2,2,有,有,1420000,25362,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLPJPHLFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路211~240號,14.75,住,,,1050607,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920613,138.83,3,2,2,有,有,7850000,56544,坡道平面,0.0,0,,RPRPMLPJPHLFFAH58CA
桃園區,房地(土地+建物),桃園市桃園區同安街455巷1弄1~30號,29.08,住,,,1050530,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,106.59,3,2,2,有,無,5000000,46909,,0.0,0,含增建或未登記建物。,RPWPMLPJPHLFFAH09CA
龜山區,房地(土地+建物)+車位,桃園市龜山區忠義路二段359巷1~30號,41.22,住,,,1050623,土地1建物1車位1,一層,七層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041207,151.42000000000002,0,0,0,無,有,9800000,74118,坡道平面,34.04,1100000,,RPVPMLQJPHLFFAH09CA
龜山區,房地(土地+建物)+車位,桃園市龜山區忠義路二段361~390號,40.91,住,,,1050621,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041207,154.17000000000002,3,1,2,有,有,9200000,66995,坡道平面,36.25,1300000,,RPWPMLQJPHLFFAH56CA
龜山區,房地(土地+建物)+車位,桃園市龜山區忠義路二段361~390號,42.07,住,,,1050602,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041207,155.52,3,1,2,有,有,9230000,66101,坡道平面,34.04,1200000,,RPOQMLQJPHLFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區民有三街451~480號,7.61,商,,,1050606,土地1建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1000506,74.55,1,1,1,有,有,4100000,54997,,0.0,0,,RPRNMLRJPHLFFAH58CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路241~270號,19.77,住,,,1050519,土地1建物1車位1,一層,二十一層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040814,163.99,0,0,0,無,有,21650000,161775,坡道平面,37.58,1200000,,RPWNMLRJPHLFFAH09CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路181~210號,21.02,住,,,1050519,土地1建物1車位1,一層,二十三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040814,167.49,0,0,0,無,有,21170000,153722,坡道平面,37.58,1200000,,RPQOMLRJPHLFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路1216巷91~120號,28.3,住,,,1050617,土地4建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960822,186.09,4,2,2,有,有,6000000,34807,坡道平面,33.82,700000,親友、員工或其他特殊關係間之交易。,RPTQMLRJPHLFFAH09CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路211~240號,27.3,住,,,1050519,土地1建物1車位2,一層,二十層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040814,245.57,0,0,0,無,有,28630000,153923,坡道平面,75.16,2400000,,RPOSMLRJPHLFFAH78CA
龜山區,房地(土地+建物)+車位,桃園市龜山區文東五街30巷1~30號,104.67,住,,,1050603,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970116,299.68,4,2,4,有,有,24500000,81754,其他,0.0,0,,RPTTMLLKPHLFFAH88CA
龜山區,房地(土地+建物),桃園市龜山區大同路356巷99弄1~30號,68.0,,鄉村區,乙種建築用地,1050620,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710621,106.9,5,2,3,有,無,5000000,46773,,0.0,0,含增建或未登記建物。,RPUNMLMKPHLFFAH48CA
桃園區,房地(土地+建物),桃園市桃園區三民路二段181~210號,7.05,商,,,1050620,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850118,60.78,1,1,1,有,有,2500000,41132,,0.0,0,,RPOSMLMKPHLFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民有十二街61~90號,15.38,商,,,1050525,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950918,154.2,3,2,2,有,有,8210000,53243,坡道平面,28.56,0,,RPTSMLMKPHLFFAH88CA
龜山區,房地(土地+建物),桃園市龜山區龍新街61~90號,38.19,住,,,1050616,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040618,180.01,3,2,2,有,有,16500000,91662,,0.0,0,,RPOOMLNKPHLFFAH08CA
龜山區,房地(土地+建物),桃園市龜山區光路千禧新城31~60號,30.12,住,,,1050523,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920821,163.81,3,2,2,有,有,6740000,41145,,0.0,0,含增建或未登記建物。,RPWNMLOKPHLFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路二段139巷61~90號,33.93,住,,,1050607,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981030,226.79000000000002,4,2,2,有,有,17700000,78046,坡道平面,0.0,0,,RPVPMLOKPHLFFAH98CA
桃園區,房地(土地+建物),桃園市桃園區國豐六街31~60號,14.15,住,,,1050602,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961023,75.99000000000001,2,1,1,有,有,5500000,72378,,0.0,0,,RPPNMLSKPHLFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街91~120號,10.2,商,,,1050615,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040706,103.52000000000001,2,1,1,有,有,7100000,69468,坡道平面,13.55,850000,,RPXPMLMLPHLFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區泰昌九街31~60號,28.71,住,,,1050530,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031231,162.57999999999998,3,2,2,有,有,9800000,61016,坡道平面,28.19,1600000,,RPPQMLMLPHLFFAH38CA
