編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXRMLLJPHLFFAH98CA,12,104.07,住家用,鋼筋混凝土造,93年7月20日,十三層,十二層
RPXRMLLJPHLFFAH98CA,12,11.22,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPXRMLLJPHLFFAH98CA,12,21.03,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPXRMLLJPHLFFAH98CA,12,.01,見其他登記事項,鋼筋混凝土造,93年7月20日,十三層,一層
RPXRMLLJPHLFFAH98CA,12,27.60,共有部份,鋼筋混凝土造,93年7月20日,十三層,
RPSOMLOJPHLFFAH48CA,34,89.00,住家用,鋼筋混凝土造,70年12月26日,五層,三層
RPUOMLOJPHLFFAH68CA,15,88.59,住家用,鋼筋混凝土造,90年2月23日,十四層,九層
RPUOMLOJPHLFFAH68CA,15,15.17,共有部份,鋼筋混凝土造,90年2月23日,十四層,
RPUOMLOJPHLFFAH68CA,15,12.65,共有部份,鋼筋混凝土造,90年2月23日,十四層,
RPUOMLOJPHLFFAH68CA,15,.03,見其他登記事項,鋼筋混凝土造,90年2月23日,十四層,一層
RPUOMLOJPHLFFAH68CA,15,31.12,共有部份,鋼筋混凝土造,90年2月23日,十四層,
RPWPMLOJPHLFFAH98CA,45,35.23,住家用,加強磚造,60年5月15日,二層,一層 二層
RPQNMLPJPHLFFAH28CA,37,86.33,住家用,鋼筋混凝土造,67年12月21日,四層,二層
RPQNMLPJPHLFFAH28CA,37,4.89,共有部份,鋼筋混凝土造,67年12月21日,四層,
RPRNMLPJPHLFFAH38CA,16,175.75,工業用,鋼筋混凝土造,89年10月3日,七層,四層
RPRNMLPJPHLFFAH38CA,16,113.79,共有部份,鋼筋混凝土造,89年10月3日,七層,
RPRNMLPJPHLFFAH38CA,16,47.73,共有部份,鋼筋混凝土造,89年10月3日,七層,
RPROMLPJPHLFFAH48CA,22,1.72,見其他登記事項,鋼筋混凝土造,83年9月8日,十五層,地下一層
RPROMLPJPHLFFAH48CA,22,2.07,共有部份,鋼筋混凝土造,83年9月8日,十三層,
RPROMLPJPHLFFAH48CA,22,3.29,共有部份,鋼筋混凝土造,83年9月8日,十五層,
RPROMLPJPHLFFAH48CA,22,48.92,住家用,鋼筋混凝土造,83年9月8日,十三層,八層
RPRPMLPJPHLFFAH58CA,13,84.52,住家用,鋼筋混凝土造,92年6月13日,十三層,六層
RPRPMLPJPHLFFAH58CA,13,.04,見其他登記事項,鋼筋混凝土造,92年6月13日,十三層,一層
RPRPMLPJPHLFFAH58CA,13,.84,共有部份,鋼筋混凝土造,92年6月13日,十三層,
RPRPMLPJPHLFFAH58CA,13,8.71,共有部份,鋼筋混凝土造,92年6月13日,十三層,
RPRPMLPJPHLFFAH58CA,13,19.36,共有部份,鋼筋混凝土造,92年6月13日,十三層,
RPRPMLPJPHLFFAH58CA,13,25.35,共有部份,鋼筋混凝土造,92年6月13日,十三層,
RPWPMLPJPHLFFAH09CA,35,106.59,住家用,鋼筋混凝土造,70年9月2日,五層,三層
RPVPMLQJPHLFFAH09CA,1,80.54,見其他登記事項,鋼筋混凝土造,104年12月7日,七層,一層
RPVPMLQJPHLFFAH09CA,1,70.88,見其他登記事項,鋼筋混凝土造,104年12月7日,七層,
RPWPMLQJPHLFFAH56CA,1,81.37,住家用,鋼筋混凝土造,104年12月7日,七層,四層
RPWPMLQJPHLFFAH56CA,1,72.80,見其他登記事項,鋼筋混凝土造,104年12月7日,七層,
RPOQMLQJPHLFFAH48CA,,83.90,住家用,鋼筋混凝土造,104年12月7日,七層,四層
RPOQMLQJPHLFFAH48CA,,71.62,見其他登記事項,鋼筋混凝土造,104年12月7日,七層,
RPRNMLRJPHLFFAH58CA,5,51.68,住家用,鋼筋混凝土造,100年5月6日,十二層,十二層
RPRNMLRJPHLFFAH58CA,5,11.55,見其他登記事項,鋼筋混凝土造,100年5月6日,十二層,
RPRNMLRJPHLFFAH58CA,5,11.32,見其他登記事項,鋼筋混凝土造,100年5月6日,十二層,
RPWNMLRJPHLFFAH09CA,1,81.99,見其他登記事項,鋼筋混凝土造,104年8月14日,二十一層,一層
RPWNMLRJPHLFFAH09CA,1,7.86,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPWNMLRJPHLFFAH09CA,1,26.14,見其他登記事項,鋼筋混凝土造,104年8月14日,二十一層,
RPWNMLRJPHLFFAH09CA,1,37.58,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPWNMLRJPHLFFAH09CA,1,10.41,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPQOMLRJPHLFFAH58CA,1,84.30,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,一層
RPQOMLRJPHLFFAH58CA,1,8.36,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPQOMLRJPHLFFAH58CA,1,26.54,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPQOMLRJPHLFFAH58CA,1,37.58,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPQOMLRJPHLFFAH58CA,1,10.71,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPTQMLRJPHLFFAH09CA,9,111.33,住家用,鋼筋混凝土造,96年8月22日,十三層,三層
