編號,車位類別,車位價格,車位面積平方公尺
RPXRMLLJPHLFFAH98CA,坡道平面,0,
RPUOMLOJPHLFFAH68CA,坡道平面,0,
RPRNMLPJPHLFFAH38CA,坡道平面,0,
RPRNMLPJPHLFFAH38CA,坡道平面,0,
RPRNMLPJPHLFFAH38CA,坡道平面,0,
RPROMLPJPHLFFAH48CA,坡道平面,0,
RPRPMLPJPHLFFAH58CA,坡道平面,0,
RPVPMLQJPHLFFAH09CA,坡道平面,1100000,34.04
RPWPMLQJPHLFFAH56CA,坡道平面,1300000,36.25
RPOQMLQJPHLFFAH48CA,坡道平面,1200000,34.04
RPWNMLRJPHLFFAH09CA,坡道平面,1200000,37.58
RPQOMLRJPHLFFAH58CA,坡道平面,1200000,37.58
RPTQMLRJPHLFFAH09CA,坡道平面,700000,33.82
RPOSMLRJPHLFFAH78CA,坡道平面,0,37.58
RPOSMLRJPHLFFAH78CA,坡道平面,0,37.58
RPTTMLLKPHLFFAH88CA,其他,0,
RPTSMLMKPHLFFAH88CA,坡道平面,0,14.28
RPTSMLMKPHLFFAH88CA,坡道平面,0,14.28
RPVPMLOKPHLFFAH98CA,坡道平面,0,
RPXPMLMLPHLFFAH09CA,坡道平面,850000,13.55
RPPQMLMLPHLFFAH38CA,坡道平面,1600000,28.19
RPRPMLPLPHLFFAH78CA,坡道平面,0,37.58
RPRPMLPLPHLFFAH78CA,坡道平面,0,37.58
RPRPMLPLPHLFFAH78CA,坡道平面,0,37.58
RPWQMLPLPHLFFAH76CA,坡道平面,0,23.39
RPWQMLPLPHLFFAH76CA,坡道平面,0,23.39
RPWQMLPLPHLFFAH76CA,坡道平面,0,23.39
RPRPMLSLPHLFFAH09CA,坡道平面,0,37.58
RPRPMLSLPHLFFAH09CA,坡道平面,0,37.58
RPRPMLSLPHLFFAH09CA,坡道平面,0,37.58
RPRPMLSLPHLFFAH09CA,坡道平面,0,37.58
RPPSMLPJPHLFFBH78CA,坡道平面,1200000,35.26
RPRSMLPJPHLFFBH98CA,坡道平面,1350000,35.26
RPPPMLRJPHLFFBH68CA,坡道平面,500000,33.98
RPRPMLRJPHLFFBH88CA,坡道平面,1300000,33.98
RPSPMLRJPHLFFBH98CA,坡道平面,500000,33.98
RPQPMLLKPHLFFBH28CA,坡道平面,0,
RPQRMLOKPHLFFBH78CA,坡道平面,0,24.47
RPORMLQLPHLFFBH88CA,坡道平面,1150000,33.35
RPQRMLQLPHLFFBH09CA,坡道平面,1250000,33.35
RPRRMLQLPHLFFBH56CA,坡道平面,1050000,31.26
RPSRMLQLPHLFFBH66CA,坡道平面,1200000,33.35
RPTRMLQLPHLFFBH76CA,坡道平面,1300000,33.35
RPURMLQLPHLFFBH86CA,坡道平面,1300000,33.35
RPVRMLQLPHLFFBH96CA,坡道平面,1250000,33.35
RPWRMLQLPHLFFBH07CA,坡道平面,1100000,33.35
RPXRMLQLPHLFFBH17CA,坡道平面,1100000,33.35
RPOPMLSLPHLFFBH88CA,坡道平面,0,
RPONNLTLPHLFFBH88CA,坡道平面,1650000,33.13
RPUNNLTLPHLFFBH86CA,坡道平面,1950000,36.45
RPPNMLLJQHLFFBH97CA,坡道平面,1550000,36.45
RPQNMLLJQHLFFBH08CA,坡道平面,0,89.50
RPRNMLOJPHLFFCH48CA,坡道平面,0,
RPPPMLMKPHLFFDH48CA,坡道平面,0,
