鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
桃園區,房地(土地+建物),桃園市桃園區國強六街1~30號,12.62,住,,,1050628,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880223,59.14,0,0,0,無,有,無,15000,254,,0.0,0,,RPRNMLLJPHLFFAH18CC
龜山區,房地(土地+建物)+車位,桃園市龜山區復興二路10巷27弄1~30號,41.9,住,,,1050622,土地1建物1車位1,七層,7,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970325,132.58,3,2,2,有,有,有,24000,181,坡道平面,32.14,0,,RPQPMLLJPHLFFAH28CC
桃園區,房地(土地+建物),桃園市桃園區春日路1111~1140號,9.33,住,,,1050625,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890831,69.02,1,1,1,有,有,有,14100,204,,0.0,0,,RPUPMLLJPHLFFAH68CC
桃園區,房地(土地+建物),桃園市桃園區民有六街1~30號,3.87,住,,,1050621,土地1建物1車位0,十三層,17,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850118,39.97,0,0,0,無,有,有,7500,188,,0.0,0,,RPVPMLLJPHLFFAH78CC
桃園區,房地(土地+建物),桃園市桃園區民富十一街91~120號,15.11,住,,,1050622,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950103,126.31,3,2,2,有,有,有,17000,135,坡道平面,0.0,0,,RPWPMLLJPHLFFAH88CC
龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路61~90號,18.68,住,,,1050618,土地1建物1車位1,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030224,159.2,3,2,2,有,有,無,20000,126,坡道平面,0.0,0,,RPPQMLLJPHLFFAH28CC
桃園區,房地(土地+建物)+車位,桃園市桃園區南平路61~90號,13.5,住,,,1050607,土地1建物1車位1,八層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,131.36,3,2,2,有,有,有,12000,91,坡道平面,0.0,0,,RPRQMLLJPHLFFAH48CC
桃園區,房地(土地+建物),桃園市桃園區大興西路二段139巷121~150號,15.87,住,,,1050613,土地1建物1車位0,三層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970424,90.28999999999999,1,0,0,無,有,有,13500,150,,0.0,0,,RPVQMLLJPHLFFAH88CC
桃園區,房地(土地+建物),桃園市桃園區春日路1111~1140號,10.19,住,,,1050610,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890831,74.73,1,1,1,有,有,有,13000,174,,0.0,0,,RPWQMLLJPHLFFAH98CC
龍潭區,建物,桃園市龍潭區中豐路751~780號,0.0,,一般農業區,農牧用地,1050615,土地0建物1車位0,全,3,透天厝,農舍,鋼筋混凝土造,0850816,255.21,6,4,2,有,無,無,23000,90,,0.0,0,,RPQOMLLJPHLFFCH38CC
