編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLLJPHLFFAH18CC,17,59.14,商業用,鋼筋混凝土造,88年2月23日,十三層,
RPQPMLLJPHLFFAH28CC,8,94.79,住家用,鋼筋混凝土造,97年3月25日,七層,
RPQPMLLJPHLFFAH28CC,8,19.98,共有部份,鋼筋混凝土造,97年3月25日,七層,
RPQPMLLJPHLFFAH28CC,8,17.81,共有部份,鋼筋混凝土造,97年3月25日,七層,
RPUPMLLJPHLFFAH68CC,16,53.05,住家用,鋼筋混凝土造,89年8月31日,十四層,
RPUPMLLJPHLFFAH68CC,16,15.97,共同使用部份,鋼筋混凝土造,89年8月31日,十四層,
RPVPMLLJPHLFFAH78CC,20,27.41,住家用,鋼筋混凝土造,85年1月18日,十七層,
RPVPMLLJPHLFFAH78CC,20,12.56,共有部份,鋼筋混凝土造,85年1月18日,十七層,
RPWPMLLJPHLFFAH88CC,10,85.41,住家用,鋼筋混凝土造,95年1月3日,十三層,
RPWPMLLJPHLFFAH88CC,10,10.84,共有部份,鋼筋混凝土造,95年1月3日,十三層,
RPWPMLLJPHLFFAH88CC,10,30.06,共有部份,鋼筋混凝土造,95年1月3日,十三層,
RPPQMLLJPHLFFAH28CC,2,90.09,住家用,鋼筋混凝土造,103年2月24日,十八層,
RPPQMLLJPHLFFAH28CC,2,23.55,見其他登記事項,鋼筋混凝土造,103年2月24日,十八層,
RPPQMLLJPHLFFAH28CC,2,45.56,見其他登記事項,鋼筋混凝土造,103年2月24日,十九層,
RPRQMLLJPHLFFAH48CC,21,97.67,住家用,鋼筋混凝土造,84年1月21日,十六層,
RPRQMLLJPHLFFAH48CC,21,33.69,共同使用部份,鋼筋混凝土造,84年1月21日,十六層,
RPVQMLLJPHLFFAH88CC,8,62.39,住家用,鋼筋混凝土造,97年4月24日,十三層,
RPVQMLLJPHLFFAH88CC,8,27.90,共有部份,鋼筋混凝土造,97年4月24日,十三層,
RPWQMLLJPHLFFAH98CC,16,57.29,住家用,鋼筋混凝土造,89年8月31日,十四層,
RPWQMLLJPHLFFAH98CC,16,17.44,共同使用部份,鋼筋混凝土造,89年8月31日,十四層,
RPQOMLLJPHLFFCH38CC,20,255.21,農舍,鋼筋混凝土造,85年8月16日,三層,
RPSNMLLJPHLFFFH78CC,8,90.45,住家用,鋼筋混凝土造,97年4月25日,十五層,
RPSNMLLJPHLFFFH78CC,8,44.90,共同使用部份,鋼筋混凝土造,97年4月25日,,
RPSNMLLJPHLFFFH78CC,8,24.57,共同使用部份,鋼筋混凝土造,97年4月25日,十五層,
RPTNMLLJPHLFFFH88CC,8,90.45,住家用,鋼筋混凝土造,97年4月25日,十五層,
RPTNMLLJPHLFFFH88CC,8,40.74,共有部分,鋼筋混凝土造,97年4月25日,,
RPTNMLLJPHLFFFH88CC,8,24.57,共有部分,鋼筋混凝土造,97年4月25日,十五層,
RPTPMLLJPHLFFGH56CC,37,111.28,住家用,加強磚造,68年1月23日,二層,
RPUQMLLJPHLFFAH88DC,24,111.75,見其他登記事項,鋼筋混凝土造,81年7月2日,十二層,
RPRPMLLJPHLFFBH58DC,9,57.52,住家用,鋼筋混凝土造,96年3月1日,十五層,
RPOOMLOJPHLFFEH78DC,25,110.97,工業用,鋼筋混凝土造,80年10月8日,九層,
RPTNMLOJPHLFFGH66CC,24,326.17,見其他登記事項,鋼筋混凝土造,81年9月22日,三層,
RPRNMLOJPHLFFFH09DC,23,95.55,住家用,鋼筋混凝土造,82年8月13日,六層,
RPRNMLOJPHLFFFH09DC,23,6.89,共同使用部份,鋼筋混凝土造,82年8月13日,六層,
RPXNMLOJPHLFFFH96CC,1,93.40,住家用,鋼筋混凝土造,104年4月20日,十五層,
RPXNMLOJPHLFFFH96CC,1,70.13,見其他登記事項,鋼筋混凝土造,104年4月20日,十五層,
RPPPMLOJPHLFFEH88CC,7,57.15,住家用,鋼筋混凝土造,98年6月30日,十二層,
RPPPMLOJPHLFFEH88CC,7,14.64,共有部份,鋼筋混凝土造,98年6月30日,十二層,
RPPPMLOJPHLFFEH88CC,7,23.72,共有部份,鋼筋混凝土造,98年6月30日,十二層,
RPXOMLOJPHLFFBH66CC,5,98.26,見其他登記事項,鋼筋混凝土造,100年7月21日,五層,
RPOPMLOJPHLFFBH48CC,17,60.22,住家用,鋼筋混凝土造,88年5月28日,十四層,
RPOPMLOJPHLFFBH48CC,17,9.38,共有部分,鋼筋混凝土造,88年5月28日,十四層,
RPOPMLOJPHLFFBH48CC,17,8.15,共有部分,鋼筋混凝土造,88年5月28日,十四層,
RPPPMLOJPHLFFBH58CC,22,90.71,住家用,鋼筋混凝土造,83年2月5日,七層,
RPPPMLOJPHLFFBH58CC,22,12.30,共有部分,鋼筋混凝土造,83年2月5日,七層,
RPSNMLPJPHLFFFH56CC,2,90.68,住家用,鋼筋混凝土造,103年6月23日,十五層,
RPSNMLPJPHLFFFH56CC,2,50.82,見其他登記事項,鋼筋混凝土造,103年6月23日,十五層,
RPSNMLPJPHLFFFH56CC,2,18.17,見其他登記事項,鋼筋混凝土造,103年6月23日,十五層,
RPSOMLPJPHLFFCH98CC,26,343.76,住家用,鋼筋混凝土造,79年11月10日,三層,
RPPOMLPJPHLFFDH88DC,22,87.67,住家用,鋼筋混凝土造,83年6月18日,八層,
RPVOMLPJPHLFFGH07CC,25,347.10,見其他登記事項,鋼筋混凝土造,80年8月26日,十六層,
RPWOMLQJPHLFFBH86DC,10,262.82,見其他登記事項,鋼筋混凝土造,95年7月13日,四層,
RPWOMLQJPHLFFBH86DC,10,92.53,共有部分,鋼筋混凝土造,95年7月13日,四層,
RPQNMLQJPHLFFFH56DC,17,81.91,住家用,鋼筋混凝土造,88年11月25日,十三層,
RPQNMLQJPHLFFFH56DC,17,11.93,住家用,鋼筋混凝土造,88年11月25日,十三層,
RPQNMLQJPHLFFFH56DC,17,18.95,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPQNMLQJPHLFFFH56DC,17,23.45,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPPNMLQJPHLFFCH68CC,35,48.00,住商用,鋼筋混凝土造,70年8月24日,三層,
RPUOMLQJPHLFFDH76CC,1,108.53,住家用,鋼筋混凝土造,104年5月25日,十五層,
RPUOMLQJPHLFFDH76CC,1,82.83,見其他登記事項,鋼筋混凝土造,104年5月25日,十五層,
RPQOMLQJPHLFFEH09CC,21,85.82,住家用,鋼筋混凝土造,84年9月25日,二十層,
RPQOMLQJPHLFFEH09CC,21,9.57,共有部份,鋼筋混凝土造,84年9月25日,二十層,
RPQOMLQJPHLFFEH09CC,21,13.84,共有部份,鋼筋混凝土造,84年9月25日,二十層,
RPSOMLQJPHLFFEH66CC,21,35.83,共有部份,鋼筋混凝土造,84年9月25日,二十層,
RPTOMLQJPHLFFBH09CC,25,26.77,住家用,鋼筋混凝土造,80年2月6日,十二層,
RPTOMLQJPHLFFBH09CC,25,4.69,共有部分,鋼筋混凝土造,80年2月6日,十二層,
RPVOMLQJPHLFFBH66CC,25,26.77,住家用,鋼筋混凝土造,80年2月6日,十二層,
RPVOMLQJPHLFFBH66CC,25,4.69,共有部分,鋼筋混凝土造,80年2月6日,十二層,
RPXOMLQJPHLFFBH86CC,22,21.68,住家用,鋼筋混凝土造,83年8月4日,七層,
RPXOMLQJPHLFFBH86CC,22,.69,共有部分,鋼筋混凝土造,83年8月4日,七層,
RPXOMLQJPHLFFBH86CC,22,8.70,共有部分,鋼筋混凝土造,83年8月4日,七層,
RPVRMLQJPHLFFAH86CC,29,131.99,住家用,加強磚造,76年3月19日,二層,
RPROMLRJPHLFFAH88CC,35,105.19,住家用,鋼筋混凝土造,70年11月6日,五層,
RPXQMLRJPHLFFAH07CC,1,99.85,住家用,鋼筋混凝土造,104年8月14日,二十層,
RPXQMLRJPHLFFAH07CC,1,8.86,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPXQMLRJPHLFFAH07CC,1,4.46,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPXQMLRJPHLFFAH07CC,1,31.71,見其他登記事項,鋼筋混凝土造,104年8月14日,二十層,
RPXQMLRJPHLFFAH07CC,1,.00,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPRUMLRJPHLFFAH86CC,16,81.15,住家用,鋼筋混凝土造,89年9月15日,九層,
RPRUMLRJPHLFFAH86CC,16,9.00,共同使用部份,鋼筋混凝土造,89年9月15日,九層,
RPRUMLRJPHLFFAH86CC,16,17.08,共同使用部份,鋼筋混凝土造,89年9月15日,九層,
RPRUMLRJPHLFFAH86CC,16,.05,見其他登記事項,鋼筋混凝土造,89年9月15日,九層,
