編號,車位類別,車位價格,車位面積平方公尺
RPQPMLLJPHLFFAH28CC,坡道平面,0,32.14
RPWPMLLJPHLFFAH88CC,坡道平面,0,
RPPQMLLJPHLFFAH28CC,坡道平面,0,
RPRQMLLJPHLFFAH48CC,坡道平面,0,
RPTNMLLJPHLFFFH88CC,坡道平面,0,
RPXNMLOJPHLFFFH96CC,坡道平面,0,26.19
RPPPMLOJPHLFFEH88CC,坡道機械,0,16.57
RPSNMLPJPHLFFFH56CC,坡道平面,0,29.66
RPWOMLQJPHLFFBH86DC,坡道平面,0,92.53
RPUOMLQJPHLFFDH76CC,坡道平面,0,32.10
RPSOMLQJPHLFFEH66CC,坡道平面,2000,35.83
RPRUMLRJPHLFFAH86CC,坡道平面,0,
RPVPMLRJPHLFFBH86CC,坡道平面,0,30.55
RPROMLRJPHLFFFH76CC,坡道平面,0,31.92
RPROMLRJPHLFFBH09DC,其他,0,
RPPOMLLKPHLFFEH58CC,坡道平面,0,
RPQOMLLKPHLFFEH68CC,坡道平面,0,
RPUOMLLKPHLFFEH09CC,坡道平面,0,
RPVOMLLKPHLFFEH56CC,坡道平面,0,
RPSQMLMKPHLFFAH78CC,其他,0,
RPVQMLMKPHLFFAH09CC,其他,0,
RPOPMLMKPHLFFDH58CC,坡道平面,0,34.25
RPXRMLMKPHLFFAH86DC,坡道平面,0,36.50
RPUNMLMKPHLFFEH56DC,坡道平面,0,
RPTRMLNKPHLFFAH56DC,坡道平面,0,56.71
RPOOMLNKPHLFFGH88CC,坡道平面,0,38.68
RPPOMLNKPHLFFGH98CC,坡道平面,0,38.68
RPQOMLNKPHLFFFH98CC,坡道平面,0,29.67
RPROMLNKPHLFFFH09CC,坡道平面,0,26.19
RPSOMLNKPHLFFFH56CC,坡道平面,0,26.19
RPQNMLNKPHLFFEH78CC,坡道平面,0,
RPXNMLNKPHLFFEH86CC,坡道平面,0,26.00
RPOOMLNKPHLFFEH68CC,坡道平面,0,24.00
RPPOMLNKPHLFFEH78CC,坡道平面,0,28.00
RPQOMLNKPHLFFEH88CC,坡道平面,0,25.71
RPSOMLNKPHLFFEH09CC,坡道平面,0,27.81
RPTOMLNKPHLFFEH56CC,坡道平面,0,1.40
RPWOMLNKPHLFFEH86CC,坡道平面,0,26.00
RPXOMLNKPHLFFEH96CC,坡道平面,0,30.07
RPOPMLNKPHLFFEH78CC,坡道平面,0,10.52
RPPPMLNKPHLFFEH88CC,坡道平面,0,39.00
RPQPMLNKPHLFFEH98CC,坡道平面,0,26.00
RPOOMLNKPHLFFBH38CC,坡道平面,0,
RPVPMLNKPHLFFAH09CC,坡道平面,0,26.13
RPWNMLOKPHLFFFH96CC,坡道平面,0,37.11
RPOPMLOKPHLFFGH09CC,坡道平面,0,
RPUNMLOKPHLFFBH09DC,坡道平面,0,33.32
RPPOMLPKPHLFFFH66EC,坡道平面,0,32.75
RPQQMLPKPHLFFBH09DC,坡道平面,0,
RPRNMLPKPHLFFAH68CC,其他,0,
