編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLRJPHLFFAI56CA,18,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,十五層
RPWNMLRJPHLFFAI56CA,18,16.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPWNMLRJPHLFFAI56CA,18,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPPNMLQJPHLFFAI38CA,20,19.58,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPPNMLQJPHLFFAI38CA,20,77.26,住家用,鋼筋混凝土造,85年3月11日,二十層,十五層
RPQNMLQKPHLFFAI58CA,18,241.98,住家用,鋼筋混凝土造,87年11月25日,五層,一層 二層 三層 四層 五層
RPRNMLQKPHLFFAI68CA,23,71.85,住家用,鋼筋混凝土造,82年5月15日,十五層,四層
RPRNMLQKPHLFFAI68CA,23,9.56,共有部份,鋼筋混凝土造,82年5月15日,十五層,
RPRNMLQKPHLFFAI68CA,23,11.10,共有部份,鋼筋混凝土造,82年5月15日,十五層,
RPUNMLRKPHLFFAI09CA,22,156.36,住商用,鋼筋混凝土造,83年4月6日,四層,一層 二層 三層 四層
RPQNMLNLPHLFFAI38CA,11,190.14,見其他登記事項,鋼筋混凝土造,94年5月13日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLNLPHLFFAI68CA,12,195.03,見其他登記事項,鋼筋混凝土造,93年9月23日,三層,一層 二層 三層 見其他登記事項
RPPOMLMKPHLFFAI28DA,10,165.13,見其他登記事項,鋼筋混凝土造,95年6月16日,三層,一層 二層 三層 見其他登記事項
RPPNMLKMPHLFFAI08CA,13,64.34,住家用,鋼筋混凝土造,92年3月17日,十三層,三層
RPPNMLKMPHLFFAI08CA,13,35.76,共有部份,鋼筋混凝土造,92年3月17日,十四層,
RPROMLPLPHLFFAI88DA,23,110.88,住家用,鋼筋混凝土造,82年11月11日,十三層,五層
RPROMLPLPHLFFAI88DA,23,32.13,共有部份,鋼筋混凝土造,82年11月11日,十三層,
RPVNMLNKPHLFFAI98EA,21,100.03,住家用,鋼筋混凝土造,83年12月23日,九層,八層
RPVNMLNKPHLFFAI98EA,21,14.19,共有部份,鋼筋混凝土造,83年12月23日,九層,
RPXOMLSKPHLFFAI17EA,35,105.35,住商用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層
RPPNMLKLPHLFFAI18EA,23,58.92,住家用,鋼筋混凝土造,82年10月18日,十四層,七層
RPPNMLKLPHLFFAI18EA,23,18.82,共有部份,鋼筋混凝土造,82年10月18日,十四層,
RPRNMLPLPHLFFAI68CA,41,76.46,住家用,鋼筋混凝土加強磚造,64年8月28日,二層,一層 二層
RPWNMLQLPHLFFAI66CA,46,46.10,住家用,木造,59年10月10日,一層,一層
RPOOMLRKPHLFFAI58CA,,193.75,見其他登記事項,見其他登記事項,105年4月18日,三層,一層 二層 三層 見其他登記事項
RPTNMLRKPHLFFAI98CA,24,150.66,住家用,鋼筋混凝土造,81年9月15日,四層,一層 二層 三層 四層
RPSNMLKLPHLFFAI28CA,17,93.18,住家用,鋼筋混凝土造,88年7月17日,十二層,八層
RPSNMLKLPHLFFAI28CA,17,14.12,共有部份,鋼筋混凝土造,88年7月17日,十二層,
