編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPTNMLOJPHLFFAI58CA,溪東段,4169.96,都市：農
RPQNMLPJPHLFFAI38CA,溪東段,6280.18,都市：農
RPWNMLRJPHLFFAI56CA,太平段,15.28,都市：住
RPPNMLQJPHLFFAI38CA,下路頭段,7.61,都市：住
RPXOMLNKPHLFFAI09CA,溪東段,363.40,都市：農
RPQNMLQKPHLFFAI58CA,後庄段,111.00,都市：住
RPQNMLQKPHLFFAI58CA,後庄段,.19,都市：住
RPRNMLQKPHLFFAI68CA,盧厝段,15.04,都市：住
RPUNMLRKPHLFFAI09CA,北園段,67.00,都市：住
RPQNMLNLPHLFFAI38CA,興村段,72.00,都市：住
RPTNMLNLPHLFFAI68CA,劉厝段劉厝小段,16.00,都市：住
RPTNMLNLPHLFFAI68CA,劉厝段劉厝小段,92.00,都市：住
RPPOMLMKPHLFFAI28DA,育人段,20.02,都市：住
RPPOMLMKPHLFFAI28DA,育人段,.33,都市：住
RPPOMLMKPHLFFAI28DA,育人段,85.83,都市：住
RPPNMLKMPHLFFAI08CA,盧厝段,24.71,都市：住
RPROMLPLPHLFFAI88DA,下路頭段,19.74,都市：住
RPROMLPLPHLFFAI88DA,下路頭段,3.31,都市：住
RPVNMLNKPHLFFAI98EA,軍輝段,20.95,都市：住
RPXOMLSKPHLFFAI17EA,中庄段,100.00,都市：住
RPPNMLKLPHLFFAI18EA,東門段七小段,9.18,都市：商
RPRNMLPLPHLFFAI68CA,下路頭段,52.00,都市：住
RPWNMLQLPHLFFAI66CA,盧厝段,87.00,都市：住
RPOOMLRKPHLFFAI58CA,下路頭段,25.00,都市：住
RPOOMLRKPHLFFAI58CA,下路頭段,87.00,都市：住
RPTNMLRKPHLFFAI98CA,下路頭段,160.00,都市：住
RPSNMLKLPHLFFAI28CA,台斗坑段,20.71,都市：住
RPSNMLKLPHLFFAI28CA,台斗坑段,.01,都市：住
RPVNMLRKPHLFFAI56CA,下路頭段,25.00,都市：住
RPVNMLRKPHLFFAI56CA,下路頭段,87.00,都市：住
RPPNMLRKPHLFFAI58CA,下路頭段,25.00,都市：住
RPPNMLRKPHLFFAI58CA,下路頭段,109.00,都市：住
RPQNMLRKPHLFFAI68CA,下路頭段,25.00,都市：住
RPQNMLRKPHLFFAI68CA,下路頭段,87.00,都市：住
RPRNMLPJPHLFFAI48CA,民族段三小段,159.00,都市：住
RPSNMLPJPHLFFAI58CA,埤子頭段,46.00,都市：住
RPTNMLPJPHLFFAI68CA,下路頭段,81.00,都市：住
RPRNMLSJPHLFFAI78CA,何庄段,235.58,都市：農
RPOOMLMKPHLFFAI08CA,西門段六小段,.98,都市：商
RPOOMLMKPHLFFAI08CA,新富段六小段,3.27,都市：商
RPSNMLQKPHLFFAI78CA,元段六小段,1.22,都市：商
RPVNMLRJPHLFFAI09CA,竹圍子段,34.55,都市：住
RPSNMLPKPHLFFAI68CA,檜段六小段,38.00,都市：商
RPSNMLPKPHLFFAI68CA,檜段六小段,99.00,都市：商
RPSNMLPKPHLFFAI68CA,檜段六小段,70.00,都市：商
RPQOMLRKPHLFFAI78CA,元段六小段,1.34,都市：商
RPPNMLOLPHLFFAI38CA,盧厝段,.60,都市：住
RPPNMLOLPHLFFAI38CA,盧厝段,8.49,都市：住
RPPNMLOLPHLFFAI38CA,盧厝段,32.00,都市：住
RPPNMLOLPHLFFAI38CA,盧厝段,119.00,都市：住
RPPOMLTLPHLFFAI56EA,盧厝段,1044.67,都市：農
RPPOMLTLPHLFFAI56EA,盧厝段,332.08,都市：農
RPQNMLNKPHLFFAI48EA,北社尾段保安小段,104.00,都市：住
RPXNMLLJQHLFFAI78CA,新厝段,8.00,都市：農
RPXNMLLJQHLFFAI78CA,新厝段,60.00,都市：住
RPOOMLLJQHLFFAI97CA,短竹段,85.00,都市：住
RPOOMLLJQHLFFAI97CA,短竹段,45.00,都市：住
RPOPMLLJQHLFFAI08CA,竹圍子段,77.00,都市：住
RPTNMLNJQHLFFAI58CA,車店段車店小段,4.76,都市：住
RPSOMLLLPHLFFAI48CA,遠東段,75.00,都市：住
RPRNMLOLPHLFFAI58CA,後庄段,73.00,都市：住
RPPNMLSKPHLFFAI68CA,車店段車店小段,8.41,都市：住
RPUNMLSKPHLFFAI56CA,車店段車店小段,150.00,都市：住
RPSOMLSKPHLFFAI09CA,下路頭段,37.00,都市：住
RPSOMLSKPHLFFAI09CA,下路頭段,37.00,都市：住
RPQNMLPKPHLFFAI48CA,盧厝段,61.00,都市：住
RPRNMLPKPHLFFAI58CA,遠東段,14.00,都市：住
RPWNMLRKPHLFFAI66CA,埤子頭段,20.25,都市：住
RPXNMLRKPHLFFAI76CA,埤子頭段,20.25,都市：住
RPTNMLRJPHLFFAI88CA,白川段,35.96,都市：住
RPPNMLLKPHLFFAI97CA,劉厝段劉厝小段,115.00,都市：住
RPSOMLLKPHLFFAI38CA,竹圍子段,17.42,都市：住
RPQNMLMKPHLFFAI18CA,新富段一小段,26.50,都市：住
RPQNMLMKPHLFFAI18CA,新富段一小段,106.00,都市：住
RPROMLMKPHLFFAI38CA,下路頭段,6.00,都市：住
RPROMLMKPHLFFAI38CA,下路頭段,5.00,都市：其他
RPROMLMKPHLFFAI38CA,下路頭段,50.00,都市：住
RPROMLMKPHLFFAI38CA,下路頭段,8.00,都市：其他
RPQOMLSKPHLFFAI88CA,盧厝段,21.61,都市：住
RPROMLQLPHLFFAI88CA,中庄段,103.00,都市：住
RPPNMLMJQHLFFAI08CA,下路頭段,72.00,都市：住
RPPNMLMJQHLFFAI08CA,下路頭段,110.00,都市：住
RPPNMLNLPHLFFAI28CA,白川段,53.00,都市：住
RPPNMLNLPHLFFAI28CA,白川段,5.00,都市：住
RPRNMLNKPHLFFAI58EA,新富段六小段,36.00,都市：商
RPRNMLNKPHLFFAI58EA,新富段六小段,4.00,都市：商
RPQNMLLKPHLFFAI28EA,竹圍子段三小段,85.00,都市：住
RPPOMLKLPHLFFAI28EA,北門段七小段,6.53,都市：商
RPRNMLMKPHLFFAI48EA,盧厝段,27.66,都市：住
RPQOMLMKPHLFFAI38DA,車店段車店小段,11.40,都市：住
RPTNMLMLPHLFFAI58CA,檜段六小段,44.00,都市：商
RPTNMLMLPHLFFAI58CA,檜段六小段,12.00,都市：商
RPXNMLMLPHLFFAI98CA,港子坪段港坪小段,22.84,都市：住
RPUOMLMKPHLFFAI68CA,劉厝段玉山小段,167.03,都市：住
RPPNMLNKPHLFFAI18CA,北園段,14.00,都市：住
RPVOMLNKPHLFFAI88CA,末廣段二小段,68.00,都市：商
RPRNMLOKPHLFFAI48CA,埤子頭段,4.75,都市：住
RPTNMLOKPHLFFAI68CA,下路頭段,119.00,都市：住
RPTNMLOKPHLFFAI68CA,下路頭段,80.00,都市：住
RPTNMLOKPHLFFAI68CA,下路頭段,7.00,都市：住
RPOOMLQLPHLFFAI58CA,長竹段,2985.00,都市：住
RPOOMLQLPHLFFAI58CA,長竹段,627.00,都市：住
RPRNMLSKPHLFFAI88CA,中庄段,42.64,都市：住
RPXNMLTKPHLFFAI96CA,竹村段,245.46,都市：住
RPOOMLKLPHLFFAI97CA,彌陀段,6.40,都市：住
RPQNMLOKPHLFFAI48DA,下路頭段,91.00,都市：住
RPQNMLOKPHLFFAI48DA,下路頭段,17.44,都市：住
RPROMLSJQHLFFAI98CA,劉厝段劉厝小段,94.23,都市：住
RPROMLNJQHLFFAI48CA,湖內段,25.45,都市：住
RPVOMLQLPHLFFAI66CA,短竹段,12.36,都市：住
RPVOMLQLPHLFFAI66CA,短竹段,.15,都市：住
RPVOMLQLPHLFFAI66CA,短竹段,10.47,都市：住
RPXNMLNKPHLFFAI56EA,中山段一小段,76.00,都市：住
RPXNMLNKPHLFFAI56EA,中山段一小段,4.00,都市：住
RPXNMLNKPHLFFAI56EA,中山段一小段,17.00,都市：住
RPQNMLKKQHLFFAI28EA,短竹段,7.92,都市：住
RPQNMLKKQHLFFAI28EA,短竹段,.10,都市：住
RPQNMLKKQHLFFAI28EA,短竹段,6.71,都市：住
RPVNMLMLPHLFFAI98EA,新厝段,1015.00,都市：農
RPWNMLMLPHLFFAI09EA,新厝段,1015.00,都市：農
RPUNMLSLPHLFFAI86EA,下路頭段,130.00,都市：住
RPQNMLSLPHLFFAI88CA,同興段,20.50,都市：住
RPWNMLLJQHLFFAI68CA,北社尾段,30.48,都市：其他
RPWNMLLJQHLFFAI68CA,北社尾段,54.00,都市：住
RPWNMLLJQHLFFAI68CA,北社尾段,9.00,都市：住
RPPNMLSJQHLFFAI68CA,何庄段,80.75,都市：住
RPPNMLSJQHLFFAI68CA,何庄段,366.61,都市：住
RPWNMLKLPHLFFAI68CA,玉川段,59.00,都市：住
RPWNMLKLPHLFFAI68CA,玉川段,2.81,都市：住
RPWNMLKLPHLFFAI68CA,玉川段,9.94,都市：住
RPXNMLKLPHLFFAI78CA,玉川段,58.00,都市：住
RPXNMLKLPHLFFAI78CA,玉川段,2.81,都市：住
RPXNMLKLPHLFFAI78CA,玉川段,9.94,都市：住
RPQNMLSKPHLFFAI78CA,劉厝段玉山小段,137.56,都市：住
RPQOMLQLPHLFFAI78CA,車店段,150.00,都市：住
RPSNMLOLPHLFFAI68CA,車店段車店小段,32.22,都市：商
RPTOMLLLPHLFFAI58CA,檜段一小段,19.00,都市：住
RPTOMLLLPHLFFAI58CA,檜段一小段,63.00,都市：住
RPRNMLMLPHLFFAI38CA,新富段六小段,54.00,都市：商
RPSNMLOKPHLFFAI58CA,末廣段五小段,23.16,都市：住
RPPNMLOKPHLFFAI28CA,下路頭段,223.00,都市：住
RPPNMLPKPHLFFAI38CA,頂庄段,3.64,都市：住
RPPNMLPKPHLFFAI38CA,頂庄段,.80,都市：住
RPPNMLPKPHLFFAI38CA,頂庄段,2.59,都市：住
RPPNMLPKPHLFFAI38CA,頂庄段,7.34,都市：住
RPPNMLPKPHLFFAI38CA,頂庄段,.62,都市：住
RPPNMLPKPHLFFAI38CA,頂庄段,80.00,都市：住
RPSNMLRKPHLFFAI88CA,短竹段,13.33,都市：住
RPTNMLPLPHLFFAI88CA,台斗坑段,17.73,都市：住
RPOOMLLLPHLFFAI08CA,玉川段,17.14,都市：住
RPUOMLQLPHLFFAI56CA,興村段,12.50,都市：住
RPUNMLPKPHLFFAI09EA,溪厝段,38.03,都市：農
RPTNMLSKPHLFFAI66EA,遠東段,17.73,都市：住
RPQOMLKLPHLFFAI38EA,新富段五小段,4.98,都市：商
RPQOMLKLPHLFFAI38EA,新富段五小段,8.01,都市：商
