鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新埔鎮,土地,正興段31~60地號,28.71,住,,,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1996407,69537,,0.0,0,,RPQOMLPJPHLFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段1~30號,41.44,商,,,1050613,土地1建物1車位2,十四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050111,372.07,4,2,4,有,有,40860000,129667,坡道平面,79.32,2900000,,RPROMLPJPHLFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段1~30號,38.51,商,,,1050524,土地1建物1車位2,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050111,349.12,4,2,3,有,有,37360000,128836,坡道平面,79.32,2600000,,RPSOMLPJPHLFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段1~30號,46.31,商,,,1050607,土地1建物1車位2,二十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050111,414.01,4,2,4,有,有,53270000,147808,坡道平面,79.32,3800000,,RPUOMLPJPHLFFBJ09CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬南路151~180號,41.88,商,,,1050514,土地1建物1車位2,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030722,395.28,3,2,4,有,有,31000000,82820,坡道平面,47.54,2200000,,RPPQMLPJPHLFFBJ78CA
竹北市,土地,泰和段481~510地號,12.96,工,,,1050505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,548800,42346,,0.0,0,,RPXOMLQJPHLFFBJ86CA
竹北市,土地,泰和段481~510地號,7.95,工,,,1050505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,336000,42264,,0.0,0,,RPRPMLQJPHLFFBJ98CA
竹北市,土地,泰和段481~510地號,12.09,工,,,1050505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,512400,42382,,0.0,0,,RPTPMLQJPHLFFBJ56CA
竹北市,土地,泰和段481~510地號,12.09,工,,,1050505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,512400,42382,,0.0,0,,RPUPMLQJPHLFFBJ66CA
竹北市,土地,泰和段481~510地號,37.48,工,,,1050415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1586400,42327,,0.0,0,,RPVPMLQJPHLFFBJ76CA
