編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLPJPHLFFBJ78CA,,195.59,住家用,鋼筋混凝土造,105年1月11日,二十一層,十四層
RPROMLPJPHLFFBJ78CA,,44.29,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPROMLPJPHLFFBJ78CA,,52.88,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPROMLPJPHLFFBJ78CA,,79.32,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPSOMLPJPHLFFBJ88CA,,181.11,住家用,鋼筋混凝土造,105年1月11日,二十層,十三層
RPSOMLPJPHLFFBJ88CA,,49.05,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPSOMLPJPHLFFBJ88CA,,79.32,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPSOMLPJPHLFFBJ88CA,,39.64,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPUOMLPJPHLFFBJ09CA,,225.25,住家用,鋼筋混凝土造,105年1月11日,二十層,二十層
RPUOMLPJPHLFFBJ09CA,,60.52,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPUOMLPJPHLFFBJ09CA,,79.32,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
RPUOMLPJPHLFFBJ09CA,,48.92,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPPQMLPJPHLFFBJ78CA,2,237.14,住家用,鋼筋混凝土造,103年7月22日,二十四層,十三層
RPPQMLPJPHLFFBJ78CA,2,45.34,見其他登記事項,鋼筋混凝土造,103年7月22日,二十四層,
RPPQMLPJPHLFFBJ78CA,2,112.80,見其他登記事項,鋼筋混凝土造,103年7月22日,二十四層,
RPTNMLRJPHLFFBJ09CA,20,213.06,住家用,鋼筋混凝土造,84年12月30日,三層,一層 二層 三層 地下層
RPTNMLRJPHLFFBJ09CA,20,20.76,共用部分,鋼筋混凝土造,84年12月30日,三層,
RPRNMLNKPHLFFBJ58CA,1,134.15,住家用,鋼筋混凝土造,104年9月17日,十四層,六層
RPRNMLNKPHLFFBJ58CA,1,101.87,見其他登記事項,鋼筋混凝土造,104年9月17日,十四層,
RPRNMLNKPHLFFBJ58CA,1,24.16,見其他登記事項,鋼筋混凝土造,104年9月17日,十四層,
RPXOMLNKPHLFFBJ66CA,24,66.05,住家用,鋼筋混凝土造,81年5月13日,六層,六層
RPXOMLNKPHLFFBJ66CA,24,12.51,共用部分,鋼筋混凝土造,81年5月13日,六層,
RPXOMLNKPHLFFBJ66CA,24,28.91,共用部分,鋼筋混凝土造,81年5月13日,六層,
RPTNMLOKPHLFFBJ88CA,2,135.00,住家用,鋼筋混凝土造,103年9月1日,十五層,十五層
RPTNMLOKPHLFFBJ88CA,2,106.03,見其他登記事項,鋼筋混凝土造,103年9月1日,十五層,
RPTNMLOKPHLFFBJ88CA,2,28.49,見其他登記事項,鋼筋混凝土造,103年9月1日,十五層,
RPUNMLPKPHLFFBJ09CA,22,86.51,住家用,鋼筋混凝土造,83年2月8日,九層,八層
RPUNMLPKPHLFFBJ09CA,22,16.50,共用部分,鋼筋混凝土造,83年2月8日,九層,
RPUNMLPKPHLFFBJ09CA,22,3.98,共用部分,鋼筋混凝土造,83年2月8日,九層,
RPUNMLRKPHLFFBJ66CA,,322.21,住家用,鋼筋混凝土造,104年12月14日,二十六層,十二層
RPUNMLRKPHLFFBJ66CA,,25.61,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPUNMLRKPHLFFBJ66CA,,72.75,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPUNMLRKPHLFFBJ66CA,,181.83,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPWNMLRKPHLFFBJ86CA,,323.20,住家用,鋼筋混凝土造,104年12月14日,二十六層,十一層
RPWNMLRKPHLFFBJ86CA,,72.75,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPWNMLRKPHLFFBJ86CA,,26.10,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPWNMLRKPHLFFBJ86CA,,182.85,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPXNMLRKPHLFFBJ96CA,,313.07,住家用,鋼筋混凝土造,104年12月14日,二十六層,二十六層
RPXNMLRKPHLFFBJ96CA,,72.75,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPXNMLRKPHLFFBJ96CA,,24.62,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPXNMLRKPHLFFBJ96CA,,228.74,見其他登記事項,鋼筋混凝土造,104年12月14日,二十六層,
RPTPMLLJPHLFFCJ78CA,,93.74,住家用,鋼筋混凝土造,,二層,一層 二層
