鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
竹北市,建物,新竹縣竹北市光明六路301~330號,0.0,住,,,1050615,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0921105,187.85,5,2,3,有,無,有,48000,256,,0.0,0,,RPPRMLLJPHLFFBJ68CC
竹北市,建物,新竹縣竹北市六家五路二段181~210號,0.0,住,,,1050606,土地0建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010328,261.05,4,2,2,有,有,有,32000,123,坡道平面,0.0,0,,RPRNMLQJPHLFFBJ98CC
竹北市,建物,新竹縣竹北市六家五路一段211~240號,0.0,住,,,1050630,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030127,116.41,2,2,1,有,有,有,24974,215,坡道機械,0.0,0,租金含稅,RPWNMLRJPHLFFBJ96CC
竹北市,建物,新竹縣竹北市自強北路168巷1~30號,0.0,住,,,1050623,土地0建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940131,134.56,3,2,2,有,有,有,20000,149,坡道平面,0.0,0,,RPXNMLRJPHLFFBJ07CC
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段331~360號,39.59,其他,,,1050701,土地1建物1車位2,一層,22,店面(店鋪),住商用,鋼筋混凝土造,1021107,233.68,0,0,2,有,有,無,23000,98,坡道平面,0.0,0,,RPXOMLRJPHLFFBJ17CC
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段331~360號,44.16,其他,,,1050302,土地1建物1車位1,一層,22,店面(店鋪),住商用,鋼筋混凝土造,1021107,228.43,0,0,2,有,有,無,25000,109,坡道平面,0.0,0,,RPOPMLRJPHLFFBJ98CC
竹北市,建物,新竹縣竹北市六家五路一段211~240號,0.0,商,,,1050627,土地0建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,1030127,159.88,1,0,2,有,有,無,35800,224,坡道機械,0.0,0,,RPPOMLLKPHLFFBJ48CC
竹北市,建物,新竹縣竹北市莊敬三路241~270號,0.0,商,,,1050621,土地0建物1車位1,二十四層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417,150.57,3,2,2,有,有,無,20000,133,坡道平面,0.0,0,租金含管,RPQOMLLKPHLFFBJ58CC
竹北市,建物,新竹縣竹北市新工五路1~30號,0.0,住,,,1050623,土地0建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030128,108.85,2,2,1,有,有,有,15500,142,坡道平面,0.0,0,租金含管.網路.第四台,RPROMLLKPHLFFBJ68CC
竹北市,建物,新竹縣竹北市光明九路61~90號,0.0,住,,,1050621,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910419,119.97999999999999,3,2,2,有,有,有,18000,150,,0.0,0,租金含管,RPSOMLLKPHLFFBJ78CC
竹北市,建物,新竹縣竹北市縣政三街61~90號,0.0,住,,,1050629,土地0建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861104,106.52000000000001,3,2,2,有,有,有,17000,160,坡道平面,0.0,0,租金含管,RPTOMLLKPHLFFBJ88CC
竹北市,建物,新竹縣竹北市嘉豐十一路一段91~120號,0.0,商,,,1050620,土地0建物1車位2,十層,14,辦公商業大樓,商業用,鋼筋混凝土造,0970321,201.06,1,0,0,有,有,無,40000,199,坡道平面,0.0,0,,RPUOMLLKPHLFFBJ98CC
竹北市,建物,新竹縣竹北市嘉豐一街121~150號,0.0,住,,,1050630,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0940504,145.89999999999998,3,2,2,有,有,有,15000,103,坡道平面,0.0,0,租金含管續租,RPVOMLLKPHLFFBJ09CC
竹北市,建物,新竹縣竹北市復興二路61~90號,0.0,住,,,1050630,土地0建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001222,175.24,3,2,2,有,有,有,22704,130,坡道平面,0.0,0,租金含稅續租,RPXOMLLKPHLFFBJ66CC
竹北市,建物,新竹縣竹北市隘口六街31~60號,0.0,住,,,1050628,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970609,51.56,2,2,1,有,有,有,15666,304,,0.0,0,,RPOPMLLKPHLFFBJ48CC
竹北市,建物,新竹縣竹北市縣政五街1~30號,0.0,商,,,1050615,土地0建物1車位0,七層,7,套房(1房1廳1衛),商業用,鋼筋混凝土造,0931222,34.99,1,0,1,有,有,有,8333,238,,0.0,0,租金含稅續租,RPPPMLLKPHLFFBJ58CC
竹北市,房地(土地+建物),新竹縣竹北市光明六路東一段211~240號,0.0,商,,,1050614,土地1建物1車位0,一層,15,店面(店鋪),住商用,鋼筋混凝土造,0941004,157.94,0,0,1,有,有,無,120000,760,,0.0,0,,RPVNMLLKPHLFFBJ09DC
竹北市,土地,泰和段541~570地號,727.27,工,,,1050617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,138,,0.0,0,移轉標的含未保存建物登記含增建或未登記建物。,RPWOMLLKPHLFFBJ66DC
