編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPRMLLJPHLFFBJ68CC,13,131.51,商業用,鋼筋混凝土造,92年11月5日,五層,
RPPRMLLJPHLFFBJ68CC,13,56.34,共用部分,鋼筋混凝土造,92年11月5日,五層,
RPRNMLQJPHLFFBJ98CC,4,114.10,住家用,鋼筋混凝土造,101年3月28日,二十四層,
RPRNMLQJPHLFFBJ98CC,4,20.81,見其他登記事項,鋼筋混凝土造,101年3月28日,二十四層,
RPRNMLQJPHLFFBJ98CC,4,31.15,見其他登記事項,鋼筋混凝土造,101年3月28日,二十四層,
RPRNMLQJPHLFFBJ98CC,4,.04,商業用,鋼筋混凝土造,101年3月28日,二十四層,
RPRNMLQJPHLFFBJ98CC,4,94.95,見其他登記事項,鋼筋混凝土造,101年3月28日,二十四層,
RPWNMLRJPHLFFBJ96CC,2,67.61,住家用,鋼筋混凝土造,103年1月27日,十四層,
RPWNMLRJPHLFFBJ96CC,2,48.80,見其他登記事項,鋼筋混凝土造,103年1月27日,十四層,
RPXNMLRJPHLFFBJ07CC,11,104.76,住家用,鋼筋混凝土造,94年1月31日,十四層,
RPXNMLRJPHLFFBJ07CC,11,14.13,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPXNMLRJPHLFFBJ07CC,11,15.67,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPXOMLRJPHLFFBJ17CC,3,.06,住家用,鋼筋混凝土造,102年11月7日,二十二層,
RPXOMLRJPHLFFBJ17CC,3,98.09,見其他登記事項,鋼筋混凝土造,102年11月6日,二十二層,
RPXOMLRJPHLFFBJ17CC,3,135.53,住商用,鋼筋混凝土造,102年11月7日,二十二層,
RPOPMLRJPHLFFBJ98CC,2,.03,住家用,鋼筋混凝土造,102年11月7日,二十二層,
RPOPMLRJPHLFFBJ98CC,2,70.19,見其他登記事項,鋼筋混凝土造,102年11月6日,二十二層,
RPOPMLRJPHLFFBJ98CC,2,158.21,住商用,鋼筋混凝土造,102年11月7日,二十二層,
RPPOMLLKPHLFFBJ48CC,2,74.38,商業用,鋼筋混凝土造,103年1月27日,十四層,
RPPOMLLKPHLFFBJ48CC,2,85.50,見其他登記事項,鋼筋混凝土造,103年1月27日,十四層,
RPQOMLLKPHLFFBJ58CC,1,103.13,住家用,鋼筋混凝土造,104年4月17日,二十九層,
RPQOMLLKPHLFFBJ58CC,1,17.84,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPQOMLLKPHLFFBJ58CC,1,6.36,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPQOMLLKPHLFFBJ58CC,1,23.24,見其他登記事項,鋼筋混凝土造,104年4月17日,二十九層,
RPROMLLKPHLFFBJ68CC,2,54.55,住家用,鋼筋混凝土造,103年1月28日,十層,
RPROMLLKPHLFFBJ68CC,2,42.42,見其他登記事項,鋼筋混凝土造,103年1月28日,十層,
RPROMLLKPHLFFBJ68CC,2,11.88,見其他登記事項,鋼筋混凝土造,103年1月28日,十層,
RPSOMLLKPHLFFBJ78CC,14,92.74,住家用,鋼筋混凝土造,91年4月19日,十層,
RPSOMLLKPHLFFBJ78CC,14,14.13,共用部分,鋼筋混凝土造,91年4月19日,十層,
RPSOMLLKPHLFFBJ78CC,14,13.11,共用部分,鋼筋混凝土造,91年4月19日,十層,
RPTOMLLKPHLFFBJ88CC,19,85.95,住家用,鋼筋混凝土造,86年11月4日,九層,
RPTOMLLKPHLFFBJ88CC,19,10.13,共用部分,鋼筋混凝土造,86年11月4日,九層,
RPTOMLLKPHLFFBJ88CC,19,10.44,共用部分,鋼筋混凝土造,86年11月4日,九層,
RPUOMLLKPHLFFBJ98CC,8,152.14,商業用,鋼筋混凝土造,97年3月21日,十四層,
RPUOMLLKPHLFFBJ98CC,8,15.63,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPUOMLLKPHLFFBJ98CC,8,33.29,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPVOMLLKPHLFFBJ09CC,11,72.08,商業用,鋼筋混凝土造,94年5月4日,七層,
RPVOMLLKPHLFFBJ09CC,11,13.13,共用部分,鋼筋混凝土造,94年5月4日,七層,
RPVOMLLKPHLFFBJ09CC,11,60.69,共用部分,鋼筋混凝土造,94年5月4日,七層,
RPXOMLLKPHLFFBJ66CC,5,95.47,住家用,鋼筋混凝土造,100年12月22日,十三層,
RPXOMLLKPHLFFBJ66CC,5,18.53,見其他登記事項,鋼筋混凝土造,100年12月22日,十三層,
RPXOMLLKPHLFFBJ66CC,5,61.24,見其他登記事項,鋼筋混凝土造,100年12月22日,十三層,
RPOPMLLKPHLFFBJ48CC,8,35.86,商業用,鋼筋混凝土造,97年6月9日,九層,
RPOPMLLKPHLFFBJ48CC,8,10.65,共用部分,鋼筋混凝土造,97年6月9日,九層,
RPOPMLLKPHLFFBJ48CC,8,5.05,共用部分,鋼筋混凝土造,97年6月9日,九層,
RPPPMLLKPHLFFBJ58CC,11,21.98,商業用,鋼筋混凝土造,93年12月22日,七層,
RPPPMLLKPHLFFBJ58CC,11,13.01,共用部分,鋼筋混凝土造,93年12月22日,七層,
RPVNMLLKPHLFFBJ09DC,11,119.94,住商用,鋼筋混凝土造,94年10月4日,十五層,
RPVNMLLKPHLFFBJ09DC,11,22.84,共用部分,鋼筋混凝土造,94年10月4日,十五層,
RPVNMLLKPHLFFBJ09DC,11,15.16,共用部分,鋼筋混凝土造,94年10月4日,十五層,
