編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPRMLLJPHLFFBJ68CC,縣華段,.00,都市：住
RPRNMLQJPHLFFBJ98CC,隘興段,.00,都市：住
RPWNMLRJPHLFFBJ96CC,家興段,.00,都市：住
RPXNMLRJPHLFFBJ07CC,大學段,.00,都市：住
RPXOMLRJPHLFFBJ17CC,永興段,39.59,都市：其他
RPOPMLRJPHLFFBJ98CC,永興段,44.16,都市：其他
RPPOMLLKPHLFFBJ48CC,家興段,.00,都市：商
RPQOMLLKPHLFFBJ58CC,莊敬段,.00,都市：商
RPROMLLKPHLFFBJ68CC,東華段,.00,都市：住
RPSOMLLKPHLFFBJ78CC,縣福段,.00,都市：住
RPTOMLLKPHLFFBJ88CC,縣福段,.00,都市：住
RPUOMLLKPHLFFBJ98CC,永興段,.00,都市：商
RPVOMLLKPHLFFBJ09CC,公園段,.00,都市：住
RPXOMLLKPHLFFBJ66CC,永興段,.00,都市：住
RPOPMLLKPHLFFBJ48CC,隘興段,.00,都市：住
RPPPMLLKPHLFFBJ58CC,縣福段,.00,都市：商
RPVNMLLKPHLFFBJ09DC,大學段,.00,都市：商
RPWOMLLKPHLFFBJ66DC,泰和段,727.27,都市：工
