鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
公館鄉,土地,大坑段301~330地號,896.0,,山坡地保育區,丙種建築用地,1050413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5700000,6362,,0.0,0,,RPUNMLOJPHLFFBK98CA
苗栗市,房地(土地+建物),苗栗縣苗栗巿恭敬里5鄰恭敬路76巷1~30號,12.0,住,,,1050606,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0890710,44.13,2,0,2,有,有,950000,21527,,0.0,0,,RPQNMLPJPHLFFBK68CA
苗栗市,房地(土地+建物),苗栗縣苗栗巿維祥里11鄰光華街仁愛巷1~30號,99.0,,鄉村區,乙種建築用地,1050613,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,103.24,3,2,2,有,無,2420000,23441,,0.0,0,,RPUNMLPJPHLFFBK09CA
公館鄉,房地(土地+建物),苗栗縣公館鄉?中村12鄰近光路61~90號,58.79,商,,,1050624,土地2建物1車位0,全,二層,透天厝,住家用,木造,,68.21,5,1,1,有,無,3000000,43982,,0.0,0,"親友、員工或其他特殊關係間之交易。承買人係共有人,增值稅2801元由買方繳納",RPWNMLPJPHLFFBK66CA
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴岡村2鄰鶴岡31~60號,800.0,,特定農業區,農牧用地,1050613,土地3建物1車位0,全,,透天厝,住家用,鋼筋混凝土造,0830509,180.72,5,2,3,有,無,2626900,14536,,0.0,0,親友關係間之交易。,RPPNMLQJPHLFFBK68CA
頭屋鄉,房地(土地+建物),苗栗縣頭屋鄉頭屋村3鄰尖豐路1~30號,124.85,住,,,1050614,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050204,197.77,3,2,2,有,無,8200000,41462,,0.0,0,,RPSNMLMKPHLFFBK68CA
頭屋鄉,房地(土地+建物),苗栗縣頭屋鄉頭屋村3鄰尖豐路1~30號,111.12,住,,,1050614,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050204,186.66,3,2,2,有,無,7360000,39430,,0.0,0,,RPTNMLMKPHLFFBK78CA
苗栗市,房地(土地+建物),苗栗縣苗栗巿恭敬里8鄰中正路1081~1110號,3.62,住,,,1050619,土地3建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960716,28.17,1,1,1,有,有,930000,33014,,0.0,0,,RPTNMLLKPHLFFBK68CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗巿綠苗里17鄰博愛街91~120號,22.06,住,,,1050615,土地1建物2車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830601,143.86,3,2,2,有,有,3200000,22244,坡道機械,11.79,0,,RPWNMLLKPHLFFBK98CA
頭屋鄉,土地,仁隆段391~420地號,408.0,,山坡地保育區,農牧用地,1050526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2035000,4988,,0.0,0,,RPWNMLTKPHLFFBK17CA
頭屋鄉,土地,仁隆段421~450地號,264.91,,山坡地保育區,農牧用地,1050601,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1488500,5619,,0.0,0,,RPXNMLTKPHLFFBK27CA
苗栗市,房地(土地+建物),苗栗縣苗栗巿北安街31~60號,23.2,住,,,1050607,土地1建物1車位0,四層,,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720710,85.8,0,0,0,無,無,1750000,20396,,0.0,0,,RPSNMLRLPHLFFBK66CA
頭屋鄉,土地,頭屋段二小段1051~1080地號,136.3,住,,,1050527,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4090000,30007,,0.0,0,,RPUNMLRLPHLFFBK86CA
頭屋鄉,建物,苗栗縣頭屋鄉頭屋村24鄰尖豐路121~150號,0.0,,,,1050527,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040213,248.73,5,2,3,有,無,4090000,16444,,0.0,0,,RPVNMLRLPHLFFBK96CA
苗栗市,房地(土地+建物),苗栗縣苗栗巿文山里13鄰祥發街61~90號,25.99,住,,,1050610,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950908,137.88,3,1,1,有,無,5380000,39019,,0.0,0,,RPPNMLOJQHLFFBK58CA
苑裡鎮,土地,新興段91~120地號,201.72,住,,,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,25283,,0.0,0,,RPPNMLLJPHLFFCK28CA
通霄鎮,房地(土地+建物),苗栗縣通霄鎮平元里12鄰平新一路121~150號,94.0,住,,,1050619,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831129,246.68,5,2,4,有,無,8300000,33647,,0.0,0,,RPQNMLOJPHLFFCK68CA
苑裡鎮,土地,新興段841~870地號,99.17,住,,,1050603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,42352,,0.0,0,,RPTNMLOJPHLFFCK98CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮社苓里6鄰社苓31~60號,265.0,,特定農業區,甲種建築用地,1050425,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0791120,113.5,3,1,2,有,無,3720000,32775,,0.0,0,,RPRNMLLLPHLFFCK68CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮海口里22鄰育才路23巷21弄1~30號,98.46,住,,,1050528,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0970613,209.66,4,2,3,有,無,7500000,35772,,0.0,0,,RPSNMLQJPHLFFDK56CA
銅鑼鄉,土地,樟樹段661~690地號,2636.27,,特定農業區,農牧用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6600000,2504,,0.0,0,,RPPNMLRJPHLFFEK09CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮珊湖里2鄰學府路73巷1~30號,60.37,,山坡地保育區,丙種建築用地,1050523,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820703,117.75,6,0,6,有,無,1600000,13588,,0.0,0,,RPPNMLOJPHLFFFK88CA
頭份鎮,土地,東興段151~180地號,3460.0,,河川區,農牧用地,1050531,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3536360,1022,,0.0,0,,RPPNMLPJPHLFFFK98CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮天文里15鄰龍昇街107巷1~30號,40.57,住,,,1050529,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040710,127.78999999999999,3,2,2,有,無,5600000,43822,一樓平面,0.0,0,,RPRNMLPJPHLFFDK09DA
銅鑼鄉,土地,樟樹段1~30地號,331.07,,山坡地保育區,丙種建築用地,1050612,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,6041,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLOJPHLFFEK66DA
三義鄉,土地,五穀段1051~1080地號,70.26,住,,,1050630,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,9251,,0.0,0,畸零地或有合併使用之交易。,RPQNMLTLPHLFFEK07DA
三灣鄉,土地,永和山段571~600地號,3870.0,,山坡地保育區,農牧用地,1050530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7740000,2000,,0.0,0,,RPQNMLLJPHLFFFK78DA
苗栗市,房地(土地+建物),苗栗縣苗栗巿福麗里33鄰忠孝31~60號,59.33,,山坡地保育區,丙種建築用地,1050627,土地1建物1車位0,全,,透天厝,住家用,加強磚造,0701008,104.89,2,2,2,有,無,2000000,19068,,0.0,0,,RPRNMLMJQHLFFBK78EA
頭份鎮,房地(土地+建物)+車位,苗栗縣頭份鎮山下里13鄰翠亨路143巷1弄1~30號,40.28,其他,,,1050602,土地2建物1車位1,四層，五層，電梯樓梯間,五層,其他,住家用,見其他登記事項,0951218,147.13,3,2,3,有,無,6250000,42479,一樓平面,0.0,0,,RPPNMLKLPHLFFFK68CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮東庄里11鄰忠孝一路37巷1~30號,129.79,住,,,1050704,土地6建物1車位0,全,三層,透天厝,住家用,見其他登記事項,0690412,228.6,4,1,3,有,無,14500000,63430,,0.0,0,,RPQNMLMLPHLFFFK98CA
頭份鎮,土地,水源段211~240地號,110.62,,山坡地保育區,林業用地,1050615,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,88493,800,,0.0,0,農地之私設道路地,RPQNMLSLPHLFFFK96CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮自強里3鄰中華路1101巷1~30號,26.29,住,,,1050527,土地5建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0711029,73.84,2,1,1,有,無,2700000,36566,,0.0,0,,RPPNMLTLPHLFFFK96CA
三灣鄉,土地,永和山段1051~1080地號,2512.0,,山坡地保育區,農牧用地,1050509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5300000,2110,,0.0,0,,RPXNMLPJPHLFFFK17CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮自強里11鄰中華路1201~1230號,24.57,住,,,1050525,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,見其他登記事項,1000422,158.1,3,1,3,有,無,9000000,56926,,0.0,0,,RPRNMLQJPHLFFFK66CA
銅鑼鄉,土地,竹圍段181~210地號,227.0,,,,1050605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,204628,901,,0.0,0,,RPRNMLRLPHLFFEK86CA
銅鑼鄉,土地,竹圍段181~210地號,614.0,,,,1050605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,553489,901,,0.0,0,,RPSNMLRLPHLFFEK96CA
