編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLPJPHLFFBK68CA,16,34.67,住家用,鋼筋混凝土造,89年7月10日,五層,二層
RPQNMLPJPHLFFBK68CA,16,9.46,共有部分,鋼筋混凝土造,89年7月10日,,
RPUNMLPJPHLFFBK09CA,,103.24,住家用,加強磚造,,二層,一層 二層
RPWNMLPJPHLFFBK66CA,,68.21,住家用,木造,,二層,一層 二層 騎樓
RPPNMLQJPHLFFBK68CA,22,180.72,住家用,鋼筋混凝土造,83年5月9日,,一層 二層 三層
RPSNMLMKPHLFFBK68CA,,197.77,住家用,鋼筋混凝土造,105年2月4日,三層,一層 二層 三層 屋頂突出物
RPTNMLMKPHLFFBK78CA,,186.66,住家用,鋼筋混凝土造,105年2月4日,三層,一層 二層 三層 屋頂突出物
RPTNMLLKPHLFFBK68CA,9,17.98,住家用,鋼筋混凝土造,96年7月16日,十層,七層
RPTNMLLKPHLFFBK68CA,9,10.19,共有部分,鋼筋混凝土造,96年7月16日,十層,
RPWNMLLKPHLFFBK98CA,22,94.67,住家用,鋼筋混凝土造,83年6月1日,十層,四層
RPWNMLLKPHLFFBK98CA,22,11.80,見其他登記事項,鋼筋混凝土造,83年6月1日,,地下二層
RPWNMLLKPHLFFBK98CA,22,19.06,見其他登記事項,鋼筋混凝土造,83年6月1日,,
RPWNMLLKPHLFFBK98CA,22,18.33,見其他登記事項,鋼筋混凝土造,83年6月1日,,
RPSNMLRLPHLFFBK66CA,33,79.99,住家用,鋼筋混凝土造,72年7月10日,,四層
RPSNMLRLPHLFFBK66CA,33,5.81,住家用,鋼筋混凝土造,72年7月10日,,
RPVNMLRLPHLFFBK96CA,1,248.73,住家用,鋼筋混凝土造,104年2月13日,四層,一層 二層 三層 四層
RPPNMLOJQHLFFBK58CA,10,99.49,住家用,鋼筋混凝土造,95年9月8日,六層,四層
RPPNMLOJQHLFFBK58CA,10,38.39,共有部分,鋼筋混凝土造,95年9月8日,六層,
RPQNMLOJPHLFFCK68CA,22,246.68,住家用,鋼筋混凝土造,83年11月29日,四層,一層 二層 三層 四層 騎樓
RPRNMLLLPHLFFCK68CA,25,113.50,住家用,加強磚造,79年11月20日,二層,一層 二層
RPSNMLQJPHLFFDK56CA,8,209.66,見其他登記事項,鋼筋混凝土造,97年6月13日,五層,一層 二層 三層 四層 五層
RPPNMLOJPHLFFFK88CA,23,111.35,住家用,鋼筋混凝土造,82年7月3日,四層,三層
RPPNMLOJPHLFFFK88CA,23,6.40,見其他登記事項,鋼筋混凝土造,82年7月3日,四層,
RPRNMLPJPHLFFDK09DA,1,92.58,見其他登記事項,鋼筋混凝土造,104年7月10日,五層,二層
RPRNMLPJPHLFFDK09DA,1,35.21,共有部分,鋼筋混凝土造,104年7月10日,五層,
RPRNMLMJQHLFFBK78EA,35,104.89,住家用,加強磚造,70年10月8日,,一層 二層
RPPNMLKLPHLFFFK68CA,9,113.06,住家用,見其他登記事項,95年12月18日,五層,四層 五層 電梯樓梯間
RPPNMLKLPHLFFFK68CA,9,34.07,見其他登記事項,見其他登記事項,95年12月18日,四層,
RPQNMLMLPHLFFFK98CA,36,228.60,住家用,見其他登記事項,69年4月12日,三層,一層 二層 三層 屋頂突出物
RPPNMLTLPHLFFFK96CA,34,73.84,商業用,鋼筋混凝土造,71年10月29日,四層,一層
RPRNMLQJPHLFFFK66CA,5,100.25,住家用,見其他登記事項,100年4月22日,七層,六層
RPRNMLQJPHLFFFK66CA,5,57.85,見其他登記事項,見其他登記事項,100年4月22日,七層,
RPTNMLNJQHLFFEK56CA,26,109.96,住商用,鋼筋混凝土造,78年12月8日,四層,一層 二層 三層 四層 騎樓
RPPNMLRJPHLFFFK56CA,12,195.40,見其他登記事項,鋼筋混凝土造,92年12月25日,四層,一層 二層 三層 四層 電梯樓梯間
RPQNMLOKPHLFFEK98CA,30,207.93,見其他登記事項,鋼筋混凝土造,74年12月29日,三層,一層 二層 三層 屋頂突出物 騎樓
RPVNMLRJPHLFFDK96CA,8,198.02,見其他登記事項,鋼筋混凝土造,97年1月18日,四層,一層 二層 三層 四層
RPSNMLPJPHLFFDK09CA,21,309.84,住家用,鋼筋混凝土造,84年4月11日,五層,一層 二層 三層 四層 五層 屋頂突出物 騎樓 地下層
RPWNMLNKPHLFFDK76CA,,267.30,見其他登記事項,鋼筋混凝土造,105年3月1日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPPOMLNKPHLFFDK78CA,,241.64,見其他登記事項,鋼筋混凝土造,105年3月1日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPVNMLPKPHLFFBK66CA,,172.09,住家用,加強磚造,,,一層 二層 三層
SPVNMLPKPHLFFBK76CA,,175.66,住家用,加強磚造,,,一層 二層 三層
