編號,車位類別,車位價格,車位面積平方公尺
RPWNMLLKPHLFFBK98CA,坡道機械,0,11.79
RPRNMLPJPHLFFDK09DA,一樓平面,0,
RPPNMLKLPHLFFFK68CA,一樓平面,0,
RPWNMLRJPHLFFDK07CA,坡道平面,0,
RPPNMLMJQHLFFDK58CA,坡道平面,900000,
RPRNMLMJQHLFFDK78CA,坡道平面,900000,
RPXNMLMJQHLFFDK76CA,升降機械,450000,
RPOOMLMJQHLFFDK58CA,升降機械,450000,
RPPOMLMJQHLFFDK68CA,升降機械,450000,
RPQOMLMJQHLFFDK78CA,坡道平面,900000,
RPROMLMJQHLFFDK88CA,升降機械,450000,
RPSOMLMJQHLFFDK98CA,坡道平面,900000,
RPTOMLMJQHLFFDK09CA,升降機械,450000,
RPUOMLMJQHLFFDK56CA,升降機械,450000,
RPVOMLMJQHLFFDK66CA,坡道平面,900000,
RPWOMLMJQHLFFDK76CA,升降機械,450000,
RPXOMLMJQHLFFDK86CA,坡道平面,900000,
RPOPMLMJQHLFFDK68CA,升降機械,450000,
RPXNMLNJQHLFFDK86CA,坡道平面,900000,
RPTNMLNKPHLFFDK56DA,坡道平面,0,
RPUNMLQJPHLFFFK96CA,坡道平面,0,
RPQNMLSJPHLFFFK76CA,一樓平面,0,
RPQNMLLKPHLFFFK78CA,坡道平面,0,
RPOOMLOKPHLFFFK98CA,坡道機械,0,
RPQNMLMKPHLFFDK68CA,坡道平面,800000,
RPRNMLMKPHLFFDK78CA,坡道平面,0,
RPSNMLMKPHLFFDK88CA,坡道平面,0,
RPXNMLRJPHLFFDK17CA,一樓平面,0,
RPPNMLSKPHLFFDK56CA,坡道平面,0,
RPQNMLLLPHLFFDK68CA,坡道平面,0,
RPQOMLMLPHLFFDK88CA,坡道平面,0,
RPQNMLRJPHLFFBK88CA,升降機械,600000,12.00
RPPOMLRJPHLFFDK09CA,升降機械,0,
RPOOMLLKPHLFFDK48CA,坡道機械,0,
RPVOMLMKPHLFFDK66CA,其他,0,
RPTNMLOKPHLFFDK56CA,其他,0,
RPRNMLNKPHLFFFK09CA,坡道機械,0,
RPPOMLOKPHLFFFK09CA,坡道平面,0,
RPTNMLKLPHLFFBK68CA,一樓平面,0,
RPUNMLKLPHLFFBK78CA,一樓平面,0,
RPVNMLKLPHLFFBK88CA,一樓平面,0,
RPWNMLKLPHLFFBK98CA,一樓平面,0,
RPPPMLRLPHLFFDK76CA,升降機械,0,
RPXNMLOKPHLFFFK17CA,坡道平面,0,
RPSNMLTKPHLFFDK96CA,升降機械,400000,
RPUNMLTKPHLFFFK37CA,升降機械,0,9.96
RPVNMLTKPHLFFFK47CA,升降機械,0,9.96
RPXNMLTKPHLFFFK67CA,坡道平面,0,
RPVNMLQLPHLFFFK27CA,坡道平面,0,
RPVNMLTKPHLFFBK07CA,升降機械,600000,12.00
