鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中寮鄉,土地,二重溪段91~120地號,92.0,,山坡地保育區,農牧用地,1050620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,3043,,0.0,0,,RPRNMLOJPHLFFAM78CA
南投市,房地(土地+建物),南投縣南投巿信義街250巷31~60號,90.0,住,,,1050614,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041231,193.34,4,2,3,有,無,7800000,40343,,0.0,0,,RPVNMLOJPHLFFAM56CA
南投市,房地(土地+建物),南投縣南投巿彰南路二段522巷1~30號,69.0,住,,,1050606,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690702,78.61,3,2,2,有,無,4500000,57245,,0.0,0,,RPSNMLRJPHLFFAM56CA
南投市,土地,南投段361~390地號,20.47,住,,,1050531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,569691,27831,,0.0,0,,RPQNMLKKPHLFFAM38CA
名間鄉,土地,出林虎段121~150地號,2837.28,,一般農業區,農牧用地,1050618,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7313000,2577,,0.0,0,,RPQNMLLLPHLFFAM58CA
草屯鎮,土地,大堀段781~810地號,53.72,,鄉村區,乙種建築用地,1050622,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160000,2978,,0.0,0,,RPOOMLOJPHLFFBM68CA
草屯鎮,土地,新南坪段391~420地號,1056.66,,山坡地保育區,農牧用地,1050623,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,2650,,0.0,0,,RPRNMLQJPHLFFBM09CA
草屯鎮,土地,新南坪段391~420地號,1116.16,,山坡地保育區,農牧用地,1050623,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,2509,,0.0,0,,RPSNMLQJPHLFFBM56CA
草屯鎮,土地,新富仁段1~30地號,143.0,住,,,1050418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,10490,,0.0,0,,RPVNMLKLPHLFFBM09CA
草屯鎮,土地,新富仁段1~30地號,735.12,住,,,1050418,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28500000,38769,,0.0,0,,SPVNMLKLPHLFFBM56CA
埔里鎮,房地(土地+建物),南投縣埔里鎮中正路361~390號,4.08,商,,,1050606,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0831013,39.76,1,1,1,有,有,900000,22636,,0.0,0,,RPTNMLOJPHLFFCM56CA
埔里鎮,土地,忠孝段901~930地號,61.81,其他,,,1050615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1674854,27097,,0.0,0,交易金額含土地增值稅274854元,RPPNMLPJPHLFFCM88CA
埔里鎮,土地,忠良段901~930地號,2489.36,,特定農業區,農牧用地,1050504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,3816,,0.0,0,終止375租約關係人間之交易。,RPPNMLQJPHLFFCM98CA
埔里鎮,土地,愛蘭段601~630地號,82.06,,鄉村區,乙種建築用地,1050516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,24372,,0.0,0,,RPQNMLPKPHLFFCM09CA
埔里鎮,房地(土地+建物),南投縣埔里鎮河南路91~120號,117.88,商,,,1050525,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041204,222.18,4,2,5,有,無,12000000,54010,,0.0,0,買清,RPRNMLLLPHLFFCM88CA
國姓鄉,土地,北港溪段31~60地號,3899.0,,山坡地保育區,農牧用地,1050322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,2565,,0.0,0,含未保存建物一棟,RPPNMLKLPHLFFCM58CA
魚池鄉,土地,貓��段241~270地號,71.0,,山坡地保育區,丙種建築用地,1050602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,9859,,0.0,0,含增建或未登記建物。,RPXNMLSLPHLFFCM57CA
竹山鎮,房地(土地+建物),南投縣竹山鎮公所路57巷1~30號,120.0,住,,,1050623,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0780722,228.13,5,2,3,有,無,3060000,13413,,0.0,0,,RPRNMLOJPHLFFDM09CA
水里鄉,土地,北埔段151~180地號,245.12,住,,,1050525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,18358,,0.0,0,,RPPNMLOJPHLFFEM98CA
竹山鎮,土地,雲林段901~930地號,574.0,住,,,1050517,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22200000,38676,,0.0,0,,RPRNMLKLPHLFFDM88CA
竹山鎮,房地(土地+建物),南投縣竹山鎮鹿山路128巷61~90號,68.17,住,,,1050620,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0901005,147.52,4,2,3,有,無,2000000,13557,,0.0,0,,RPPNMLPJPHLFFDM98CA
竹山鎮,土地,東鄉段271~300地號,2504.32,,一般農業區,農牧用地,1050505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,3993,,0.0,0,,RPQNMLPJPHLFFDM09CA
