編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLOJPHLFFAM56CA,,193.34,見其他登記事項,鋼筋混凝土造,104年12月31日,三層,一層 二層 三層 屋頂突出物
RPSNMLRJPHLFFAM56CA,36,78.61,住商用,鋼筋混凝土加強磚造,69年7月2日,二層,一層 二層
RPTNMLOJPHLFFCM56CA,22,25.91,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,六層
RPTNMLOJPHLFFCM56CA,22,13.85,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,
RPRNMLLLPHLFFCM88CA,,222.18,見其他登記事項,鋼筋混凝土造,104年12月4日,三層,一層 二層 三層 見其他登記事項
RPRNMLOJPHLFFDM09CA,27,228.13,住家用,鋼筋混凝土造,78年7月22日,三層,一層 二層 三層 夾層
RPPNMLPJPHLFFDM98CA,15,147.52,住家用,鋼筋混凝土造,90年10月5日,三層,一層 二層 三層 電梯樓梯間
RPROMLSKPHLFFCM96CA,21,75.73,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,五層
RPVNMLNKPHLFFBM66CA,1,32.80,農舍,見其他登記事項,104年11月5日,一層,一層
RPPNMLPJPHLFFBM78CA,8,191.30,住商用,鋼筋混凝土造,97年11月5日,三層,一層 二層 三層
RPPNMLKKPHLFFAM28CA,1,245.41,見其他登記事項,鋼筋混凝土造,104年8月24日,三層,一層 二層 三層 屋頂突出物
RPRNMLMKPHLFFAM68CA,,166.49,見其他登記事項,鋼筋混凝土造,104年12月24日,三層,一層 二層 三層 屋頂突出物
RPTNMLMKPHLFFAM88CA,,166.49,見其他登記事項,鋼筋混凝土造,104年12月24日,三層,一層 二層 三層 屋頂突出物
RPWNMLOJPHLFFAM66CA,,191.46,見其他登記事項,鋼筋混凝土造,104年12月31日,三層,一層 二層 三層 屋頂突出物
RPSNMLPJPHLFFAM98CA,26,202.62,農舍,加強磚造,79年7月30日,二層,一層 二層 屋頂突出物 騎樓
RPWNMLNKPHLFFAM66CA,22,186.69,住家用,鋼筋混凝土造,83年9月22日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPOMLNKPHLFFAM68CA,,166.49,見其他登記事項,鋼筋混凝土造,104年12月24日,三層,一層 二層 三層 屋頂突出物
RPQOMLNKPHLFFAM78CA,,167.22,見其他登記事項,鋼筋混凝土造,104年12月24日,三層,一層 二層 三層 屋頂突出物
RPPNMLQJPHLFFAM78CA,21,109.63,住家用,鋼筋混凝土造,84年2月16日,十三層,五層
RPPNMLQJPHLFFAM78CA,21,26.36,見其他登記事項,鋼筋混凝土造,84年2月16日,十三層,
RPRNMLQJPHLFFAM98CA,15,178.65,住商用,鋼筋混凝土造,90年4月12日,三層,一層 二層 三層
RPUNMLRJPHLFFAM76CA,35,157.14,住商用,鋼筋混凝土加強磚造,70年2月24日,三層,一層 二層 三層 騎樓
RPQNMLKLPHLFFBM58CA,1,201.30,見其他登記事項,鋼筋混凝土造,104年6月17日,三層,一層 二層 三層 見其他登記事項
RPPNMLLKPHLFFCM58CA,38,82.23,見其他登記事項,鋼筋混凝土加強磚造,67年4月25日,二層,一層 二層
RPRNMLRJPHLFFCM66CA,21,164.13,住家用,鋼筋混凝土造,83年12月15日,四層,一層 二層 三層 四層
RPQNMLRJPHLFFDM66CA,22,79.90,住家用,鋼筋混凝土造,83年5月24日,五層,五層
RPQNMLRJPHLFFDM66CA,22,25.72,見其他登記事項,鋼筋混凝土造,83年5月24日,五層,
RPPNMLKKPHLFFDM58CA,3,180.83,住家用,鋼筋混凝土造,102年5月7日,三層,一層 二層 三層
RPTNMLTKPHLFFCM17CA,15,166.70,見其他登記事項,鋼骨鋼筋混凝土造,90年10月17日,三層,一層 二層 三層 騎樓
RPUNMLOKPHLFFBM66CA,12,105.09,見其他登記事項,鋼筋混凝土造,93年3月22日,七層,五層
RPUNMLOKPHLFFBM66CA,12,57.99,見其他登記事項,鋼筋混凝土造,93年3月22日,七層,
RPSNMLRJPHLFFBM66CA,,170.72,見其他登記事項,鋼筋混凝土造,104年12月14日,三層,一層 二層 三層 見其他登記事項
RPTNMLPLPHLFFAM66CA,6,196.61,住家用,鋼筋混凝土造,99年1月22日,四層,一層 二層 三層 四層 屋頂突出物
RPVNMLRJPHLFFAM86CA,37,89.30,住家用,鋼筋混凝土加強磚造,68年4月20日,二層,一層 二層
RPSNMLLKPHLFFAM68CA,3,189.71,見其他登記事項,鋼筋混凝土造,102年1月7日,四層,一層 二層 三層 四層
RPRNMLRJPHLFFAM09CA,13,206.98,住家用,鋼筋混凝土造,92年8月19日,四層,一層 二層 三層 四層 見其他登記事項
RPSOMLNKPHLFFAM98CA,45,67.97,住家用,鋼筋混凝土加強磚造,59年12月29日,一層,一層
RPRNMLOKPHLFFAM88CA,15,145.93,住家用,鋼筋混凝土造,90年1月20日,三層,一層 二層 三層 屋頂突出物
RPPOMLMKPHLFFAM58CA,22,88.60,住家用,鋼筋混凝土造,83年10月7日,十一層,十層
RPPOMLMKPHLFFAM58CA,22,36.33,見其他登記事項,鋼筋混凝土造,83年10月7日,十一層,
RPWNMLLKPHLFFAM09CA,36,112.56,住商用,鋼筋混凝土加強磚造,69年11月26日,二層,一層 二層 騎樓
RPQNMLKLPHLFFAM48CA,23,64.66,住家用,鋼筋混凝土造,82年3月22日,八層,七層
RPQNMLKLPHLFFAM48CA,23,16.73,見其他登記事項,鋼筋混凝土造,82年3月22日,八層,
RPSNMLLKPHLFFBM78CA,37,98.28,住商用,鋼筋混凝土加強磚造,68年8月7日,二層,一層 二層 騎樓
RPRNMLNKPHLFFBM88CA,32,152.06,住家用,鋼筋混凝土加強磚造,73年7月1日,二層,一層 二層
RPRNMLMKPHLFFCM88CA,20,148.36,住家用,鋼筋混凝土造,85年4月11日,三層,一層 二層 三層
RPPNMLLJQHLFFDM68CA,10,261.31,住家用,鋼筋混凝土造,94年12月6日,三層,一層 二層 三層
RPSNMLQLPHLFFCM86CA,1,182.95,見其他登記事項,見其他登記事項,104年11月9日,三層,一層 二層 三層 見其他登記事項
RPQNMLSLPHLFFCM86CA,8,1869.95,見其他登記事項,見其他登記事項,97年5月13日,一層,一層
RPQOMLSJQHLFFCM86CA,17,166.74,住家用,鋼筋混凝土造,88年12月6日,三層,一層 二層 三層 屋頂突出物
RPUNMLNKPHLFFCM66CA,19,180.51,住家用,鋼筋混凝土造,86年9月15日,三層,一層 二層 三層
RPVNMLMKPHLFFBM56CA,44,222.32,住家用,鋼筋混凝土加強磚造,61年8月28日,三層,一層 二層 三層 騎樓
RPWNMLLKPHLFFBM56CA,18,164.33,住家用,鋼筋混凝土造,87年11月6日,三層,一層 二層 三層 屋頂突出物
RPQNMLMKPHLFFBM68CA,24,73.93,住家用,鋼筋混凝土造,81年2月13日,七層,五層
RPQNMLMKPHLFFBM68CA,24,22.60,見其他登記事項,鋼筋混凝土造,81年2月13日,七層,
RPRNMLMKPHLFFBM78CA,22,97.87,住家用,鋼筋混凝土造,82年12月21日,十二層,三層
RPRNMLMKPHLFFBM78CA,22,13.80,見其他登記事項,鋼筋混凝土造,82年12月21日,十二層,
RPUNMLMKPHLFFAM98CA,23,42.13,住家用,鋼筋混凝土造,82年3月22日,八層,七層
RPUNMLMKPHLFFAM98CA,23,13.30,見其他登記事項,鋼筋混凝土造,82年3月22日,八層,
RPWOMLNKPHLFFAM76CA,34,45.75,住商用,鋼筋混凝土加強磚造,71年4月1日,二層,一層 二層 騎樓
RPWOMLNKPHLFFAM76CA,34,45.75,住商用,鋼筋混凝土加強磚造,71年4月1日,二層,一層 二層 騎樓
RPPNMLSKPHLFFBM56CA,24,46.46,住家用,鋼筋混凝土造,81年1月30日,六層,四層
RPPNMLSKPHLFFBM56CA,24,16.88,見其他登記事項,鋼筋混凝土造,81年1月30日,六層,
RPSNMLPKPHLFFBM56CA,1,255.01,見其他登記事項,鋼筋混凝土造,104年8月14日,三層,一層 二層 三層 見其他登記事項
RPPNMLLKQHLFFBM58CA,19,126.60,住家用,鋼筋混凝土造,86年6月30日,三層,一層 二層 三層
RPPNMLLKQHLFFBM58CA,19,.18,見其他登記事項,鋼筋混凝土造,86年6月30日,一層,
RPPNMLLKQHLFFBM58CA,19,37.13,停車空間,鋼筋混凝土造,86年6月30日,地下層,
RPRNMLTKPHLFFCM96CA,22,133.68,住家用,鋼筋混凝土造,83年9月22日,三層,一層 二層 三層
RPRNMLNKPHLFFCM98CA,17,41.63,見其他登記事項,鋼筋混凝土造,87年12月31日,八層,六層
RPRNMLNKPHLFFCM98CA,17,18.27,見其他登記事項,鋼筋混凝土造,87年12月31日,八層,
RPSNMLNKPHLFFCM09CA,23,117.48,住商用,鋼筋混凝土造,82年7月3日,二層,一層 二層 騎樓
RPTNMLPKPHLFFCM86DA,48,135.80,住家用,鋼筋混凝土加強磚造,57年8月7日,二層,一層 二層 騎樓
RPPNMLLLPHLFFCM68CA,12,153.52,住家用,鋼筋混凝土造,93年10月13日,四層,一層 二層 三層 四層
RPPNMLTJQHLFFCM76CA,21,160.81,見其他登記事項,鋼筋混凝土造,84年10月2日,七層,一層 二層 三層 騎樓
RPPNMLTJQHLFFCM76CA,21,32.31,見其他登記事項,鋼筋混凝土造,84年10月2日,七層,
RPUNMLTKPHLFFBM17CA,29,75.78,住家用,鋼筋混凝土加強磚造,76年6月29日,二層,一層 二層
RPRNMLPKPHLFFBM09CA,1,85.26,見其他登記事項,鋼筋混凝土造,104年10月16日,十一層,三層
RPRNMLPKPHLFFBM09CA,1,77.62,見其他登記事項,鋼筋混凝土造,104年10月16日,十一層,
RPQNMLOKPHLFFBM88CA,36,178.45,住商用,鋼筋混凝土造,69年3月24日,四層,一層 二層 三層 四層 騎樓
RPQNMLOKPHLFFBM88CA,23,412.62,住商用,鋼筋混凝土造,82年7月17日,四層,一層 二層 三層 四層 騎樓
RPSOMLKLPHLFFAM78CA,37,96.80,住商用,鋼筋混凝土加強磚造,68年3月5日,二層,一層 二層 騎樓
RPUNMLTKPHLFFAM07CA,5,472.93,住商用,見其他登記事項,100年7月7日,04,一層 二層 三層 四層
SPUNMLTKPHLFFAM17CA,5,662.79,住商用,見其他登記事項,100年7月7日,四層,一層 二層 三層 四層
RPRNMLSKPHLFFCM86CA,23,94.00,見其他登記事項,鋼筋混凝土造,82年8月30日,七層,七層
RPRNMLSKPHLFFCM86CA,23,19.69,見其他登記事項,鋼筋混凝土造,82年8月30日,見其他登記事項,
RPTNMLSKPHLFFCM07CA,22,98.23,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,十層
RPTNMLSKPHLFFCM07CA,22,45.23,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,
RPTNMLSKPHLFFCM07CA,22,86.58,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,十層
RPTNMLSKPHLFFCM07CA,22,40.81,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,
RPUNMLPKPHLFFCM86CA,25,164.61,見其他登記事項,鋼筋混凝土造,80年11月15日,三層,一層 二層 三層 屋頂突出物 騎樓
RPUNMLOKPHLFFCM76CA,1,175.62,住家用,鋼骨鋼筋混凝土造,104年6月29日,三層,一層 二層 三層
RPPNMLSKPHLFFDM76CA,36,106.68,住家用,鋼筋混凝土加強磚造,69年3月27日,二層,一層 二層 騎樓
RPXNMLLJQHLFFCM76CA,20,119.93,住家用,鋼筋混凝土造,85年8月15日,七層,六層
RPXNMLLJQHLFFCM76CA,20,62.29,見其他登記事項,鋼筋混凝土造,85年8月15日,七層,
RPVNMLPKPHLFFCM07DA,,232.81,住家用,鋼筋混凝土造,105年3月3日,四層,一層 二層 三層 四層
RPRNMLQLQHLFFEM17DA,23,112.58,住家用,鋼筋混凝土加強磚造,82年7月1日,二層,一層 二層
RPPNMLMJQHLFFEM88CA,14,134.39,住家用,鋼筋混凝土造,91年3月4日,三層,一層 二層 三層
RPVNMLMJQHLFFCM66CA,8,204.50,見其他登記事項,鋼筋混凝土造,97年5月22日,四層,一層 二層 三層 四層 屋頂突出物
RPQNMLKLPHLFFDM78CA,37,87.60,住家用,鋼筋混凝土加強磚造,68年11月10日,二層,一層 二層
RPXNMLPKPHLFFDM27CA,23,140.40,住商用,鋼筋混凝土造,82年6月14日,三層,一層 二層 三層 騎樓
RPQNMLQLPHLFFBM56CA,20,51.69,住商用,鋼筋混凝土造,84年12月13日,十三層,一層 二層 三層
RPQNMLQLPHLFFBM56CA,20,33.63,見其他登記事項,鋼筋混凝土造,84年12月13日,十三層,
RPRNMLKLPHLFFBM68CA,7,15.00,農舍,見其他登記事項,98年7月23日,一層,一層
RPRNMLTKPHLFFBM86CA,36,104.16,住家用,鋼筋混凝土加強磚造,69年7月26日,二層,一層 二層 騎樓
RPUNMLPKPHLFFBM76CA,20,76.24,住家用,鋼筋混凝土造,84年12月20日,七層,二層
RPUNMLPKPHLFFBM76CA,20,24.17,見其他登記事項,鋼筋混凝土造,84年12月20日,七層,
RPPNMLNJQHLFFAM58CA,21,12.67,停車空間,鋼筋混凝土造,84年2月16日,十三層,
