編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLOJPHLFFAM78CA,二重溪段,92.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLOJPHLFFAM56CA,包尾段,90.00,都市：住
RPSNMLRJPHLFFAM56CA,牛運堀段,69.00,都市：住
RPQNMLKKPHLFFAM38CA,南投段,20.47,都市：住
RPQNMLLLPHLFFAM58CA,出林虎段,618.02,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLLLPHLFFAM58CA,出林虎段,2219.26,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLOJPHLFFBM68CA,大堀段,15.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLOJPHLFFBM68CA,大堀段,29.15,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLOJPHLFFBM68CA,大堀段,2.79,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLOJPHLFFBM68CA,大堀段,5.40,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLOJPHLFFBM68CA,大堀段,1.37,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLQJPHLFFBM09CA,新南坪段,264.17,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLQJPHLFFBM09CA,新南坪段,264.17,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLQJPHLFFBM09CA,新南坪段,264.16,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLQJPHLFFBM09CA,新南坪段,264.16,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLQJPHLFFBM56CA,新南坪段,279.04,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLQJPHLFFBM56CA,新南坪段,279.04,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLQJPHLFFBM56CA,新南坪段,279.04,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLQJPHLFFBM56CA,新南坪段,279.04,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLKLPHLFFBM09CA,新富仁段,143.00,都市：住
SPVNMLKLPHLFFBM56CA,新富仁段,507.17,都市：住
SPVNMLKLPHLFFBM56CA,新富仁段,227.95,都市：住
RPTNMLOJPHLFFCM56CA,光明段,4.08,都市：商
RPPNMLPJPHLFFCM88CA,忠孝段,61.81,都市：其他
RPPNMLQJPHLFFCM98CA,忠良段,2489.36,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLPKPHLFFCM09CA,愛蘭段,82.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
