鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
彰化市,房地(土地+建物),彰化縣彰化巿大埔路331~360號,174.0,住,,,1050624,土地6建物2車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0711016,318.8,8,4,6,有,無,25000000,78419,,0.0,0,,RPUNMLOJPHLFFAN56CA
彰化市,房地(土地+建物)+車位,彰化縣彰化巿埔市街151~180號,15.66,住,,,1050525,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870918,132.01,3,2,2,有,無,4880000,36967,坡道機械,32.33,0,,RPQNMLPJPHLFFAN88CA
秀水鄉,土地,秀水段91~120地號,1143.0,農,,,1050616,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13138500,11495,,0.0,0,,RPUNMLPJPHLFFAN66CA
彰化市,房地(土地+建物),彰化縣彰化巿安溪路421~450號,106.9,,山坡地保育區,丙種建築用地,1050601,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0880120,183.03,5,3,3,有,無,5400000,29503,,0.0,0,,RPOOMLPJPHLFFAN78CA
彰化市,房地(土地+建物),彰化縣彰化巿萬安里三民路433巷1~30號,35.5,商,,,1050523,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0570726,44.0,3,2,2,有,無,2200000,50000,,0.0,0,親友特殊關係間之交易。,RPTOMLPJPHLFFAN66CA
彰化市,房地(土地+建物),彰化縣彰化巿金馬路三段53巷1~30號,16.81,住,,,1050529,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830729,126.38,3,1,2,有,有,4300000,34024,,0.0,0,,RPQOMLKLPHLFFAN68CA
和美鎮,土地,順天段631~660地號,105.08,,特定農業區,農牧用地,1050613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,449742,4280,,0.0,0,向政府機關承購之案件。,RPRNMLOJPHLFFBN98CA
和美鎮,房地(土地+建物),彰化縣和美鎮德美路241~270號,48.0,住,,,1050604,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0620613,77.6,2,1,2,有,無,5000000,64433,,0.0,0,,RPUNMLOJPHLFFBN66CA
和美鎮,房地(土地+建物),彰化縣和美鎮和利路153巷1~30號,120.67,住,,,1050606,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050407,224.64,4,3,4,有,無,10160000,45228,,0.0,0,,RPOOMLPJPHLFFBN88CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉什股三街89巷1~30號,108.1,住,,,1050529,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040601,171.09,4,2,3,有,無,5600000,32731,,0.0,0,含增建或未登記建物。,RPVNMLKLPHLFFBN56CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉大同村大同十二街1巷42弄61~90號,129.63,住,,,1050330,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050122,201.77,5,3,5,有,無,7800000,38658,,0.0,0,,RPTOMLPLPHLFFBN96CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮埤頭巷61~90號,1397.0,,特定農業區,農牧用地,1050620,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1050516,359.65,6,3,3,有,無,8120000,,,0.0,0,配合興建農舍，總價”未含”未保存登記建物。,RPRNMLPJPHLFFCN56CA
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮富麗二街1~30號,48.58,,特定農業區,甲種建築用地,1050616,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880114,159.08,3,2,2,有,有,3380000,21247,坡道平面,0.0,0,,RPSNMLRJPHLFFCN86CA
員林鎮,房地(土地+建物),彰化縣員林市中正路1巷20弄1~30號,78.0,住,,,1050612,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660409,81.56,4,2,2,有,無,3750000,45978,,0.0,0,,RPRNMLOJPHLFFDN56CA
員林鎮,土地,三條段751~780地號,84.35,住,,,1050615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5179727,61408,,0.0,0,,RPPNMLPJPHLFFDN09CA
永靖鄉,土地,永中段271~300地號,72.74,住,,,1050617,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1472000,20236,,0.0,0,,RPQNMLPJPHLFFDN56CA
永靖鄉,土地,永南段1051~1080地號,79.46,,鄉村區,乙種建築用地,1050620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,10068,,0.0,0,,RPUNMLPJPHLFFDN96CA
大村鄉,房地(土地+建物),彰化縣大村鄉中正東路31~60號,120.21,,鄉村區,乙種建築用地,1050609,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690107,157.85,4,2,2,有,無,6500000,41178,,0.0,0,,RPPNMLQJPHLFFDN56CA
