編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLOJPHLFFAN56CA,34,159.40,住商用,鋼筋混凝土造,71年10月16日,三層,一層 二層 三層 騎樓
RPUNMLOJPHLFFAN56CA,34,159.40,住商用,鋼筋混凝土造,71年10月16日,三層,一層 二層 三層 騎樓
RPQNMLPJPHLFFAN88CA,18,99.68,住家用,鋼筋混凝土造,87年9月18日,八層,四層
RPQNMLPJPHLFFAN88CA,18,32.33,見其他登記事項,鋼筋混凝土造,87年9月18日,八層,
RPOOMLPJPHLFFAN78CA,17,183.03,見其他登記事項,鋼筋混凝土造,88年1月20日,三層,一層 二層 三層 地下層
RPTOMLPJPHLFFAN66CA,48,44.00,住家用,鋼筋混凝土加強磚造,57年7月26日,二層,一層 二層
RPQOMLKLPHLFFAN68CA,22,102.96,住家用,鋼筋混凝土造,83年7月29日,十三層,三層
RPQOMLKLPHLFFAN68CA,22,23.42,見其他登記事項,鋼筋混凝土造,83年7月29日,十三層,
RPUNMLOJPHLFFBN66CA,43,77.60,住商用,鋼筋混凝土加強磚造,62年6月13日,二層,一層 二層 騎樓
RPOOMLPJPHLFFBN88CA,,224.64,見其他登記事項,鋼筋混凝土造,105年4月7日,四層,一層 二層 三層 四層
RPVNMLKLPHLFFBN56CA,1,171.09,見其他登記事項,鋼筋混凝土造,104年6月1日,三層,一層 二層 三層 見其他登記事項
RPTOMLPLPHLFFBN96CA,,201.77,見其他登記事項,鋼筋混凝土造,105年1月22日,三層,一層 二層 三層 見其他登記事項
RPRNMLPJPHLFFCN56CA,,359.65,農舍,鋼筋混凝土造,105年5月16日,三層,一層 二層 三層
RPSNMLRJPHLFFCN86CA,17,101.06,住家用,鋼筋混凝土造,88年1月14日,八層,三層
RPSNMLRJPHLFFCN86CA,17,58.02,見其他登記事項,鋼筋混凝土造,88年1月14日,八層,
RPRNMLOJPHLFFDN56CA,39,81.56,住家用,鋼筋混凝土加強磚造,66年4月9日,二層,一層 二層
