編號,車位類別,車位價格,車位面積平方公尺
RPQNMLPJPHLFFAN88CA,坡道機械,0,32.33
RPSNMLRJPHLFFCN86CA,坡道平面,0,
RPRNMLQJPHLFFDN76CA,升降機械,0,
RPPOMLRJPHLFFAN56DA,坡道平面,0,
RPPNMLLKPHLFFCN68CA,其他,0,
RPWNMLTKPHLFFAN37CA,坡道機械,0,
RPSOMLPJPHLFFAN56CA,坡道機械,0,
RPQOMLTLPHLFFAN96CA,坡道平面,0,
RPQNMLKLPHLFFDN88CA,坡道機械,0,
RPQNMLMKPHLFFDN98CA,其他,0,
RPQNMLMKPHLFFDN98CA,其他,0,
RPSOMLTLPHLFFAN17CA,坡道平面,0,22.53
RPPNMLPKPHLFFBN98CA,一樓平面,0,
RPQNMLPKPHLFFBN09CA,一樓平面,0,
RPRNMLPKPHLFFBN56CA,一樓平面,0,
RPROMLOKPHLFFAN56DA,坡道機械,0,
RPUNMLOJQHLFFAN66CA,坡道平面,0,
RPPNMLKLPHLFFBN58CA,一樓平面,0,
RPQNMLKLPHLFFBN68CA,一樓平面,0,
RPRNMLKLPHLFFBN78CA,一樓平面,0,
RPTOMLRLPHLFFAN07CA,坡道平面,0,
