鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物),新竹市新竹巿香村路300巷25弄151~180號,310.16,,山坡地保育區,丙種建築用地,1050412,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970410,187.31,4,2,3,有,有,8500000,45379,,0.0,0,,RPVRMLOJPHLFFAO17CA
新竹市,房地(土地+建物),新竹市新竹巿牛埔北路257巷24弄1~30號,82.91,,鄉村區,乙種建築用地,1050618,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,98.97,3,2,2,有,無,4500000,45468,,0.0,0,含增建或未登記建物。,RPWRMLOJPHLFFAO27CA
新竹市,房地(土地+建物),新竹市新竹巿中華路六段647巷1~30號,67.06,,鄉村區,乙種建築用地,1050615,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,118.3,3,2,3,有,無,3700000,31276,,0.0,0,,RPXNMLPJPHLFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿金竹路151~180號,42.52,住,,,1050614,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030110,274.18,4,2,2,有,有,15980000,58285,坡道平面,0.0,0,,RPOOMLPJPHLFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿金竹路151~180號,42.48,住,,,1050623,土地1建物1車位2,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030110,273.94,4,2,2,有,有,13700000,50011,坡道平面,0.0,0,,RPPOMLPJPHLFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿食品路31~60號,22.87,住,,,1050614,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881101,197.20999999999998,4,2,2,有,有,13500000,68455,,0.0,0,,RPVPMLPJPHLFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿鐵道路一段28巷31~60號,20.01,其他,,,1050530,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000718,148.5,3,2,2,有,有,9370000,63102,坡道平面,0.0,0,,RPOQMLPJPHLFFAO09CA
新竹市,房地(土地+建物),新竹市新竹巿富群街85巷18弄91~120號,103.29,,山坡地保育區,丙種建築用地,1050530,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870618,242.2,4,2,3,有,有,9000000,37159,,0.0,0,,RPTPMLQJPHLFFAO96CA
新竹市,房地(土地+建物),新竹市新竹巿西大路151~180號,12.8,商,,,1050617,土地1建物1車位0,一層，騎樓，地下層,五層,店面(店鋪),住商用,鋼筋混凝土造,0730912,126.32,0,0,0,無,無,10500000,83122,,0.0,0,,RPRNMLRJPHLFFAO66CA
新竹市,房地(土地+建物),新竹市新竹巿武陵路271巷64弄1~30號,19.4,住,,,1050527,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820306,96.52,3,1,2,有,有,4750000,49213,,0.0,0,,RPROMLOJPHLFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿武陵路98巷1~30號,48.26,住,,,1050531,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930915,161.04,3,2,2,有,有,7550000,46883,坡道平面,0.0,0,,RPRRMLOJPHLFFAO76CA
新竹市,房地(土地+建物),新竹市新竹巿光華街95巷1~30號,6.72,住,,,1050616,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,44.45,1,1,1,有,有,1850000,41620,,0.0,0,,RPROMLRJPHLFFAO76CA
